# file...... Output/Aggregator_2_line.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... switch 311
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+9529.85407684,+9529.85+3751.79j
2010-08-16 00:00:30 UTC,+41568.9738234,+41569+15709.9j
2010-08-16 00:01:00 UTC,+81033.547086,+81033.5+30441.5j
2010-08-16 00:01:30 UTC,+119569.947302,+119570+44834.5j
2010-08-16 00:02:00 UTC,+154586.045597,+154586+57901.5j
2010-08-16 00:02:30 UTC,+174702.95049,+174703+65416.5j
2010-08-16 00:03:00 UTC,+183881.934138,+183882+68833.3j
2010-08-16 00:03:30 UTC,+177732.619998,+177733+66528.2j
2010-08-16 00:04:00 UTC,+161983.102051,+161983+60632.2j
2010-08-16 00:04:30 UTC,+169408.478612,+169408+63405.3j
2010-08-16 00:05:00 UTC,+170936.784735,+170937+64074.9j
2010-08-16 00:05:30 UTC,+422839.991522,+422840+158091j
2010-08-16 00:06:00 UTC,+406572.334478,+406572+152357j
2010-08-16 00:06:30 UTC,+403776.585875,+403777+151425j
2010-08-16 00:07:00 UTC,+394236.869647,+394237+147865j
2010-08-16 00:07:30 UTC,+390847.881485,+390848+146653j
2010-08-16 00:08:00 UTC,+363368.648518,+363369+136346j
2010-08-16 00:08:30 UTC,+321001.400441,+321001+120480j
2010-08-16 00:09:00 UTC,+303691.827256,+303692+114053j
2010-08-16 00:09:30 UTC,+239765.112065,+239765+90067j
2010-08-16 00:10:00 UTC,+214417.490572,+214417+80586.9j
2010-08-16 00:10:30 UTC,+449123.474379,+449123+168521j
2010-08-16 00:11:00 UTC,+441633.534293,+441634+165677j
2010-08-16 00:11:30 UTC,+437654.699372,+437655+164163j
2010-08-16 00:12:00 UTC,+456483.325401,+456483+171252j
2010-08-16 00:12:30 UTC,+431133.612056,+431134+161724j
2010-08-16 00:13:00 UTC,+421574.205894,+421574+158160j
2010-08-16 00:13:30 UTC,+374359.954299,+374360+140444j
2010-08-16 00:14:00 UTC,+362282.394144,+362282+135972j
2010-08-16 00:14:30 UTC,+272503.54323,+272504+102316j
2010-08-16 00:15:00 UTC,+262566.684252,+262567+98604.6j
2010-08-16 00:15:30 UTC,+395596.916304,+395597+148539j
2010-08-16 00:16:00 UTC,+400873.467022,+400873+150537j
2010-08-16 00:16:30 UTC,+390794.699954,+390795+146770j
2010-08-16 00:17:00 UTC,+376325.381905,+376325+141332j
2010-08-16 00:17:30 UTC,+355801.080946,+355801+133617j
2010-08-16 00:18:00 UTC,+373750.875206,+373751+140323j
2010-08-16 00:18:30 UTC,+334803.311982,+334803+125689j
2010-08-16 00:19:00 UTC,+261988.295959,+261988+98309.1j
2010-08-16 00:19:30 UTC,+253266.774358,+253267+95059.3j
2010-08-16 00:20:00 UTC,+245419.606353,+245420+92142.8j
2010-08-16 00:20:30 UTC,+335941.187222,+335941+126042j
2010-08-16 00:21:00 UTC,+357840.781792,+357841+134285j
2010-08-16 00:21:30 UTC,+363980.601583,+363981+136622j
2010-08-16 00:22:00 UTC,+352648.652498,+352649+132370j
2010-08-16 00:22:30 UTC,+385110.39595,+385110+144607j
2010-08-16 00:23:00 UTC,+355844.058305,+355844+133619j
2010-08-16 00:23:30 UTC,+350088.507665,+350089+131475j
2010-08-16 00:24:00 UTC,+332146.74032,+332147+124747j
2010-08-16 00:24:30 UTC,+342647.241679,+342647+128700j
2010-08-16 00:25:00 UTC,+331735.362825,+331735+124615j
2010-08-16 00:25:30 UTC,+385330.762812,+385331+144597j
2010-08-16 00:26:00 UTC,+364714.038625,+364714+136800j
2010-08-16 00:26:30 UTC,+387954.738826,+387955+145572j
2010-08-16 00:27:00 UTC,+356046.65722,+356047+133603j
2010-08-16 00:27:30 UTC,+349018.57105,+349019+130998j
2010-08-16 00:28:00 UTC,+352998.811538,+352999+132500j
2010-08-16 00:28:30 UTC,+359171.887396,+359172+134830j
2010-08-16 00:29:00 UTC,+346913.3481,+346913+130284j
2010-08-16 00:29:30 UTC,+299211.571316,+299212+112337j
2010-08-16 00:30:00 UTC,+300597.629432,+300598+112887j
2010-08-16 00:30:30 UTC,+368517.585445,+368518+138437j
2010-08-16 00:31:00 UTC,+361102.951356,+361103+135654j
2010-08-16 00:31:30 UTC,+366815.60879,+366816+137803j
2010-08-16 00:32:00 UTC,+334377.874055,+334378+125581j
2010-08-16 00:32:30 UTC,+318134.421667,+318134+119446j
2010-08-16 00:33:00 UTC,+347106.761205,+347107+130350j
2010-08-16 00:33:30 UTC,+337898.908218,+337899+126890j
2010-08-16 00:34:00 UTC,+332239.881416,+332240+124802j
2010-08-16 00:34:30 UTC,+314720.90181,+314721+118198j
2010-08-16 00:35:00 UTC,+309505.792459,+309506+116271j
2010-08-16 00:35:30 UTC,+342998.494172,+342998+128742j
2010-08-16 00:36:00 UTC,+345577.000618,+345577+129663j
2010-08-16 00:36:30 UTC,+332023.196175,+332023+124568j
2010-08-16 00:37:00 UTC,+324622.565525,+324623+121796j
2010-08-16 00:37:30 UTC,+326774.694896,+326775+122593j
2010-08-16 00:38:00 UTC,+330681.865306,+330682+124040j
2010-08-16 00:38:30 UTC,+336429.222308,+336429+126222j
2010-08-16 00:39:00 UTC,+314011.17718,+314011+117758j
2010-08-16 00:39:30 UTC,+307085.339137,+307085+115204j
2010-08-16 00:40:00 UTC,+313271.852332,+313272+117577j
2010-08-16 00:40:30 UTC,+339792.155378,+339792+127433j
