# file...... Output/Controlled_house_agg2_power.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=house AND groupid=Controlled_agg2
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 00:00:00 UTC,+9.0733384989
2010-08-16 00:00:30 UTC,+40.613991376
2010-08-16 00:01:00 UTC,+79.4997277998
2010-08-16 00:01:30 UTC,+117.521336748
2010-08-16 00:02:00 UTC,+152.086435791
2010-08-16 00:02:30 UTC,+171.961367741
2010-08-16 00:03:00 UTC,+181.03470624
2010-08-16 00:03:30 UTC,+174.985813907
2010-08-16 00:04:00 UTC,+159.431519338
2010-08-16 00:04:30 UTC,+166.776602884
2010-08-16 00:05:00 UTC,+168.072794099
2010-08-16 00:05:30 UTC,+417.805634687
2010-08-16 00:06:00 UTC,+400.955148904
2010-08-16 00:06:30 UTC,+397.930702737
2010-08-16 00:07:00 UTC,+388.4253005
2010-08-16 00:07:30 UTC,+384.968790596
2010-08-16 00:08:00 UTC,+357.748775099
2010-08-16 00:08:30 UTC,+315.838592509
2010-08-16 00:09:00 UTC,+298.556042987
2010-08-16 00:09:30 UTC,+235.474737233
2010-08-16 00:10:00 UTC,+210.415040427
2010-08-16 00:10:30 UTC,+442.433267756
2010-08-16 00:11:00 UTC,+435.088184209
2010-08-16 00:11:30 UTC,+431.199610567
2010-08-16 00:12:00 UTC,+449.778351302
2010-08-16 00:12:30 UTC,+424.718654496
2010-08-16 00:13:00 UTC,+415.213252259
2010-08-16 00:13:30 UTC,+368.55036855
2010-08-16 00:14:00 UTC,+356.452583885
2010-08-16 00:14:30 UTC,+267.879517586
2010-08-16 00:15:00 UTC,+257.942051611
2010-08-16 00:15:30 UTC,+389.289427976
2010-08-16 00:16:00 UTC,+394.474192833
2010-08-16 00:16:30 UTC,+384.536726858
2010-08-16 00:17:00 UTC,+370.278623503
2010-08-16 00:17:30 UTC,+349.971627815
2010-08-16 00:18:00 UTC,+367.686241074
2010-08-16 00:18:30 UTC,+329.232568388
2010-08-16 00:19:00 UTC,+257.509987873
2010-08-16 00:19:30 UTC,+248.868713113
2010-08-16 00:20:00 UTC,+241.091565828
2010-08-16 00:20:30 UTC,+330.528759603
2010-08-16 00:21:00 UTC,+352.131946505
2010-08-16 00:21:30 UTC,+358.180838837
2010-08-16 00:22:00 UTC,+346.947181648
2010-08-16 00:22:30 UTC,+378.919898263
2010-08-16 00:23:00 UTC,+349.971627815
2010-08-16 00:23:30 UTC,+344.35479922
2010-08-16 00:24:00 UTC,+326.64018596
2010-08-16 00:24:30 UTC,+337.009715673
2010-08-16 00:25:00 UTC,+326.208122222
2010-08-16 00:25:30 UTC,+379.351962001
2010-08-16 00:26:00 UTC,+359.044966313
2010-08-16 00:26:30 UTC,+381.94434443
2010-08-16 00:27:00 UTC,+350.403691553
2010-08-16 00:27:30 UTC,+343.490671744
2010-08-16 00:28:00 UTC,+347.379245386
2010-08-16 00:28:30 UTC,+353.428137719
2010-08-16 00:29:00 UTC,+341.330353054
2010-08-16 00:29:30 UTC,+294.235405607
2010-08-16 00:30:00 UTC,+295.531596821
2010-08-16 00:30:30 UTC,+362.501476218
2010-08-16 00:31:00 UTC,+355.156392671
2010-08-16 00:31:30 UTC,+360.773221266
2010-08-16 00:32:00 UTC,+328.80050465
2010-08-16 00:32:30 UTC,+312.814146343
2010-08-16 00:33:00 UTC,+341.330353054
2010-08-16 00:33:30 UTC,+332.257014555
2010-08-16 00:34:00 UTC,+326.64018596
