# file...... Output/aggregator_cleared_quantity.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... dummy_class 3
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,aggregator_1_cleared_quantity,aggregator_2_cleared_quantity,aggregator_3_cleared_quantity
2010-08-16 00:00:00 UTC,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0
2010-08-16 01:05:00 UTC,+0,+0,+0
2010-08-16 01:10:00 UTC,+0,+0,+0
2010-08-16 01:15:00 UTC,+0,+0,+0
2010-08-16 01:20:00 UTC,+0,+0,+0
2010-08-16 01:25:00 UTC,+0,+0,+0
2010-08-16 01:30:00 UTC,+0,+0,+0
2010-08-16 01:35:00 UTC,+0,+0,+0
2010-08-16 01:40:00 UTC,+0,+0,+0
2010-08-16 01:45:00 UTC,+0,+0,+0
2010-08-16 01:50:00 UTC,+0,+0,+0
2010-08-16 01:55:00 UTC,+0,+0,+0
2010-08-16 02:00:00 UTC,+0,+0,+0
