# file...... Output/houses_all.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 00:00:00 UTC,+29.3803341869
2010-08-16 00:00:30 UTC,+156.407073171
2010-08-16 00:01:00 UTC,+279.545238514
2010-08-16 00:01:30 UTC,+391.881810405
2010-08-16 00:02:00 UTC,+541.375863767
2010-08-16 00:02:30 UTC,+613.098444282
2010-08-16 00:03:00 UTC,+665.810220324
2010-08-16 00:03:30 UTC,+690.005789654
2010-08-16 00:04:00 UTC,+653.28037192
2010-08-16 00:04:30 UTC,+696.918809463
2010-08-16 00:05:00 UTC,+712.473104032
2010-08-16 00:05:30 UTC,+1790.04006671
2010-08-16 00:06:00 UTC,+1743.377183
2010-08-16 00:06:30 UTC,+1698.44255425
2010-08-16 00:07:00 UTC,+1661.71713651
2010-08-16 00:07:30 UTC,+1590.85868347
2010-08-16 00:08:00 UTC,+1486.29925887
2010-08-16 00:08:30 UTC,+1324.2753571
2010-08-16 00:09:00 UTC,+1126.39016508
2010-08-16 00:09:30 UTC,+900.852893819
2010-08-16 00:10:00 UTC,+699.079128153
2010-08-16 00:10:30 UTC,+1561.47834929
2010-08-16 00:11:00 UTC,+1574.87232517
2010-08-16 00:11:30 UTC,+1584.3777274
2010-08-16 00:12:00 UTC,+1606.41297804
2010-08-16 00:12:30 UTC,+1574.44026143
2010-08-16 00:13:00 UTC,+1529.93769641
2010-08-16 00:13:30 UTC,+1407.66365854
2010-08-16 00:14:00 UTC,+1230.94958968
2010-08-16 00:14:30 UTC,+1005.41231843
2010-08-16 00:15:00 UTC,+903.877339985
2010-08-16 00:15:30 UTC,+1275.88421844
2010-08-16 00:16:00 UTC,+1270.26738985
2010-08-16 00:16:30 UTC,+1287.11787563
2010-08-16 00:17:00 UTC,+1274.15596349
2010-08-16 00:17:30 UTC,+1201.13719176
2010-08-16 00:18:00 UTC,+1225.33276109
2010-08-16 00:18:30 UTC,+1138.48794974
2010-08-16 00:19:00 UTC,+1081.45553632
2010-08-16 00:19:30 UTC,+1026.15137785
2010-08-16 00:20:00 UTC,+984.673258999
2010-08-16 00:20:30 UTC,+1266.81087994
2010-08-16 00:21:00 UTC,+1286.25374815
2010-08-16 00:21:30 UTC,+1280.63691956
2010-08-16 00:22:00 UTC,+1240.88705566
2010-08-16 00:22:30 UTC,+1233.10990837
2010-08-16 00:23:00 UTC,+1153.61018057
2010-08-16 00:23:30 UTC,+1156.63462674
2010-08-16 00:24:00 UTC,+1097.44189463
2010-08-16 00:24:30 UTC,+1064.60505054
2010-08-16 00:25:00 UTC,+1021.83074047
2010-08-16 00:25:30 UTC,+1343.28616157
2010-08-16 00:26:00 UTC,+1377.41919688
2010-08-16 00:26:30 UTC,+1370.93824081
2010-08-16 00:27:00 UTC,+1341.98997036
2010-08-16 00:27:30 UTC,+1357.97632867
2010-08-16 00:28:00 UTC,+1352.35950007
2010-08-16 00:28:30 UTC,+1335.94107803
2010-08-16 00:29:00 UTC,+1301.80804272
2010-08-16 00:29:30 UTC,+1214.0991039
2010-08-16 00:30:00 UTC,+1149.72160693
2010-08-16 00:30:30 UTC,+1206.75402035
2010-08-16 00:31:00 UTC,+1154.90637179
2010-08-16 00:31:30 UTC,+1166.57209272
2010-08-16 00:32:00 UTC,+1118.61301779
2010-08-16 00:32:30 UTC,+1108.24348808
2010-08-16 00:33:00 UTC,+1102.19459575
2010-08-16 00:33:30 UTC,+1060.71647689
2010-08-16 00:34:00 UTC,+1017.51010309
2010-08-16 00:34:30 UTC,+1030.47201523
2010-08-16 00:35:00 UTC,+1023.12693168
2010-08-16 00:35:30 UTC,+1313.04169991
2010-08-16 00:36:00 UTC,+1356.24807372
2010-08-16 00:36:30 UTC,+1326.86773953
2010-08-16 00:37:00 UTC,+1306.1286801
2010-08-16 00:37:30 UTC,+1349.33505391
2010-08-16 00:38:00 UTC,+1361.43283857
2010-08-16 00:38:30 UTC,+1303.10423394
2010-08-16 00:39:00 UTC,+1309.15312627
2010-08-16 00:39:30 UTC,+1236.56641828
2010-08-16 00:40:00 UTC,+1191.63178952
2010-08-16 00:40:30 UTC,+1370.07411333
2010-08-16 00:41:00 UTC,+1371.37030455
2010-08-16 00:41:30 UTC,+1347.17473522
2010-08-16 00:42:00 UTC,+1345.44648026
2010-08-16 00:42:30 UTC,+1313.90582739
2010-08-16 00:43:00 UTC,+1300.07978777
2010-08-16 00:43:30 UTC,+1268.97119863
2010-08-16 00:44:00 UTC,+1246.07182051
2010-08-16 00:44:30 UTC,+1157.93081795
2010-08-16 00:45:00 UTC,+1093.55332099
2010-08-16 00:45:30 UTC,+1337.23726924
2010-08-16 00:46:00 UTC,+1342.4220341
2010-08-16 00:46:30 UTC,+1317.79440103
2010-08-16 00:47:00 UTC,+1344.15028905
2010-08-16 00:47:30 UTC,+1356.24807372
2010-08-16 00:48:00 UTC,+1324.70742084
2010-08-16 00:48:30 UTC,+1236.99848202
2010-08-16 00:49:00 UTC,+1170.46066636
2010-08-16 00:49:30 UTC,+1119.90920901
2010-08-16 00:50:00 UTC,+1095.71363968
2010-08-16 00:50:30 UTC,+1366.18553969
2010-08-16 00:51:00 UTC,+1374.82681445
2010-08-16 00:51:30 UTC,+1372.23443202
2010-08-16 00:52:00 UTC,+1319.09059224
2010-08-16 00:52:30 UTC,+1326.86773953
2010-08-16 00:53:00 UTC,+1284.5254932
2010-08-16 00:53:30 UTC,+1240.02292818
2010-08-16 00:54:00 UTC,+1209.34640278
2010-08-16 00:54:30 UTC,+1118.61301779
2010-08-16 00:55:00 UTC,+1051.21107466
2010-08-16 00:55:30 UTC,+1404.63921238
2010-08-16 00:56:00 UTC,+1408.09572228
2010-08-16 00:56:30 UTC,+1410.68810471
