# file...... Output/noControlled_house_power.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=house AND groupid=noController
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(total_load)
2010-08-16 00:00:00 UTC,+2.59238242826
2010-08-16 00:00:30 UTC,+15.9863583076
2010-08-16 00:01:00 UTC,+41.0460551141
2010-08-16 00:01:30 UTC,+54.8720947314
2010-08-16 00:02:00 UTC,+107.583870773
2010-08-16 00:02:30 UTC,+114.064826843
2010-08-16 00:03:00 UTC,+128.754993937
2010-08-16 00:03:30 UTC,+142.148969816
2010-08-16 00:04:00 UTC,+131.779440103
2010-08-16 00:04:30 UTC,+143.013097292
2010-08-16 00:05:00 UTC,+147.333734673
2010-08-16 00:05:30 UTC,+146.901670934
2010-08-16 00:06:00 UTC,+145.173415982
2010-08-16 00:06:30 UTC,+125.298484032
2010-08-16 00:07:00 UTC,+104.127360868
2010-08-16 00:07:30 UTC,+89.0051300368
2010-08-16 00:08:00 UTC,+92.0295762031
2010-08-16 00:08:30 UTC,+79.9317915379
2010-08-16 00:09:00 UTC,+72.5867079912
2010-08-16 00:09:30 UTC,+78.6356003238
2010-08-16 00:10:00 UTC,+67.8340068727
2010-08-16 00:10:30 UTC,+79.0676640618
2010-08-16 00:11:00 UTC,+75.1790904194
2010-08-16 00:11:30 UTC,+83.3883014422
2010-08-16 00:12:00 UTC,+92.4616399411
2010-08-16 00:12:30 UTC,+93.7578311553
2010-08-16 00:13:00 UTC,+97.6464047976
2010-08-16 00:13:30 UTC,+79.4997277998
2010-08-16 00:14:00 UTC,+59.6247958499
2010-08-16 00:14:30 UTC,+62.2171782781
2010-08-16 00:15:00 UTC,+51.8476485651
2010-08-16 00:15:30 UTC,+40.613991376
2010-08-16 00:16:00 UTC,+43.2063738043
2010-08-16 00:16:30 UTC,+38.8857364238
2010-08-16 00:17:00 UTC,+42.7743100662
2010-08-16 00:17:30 UTC,+29.3803341869
2010-08-16 00:18:00 UTC,+28.9482704489
2010-08-16 00:18:30 UTC,+39.7498638999
2010-08-16 00:19:00 UTC,+36.2933539956
2010-08-16 00:19:30 UTC,+34.1330353054
2010-08-16 00:20:00 UTC,+40.613991376
2010-08-16 00:20:30 UTC,+41.9101825901
2010-08-16 00:21:00 UTC,+41.0460551141
2010-08-16 00:21:30 UTC,+48.3911386608
2010-08-16 00:22:00 UTC,+57.0324134216
2010-08-16 00:22:30 UTC,+68.2660706107
2010-08-16 00:23:00 UTC,+47.9590749227
2010-08-16 00:23:30 UTC,+52.7117760412
2010-08-16 00:24:00 UTC,+55.7362222075
2010-08-16 00:24:30 UTC,+55.7362222075
2010-08-16 00:25:00 UTC,+57.0324134216
2010-08-16 00:25:30 UTC,+51.8476485651
2010-08-16 00:26:00 UTC,+67.4019431347
2010-08-16 00:26:30 UTC,+65.2416244444
2010-08-16 00:27:00 UTC,+62.6492420162
2010-08-16 00:27:30 UTC,+63.5133694923
2010-08-16 00:28:00 UTC,+55.3041584695
2010-08-16 00:28:30 UTC,+54.4400309934
2010-08-16 00:29:00 UTC,+52.7117760412
2010-08-16 00:29:30 UTC,+51.8476485651
2010-08-16 00:30:00 UTC,+49.6873298749
2010-08-16 00:30:30 UTC,+50.1193936129
2010-08-16 00:31:00 UTC,+48.3911386608
2010-08-16 00:31:30 UTC,+60.0568595879
2010-08-16 00:32:00 UTC,+66.9698793966
2010-08-16 00:32:30 UTC,+79.4997277998
2010-08-16 00:33:00 UTC,+71.7225805151
2010-08-16 00:33:30 UTC,+68.2660706107
2010-08-16 00:34:00 UTC,+64.3774969684
2010-08-16 00:34:30 UTC,+75.6111541575
2010-08-16 00:35:00 UTC,+63.5133694923
