# file...... Output/total_feeder_load_Meter_1.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... meter 225
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,measured_real_power, measured_power
2010-08-16 00:00:00 UTC,+31295.5574742,+31295.6+12571.6j
2010-08-16 00:00:30 UTC,+160951.109178,+160951+61427.7j
2010-08-16 00:01:00 UTC,+286721.292019,+286721+109073j
2010-08-16 00:01:30 UTC,+401353.745,+401354+152737j
2010-08-16 00:02:00 UTC,+553903.889108,+553904+210955j
2010-08-16 00:02:30 UTC,+627154.395607,+627154+239073j
2010-08-16 00:03:00 UTC,+680936.718792,+680937+259617j
2010-08-16 00:03:30 UTC,+705854.650477,+705855+269378j
2010-08-16 00:04:00 UTC,+668398.64177,+668399+255132j
2010-08-16 00:04:30 UTC,+712918.167073,+712918+272345j
2010-08-16 00:05:00 UTC,+729727.487403,+729727+279165j
2010-08-16 00:05:30 UTC,+1836577.8083,+1.83658e+06+722769j
2010-08-16 00:06:00 UTC,+1792162.96897,+1.79216e+06+706693j
2010-08-16 00:06:30 UTC,+1747680.32533,+1.74768e+06+689249j
2010-08-16 00:07:00 UTC,+1710184.36241,+1.71018e+06+674008j
2010-08-16 00:07:30 UTC,+1638967.33066,+1.63897e+06+645903j
2010-08-16 00:08:00 UTC,+1530650.01784,+1.53065e+06+600791j
2010-08-16 00:08:30 UTC,+1363612.20841,+1.36361e+06+533393j
2010-08-16 00:09:00 UTC,+1159652.12679,+1.15965e+06+451728j
2010-08-16 00:09:30 UTC,+926984.746857,+926985+358760j
2010-08-16 00:10:00 UTC,+718901.935662,+718902+276452j
2010-08-16 00:10:30 UTC,+1607217.83202,+1.60722e+06+631375j
2010-08-16 00:11:00 UTC,+1621277.24302,+1.62128e+06+637305j
2010-08-16 00:11:30 UTC,+1630940.4575,+1.63094e+06+640825j
2010-08-16 00:12:00 UTC,+1653426.81123,+1.65343e+06+649744j
2010-08-16 00:12:30 UTC,+1620804.6979,+1.6208e+06+637028j
