# file...... Output/triplex_line_power_losses.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=triplex_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(power_losses.real)
2010-08-16 00:00:00 UTC,+13.2844238844
2010-08-16 00:00:30 UTC,+73.1675703177
2010-08-16 00:01:00 UTC,+132.729642599
2010-08-16 00:01:30 UTC,+189.866056576
2010-08-16 00:02:00 UTC,+276.279319427
2010-08-16 00:02:30 UTC,+312.098641844
2010-08-16 00:03:00 UTC,+341.238599796
2010-08-16 00:03:30 UTC,+368.360853262
2010-08-16 00:04:00 UTC,+356.597114434
2010-08-16 00:04:30 UTC,+386.92507064
2010-08-16 00:05:00 UTC,+400.299387136
2010-08-16 00:05:30 UTC,+971.373424635
2010-08-16 00:06:00 UTC,+935.332290698
2010-08-16 00:06:30 UTC,+905.636872063
2010-08-16 00:07:00 UTC,+885.053043419
2010-08-16 00:07:30 UTC,+851.778655715
2010-08-16 00:08:00 UTC,+812.320781779
2010-08-16 00:08:30 UTC,+733.301737737
2010-08-16 00:09:00 UTC,+632.936411153
2010-08-16 00:09:30 UTC,+504.662889381
2010-08-16 00:10:00 UTC,+388.700318859
2010-08-16 00:10:30 UTC,+821.746989665
2010-08-16 00:11:00 UTC,+828.483593998
2010-08-16 00:11:30 UTC,+826.633710989
2010-08-16 00:12:00 UTC,+828.108379245
2010-08-16 00:12:30 UTC,+825.23768364
2010-08-16 00:13:00 UTC,+811.505176016
2010-08-16 00:13:30 UTC,+760.053968457
2010-08-16 00:14:00 UTC,+673.466299635
2010-08-16 00:14:30 UTC,+543.370772077
2010-08-16 00:15:00 UTC,+487.276328113
2010-08-16 00:15:30 UTC,+682.034456181
2010-08-16 00:16:00 UTC,+674.927770797
2010-08-16 00:16:30 UTC,+686.763563193
2010-08-16 00:17:00 UTC,+672.829731137
2010-08-16 00:17:30 UTC,+646.989899281
2010-08-16 00:18:00 UTC,+660.274985303
2010-08-16 00:18:30 UTC,+608.580455852
2010-08-16 00:19:00 UTC,+570.558548475
2010-08-16 00:19:30 UTC,+535.606516345
2010-08-16 00:20:00 UTC,+515.834655523
2010-08-16 00:20:30 UTC,+647.194281397
2010-08-16 00:21:00 UTC,+660.475971532
2010-08-16 00:21:30 UTC,+663.168156035
2010-08-16 00:22:00 UTC,+645.755382837
2010-08-16 00:22:30 UTC,+657.98713614
2010-08-16 00:23:00 UTC,+614.689339259
2010-08-16 00:23:30 UTC,+622.508938687
2010-08-16 00:24:00 UTC,+598.286073691
2010-08-16 00:24:30 UTC,+581.000546776
2010-08-16 00:25:00 UTC,+560.467595198
2010-08-16 00:25:30 UTC,+716.559464281
2010-08-16 00:26:00 UTC,+730.669486843
2010-08-16 00:26:30 UTC,+714.85298169
2010-08-16 00:27:00 UTC,+706.931465993
2010-08-16 00:27:30 UTC,+720.013205541
2010-08-16 00:28:00 UTC,+725.504103175
2010-08-16 00:28:30 UTC,+716.261297476
2010-08-16 00:29:00 UTC,+693.324490409
2010-08-16 00:29:30 UTC,+643.628764341
2010-08-16 00:30:00 UTC,+608.258650537
2010-08-16 00:30:30 UTC,+640.899096379
2010-08-16 00:31:00 UTC,+607.74764659
2010-08-16 00:31:30 UTC,+612.982268435
2010-08-16 00:32:00 UTC,+584.932918077
2010-08-16 00:32:30 UTC,+584.412583766
2010-08-16 00:33:00 UTC,+584.675272904
2010-08-16 00:33:30 UTC,+557.049344148
2010-08-16 00:34:00 UTC,+533.920327621
2010-08-16 00:34:30 UTC,+536.79186447
2010-08-16 00:35:00 UTC,+540.71416307
2010-08-16 00:35:30 UTC,+688.229801506
2010-08-16 00:36:00 UTC,+715.306408731
2010-08-16 00:36:30 UTC,+704.51171376
2010-08-16 00:37:00 UTC,+692.25490498
2010-08-16 00:37:30 UTC,+737.479414637
2010-08-16 00:38:00 UTC,+738.031504799
2010-08-16 00:38:30 UTC,+714.771928128
2010-08-16 00:39:00 UTC,+715.220479946
2010-08-16 00:39:30 UTC,+666.465197181
2010-08-16 00:40:00 UTC,+637.056192856
2010-08-16 00:40:30 UTC,+733.817379257
2010-08-16 00:41:00 UTC,+738.175208863
2010-08-16 00:41:30 UTC,+722.200630046
2010-08-16 00:42:00 UTC,+725.381054141
2010-08-16 00:42:30 UTC,+722.094878543
2010-08-16 00:43:00 UTC,+717.088137099
2010-08-16 00:43:30 UTC,+700.749568555
2010-08-16 00:44:00 UTC,+683.647535007
2010-08-16 00:44:30 UTC,+632.25073945
2010-08-16 00:45:00 UTC,+585.104368425
2010-08-16 00:45:30 UTC,+708.574363578
2010-08-16 00:46:00 UTC,+701.138416694
2010-08-16 00:46:30 UTC,+679.853658915
2010-08-16 00:47:00 UTC,+692.637653764
2010-08-16 00:47:30 UTC,+705.009289897
2010-08-16 00:48:00 UTC,+696.660809975
2010-08-16 00:48:30 UTC,+653.501759389
2010-08-16 00:49:00 UTC,+625.539827244
2010-08-16 00:49:30 UTC,+592.061629619
2010-08-16 00:50:00 UTC,+588.560321675
2010-08-16 00:50:30 UTC,+720.586595684
2010-08-16 00:51:00 UTC,+719.535382208
2010-08-16 00:51:30 UTC,+714.671749891
2010-08-16 00:52:00 UTC,+689.656655159
2010-08-16 00:52:30 UTC,+710.943337223
2010-08-16 00:53:00 UTC,+694.91559574
2010-08-16 00:53:30 UTC,+677.821499825
2010-08-16 00:54:00 UTC,+666.1202559
2010-08-16 00:54:30 UTC,+614.304413899
2010-08-16 00:55:00 UTC,+578.794437819
2010-08-16 00:55:30 UTC,+752.905233694
2010-08-16 00:56:00 UTC,+758.628311559
2010-08-16 00:56:30 UTC,+751.850068464
2010-08-16 00:57:00 UTC,+762.156105604
2010-08-16 00:57:30 UTC,+777.896214235
2010-08-16 00:58:00 UTC,+762.745638416
2010-08-16 00:58:30 UTC,+745.865743729
2010-08-16 00:59:00 UTC,+698.702443455
2010-08-16 00:59:30 UTC,+693.539653655
2010-08-16 01:00:00 UTC,+669.042063272
2010-08-16 01:00:30 UTC,+656.439552409
2010-08-16 01:01:00 UTC,+666.600740213
2010-08-16 01:01:30 UTC,+660.338303254
2010-08-16 01:02:00 UTC,+665.334176747
2010-08-16 01:02:30 UTC,+656.621622194
2010-08-16 01:03:00 UTC,+657.306583223
2010-08-16 01:03:30 UTC,+613.109960092
2010-08-16 01:04:00 UTC,+566.033559365
2010-08-16 01:04:30 UTC,+568.661307672
2010-08-16 01:05:00 UTC,+558.413515013
2010-08-16 01:05:30 UTC,+711.210483192
2010-08-16 01:06:00 UTC,+690.507350679
2010-08-16 01:06:30 UTC,+703.216520289
2010-08-16 01:07:00 UTC,+723.402039166
2010-08-16 01:07:30 UTC,+742.893380385
2010-08-16 01:08:00 UTC,+733.160187271
2010-08-16 01:08:30 UTC,+727.738356918
2010-08-16 01:09:00 UTC,+745.365463457
2010-08-16 01:09:30 UTC,+696.176419657
2010-08-16 01:10:00 UTC,+655.171897485
2010-08-16 01:10:30 UTC,+743.061320092
2010-08-16 01:11:00 UTC,+723.958557353
2010-08-16 01:11:30 UTC,+707.780294678
2010-08-16 01:12:00 UTC,+693.939807011
2010-08-16 01:12:30 UTC,+655.342479829
2010-08-16 01:13:00 UTC,+641.143896637
2010-08-16 01:13:30 UTC,+639.297537344
2010-08-16 01:14:00 UTC,+572.075623275
2010-08-16 01:14:30 UTC,+531.109983033
2010-08-16 01:15:00 UTC,+523.202771588
2010-08-16 01:15:30 UTC,+714.806984266
2010-08-16 01:16:00 UTC,+712.510820639
2010-08-16 01:16:30 UTC,+696.276821177
2010-08-16 01:17:00 UTC,+688.13351178
2010-08-16 01:17:30 UTC,+679.658850225
2010-08-16 01:18:00 UTC,+664.870503582
2010-08-16 01:18:30 UTC,+635.389068342
2010-08-16 01:19:00 UTC,+595.968610262
2010-08-16 01:19:30 UTC,+539.817722667
2010-08-16 01:20:00 UTC,+548.017051318
2010-08-16 01:20:30 UTC,+613.795196458
2010-08-16 01:21:00 UTC,+641.680853773
2010-08-16 01:21:30 UTC,+615.166993969
2010-08-16 01:22:00 UTC,+626.662329227
2010-08-16 01:22:30 UTC,+603.844955626
2010-08-16 01:23:00 UTC,+601.749256745
2010-08-16 01:23:30 UTC,+566.596753563
2010-08-16 01:24:00 UTC,+543.650706874
2010-08-16 01:24:30 UTC,+517.969497561
2010-08-16 01:25:00 UTC,+492.345975076
2010-08-16 01:25:30 UTC,+780.427292503
2010-08-16 01:26:00 UTC,+781.209316765
2010-08-16 01:26:30 UTC,+765.62128691
2010-08-16 01:27:00 UTC,+755.43471621
2010-08-16 01:27:30 UTC,+740.206650562
2010-08-16 01:28:00 UTC,+704.249621601
2010-08-16 01:28:30 UTC,+678.439533614
2010-08-16 01:29:00 UTC,+610.188158684
2010-08-16 01:29:30 UTC,+532.385280348
2010-08-16 01:30:00 UTC,+508.075226544
2010-08-16 01:30:30 UTC,+731.104598322
2010-08-16 01:31:00 UTC,+693.711630989
2010-08-16 01:31:30 UTC,+697.656533276
2010-08-16 01:32:00 UTC,+689.576324658
2010-08-16 01:32:30 UTC,+659.054478302
2010-08-16 01:33:00 UTC,+634.910880699
2010-08-16 01:33:30 UTC,+609.725354008
2010-08-16 01:34:00 UTC,+522.373696772
2010-08-16 01:34:30 UTC,+453.087351972
2010-08-16 01:35:00 UTC,+439.781750283
2010-08-16 01:35:30 UTC,+703.714643523
2010-08-16 01:36:00 UTC,+727.402637156
2010-08-16 01:36:30 UTC,+740.298549892
2010-08-16 01:37:00 UTC,+731.921349036
2010-08-16 01:37:30 UTC,+720.331741824
2010-08-16 01:38:00 UTC,+711.613747881
2010-08-16 01:38:30 UTC,+658.476734577
2010-08-16 01:39:00 UTC,+600.079504239
2010-08-16 01:39:30 UTC,+550.917083291
2010-08-16 01:40:00 UTC,+468.66794464
2010-08-16 01:40:30 UTC,+639.613802833
2010-08-16 01:41:00 UTC,+625.872891944
2012010-08-16 01:41:30 UTC,+193.921378287
2010-08-16 01:42:00 UTC,+271.820111389
2010-08-16 01:42:30 UTC,+253.898306971
2010-08-16 01:43:00 UTC,+269.362436684
2010-08-16 01:43:30 UTC,+226.12577203
2010-08-16 01:44:00 UTC,+193.019362712
2010-08-16 01:44:30 UTC,+215.574150092
2010-08-16 01:45:00 UTC,+179.408596038
2010-08-16 01:45:30 UTC,+353.030397437
