# file...... Output/xfmr_power_losses.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# group..... class=transformer AND groupid=Distribution_Trans
# trigger... (none)
# interval.. 30
# limit..... 0
# property.. timestamp,sum(power_losses.real)
2010-08-16 00:00:00 UTC,+1304.96070406
2010-08-16 00:00:30 UTC,+1303.65703293
2010-08-16 00:01:00 UTC,+1303.32181608
2010-08-16 00:01:30 UTC,+1303.30996939
2010-08-16 00:02:00 UTC,+1304.58682735
2010-08-16 00:02:30 UTC,+1305.65927884
2010-08-16 00:03:00 UTC,+1306.1590732
2010-08-16 00:03:30 UTC,+1306.80369685
2010-08-16 00:04:00 UTC,+1305.4504233
2010-08-16 00:04:30 UTC,+1306.10344363
2010-08-16 00:05:00 UTC,+1312.82724506
2010-08-16 00:05:30 UTC,+1375.11187079
2010-08-16 00:06:00 UTC,+1382.95317797
2010-08-16 00:06:30 UTC,+1384.48093273
2010-08-16 00:07:00 UTC,+1382.58549539
2010-08-16 00:07:30 UTC,+1381.5652234
2010-08-16 00:08:00 UTC,+1374.77401331
2010-08-16 00:08:30 UTC,+1363.8492176
2010-08-16 00:09:00 UTC,+1354.00886964
2010-08-16 00:09:30 UTC,+1342.93097765
2010-08-16 00:10:00 UTC,+1336.27925608
2010-08-16 00:10:30 UTC,+1377.10911988
2010-08-16 00:11:00 UTC,+1379.76147397
2010-08-16 00:11:30 UTC,+1381.05500148
2010-08-16 00:12:00 UTC,+1382.36363859
2010-08-16 00:12:30 UTC,+1377.88188525
2010-08-16 00:13:00 UTC,+1376.16139777
2010-08-16 00:13:30 UTC,+1369.89249408
2010-08-16 00:14:00 UTC,+1359.75367316
2010-08-16 00:14:30 UTC,+1349.08840988
2010-08-16 00:15:00 UTC,+1341.26184323
2010-08-16 00:15:30 UTC,+1361.56577919
2010-08-16 00:16:00 UTC,+1360.9565533
2010-08-16 00:16:30 UTC,+1360.53642842
2010-08-16 00:17:00 UTC,+1359.71378241
2010-08-16 00:17:30 UTC,+1355.55436292
2010-08-16 00:18:00 UTC,+1357.78222377
2010-08-16 00:18:30 UTC,+1350.14463539
2010-08-16 00:19:00 UTC,+1350.75342106
2010-08-16 00:19:30 UTC,+1347.86215866
2010-08-16 00:20:00 UTC,+1345.7143469
2010-08-16 00:20:30 UTC,+1361.01136417
2010-08-16 00:21:00 UTC,+1364.22377957
2010-08-16 00:21:30 UTC,+1362.90968562
2010-08-16 00:22:00 UTC,+1360.45965453
2010-08-16 00:22:30 UTC,+1359.4672054
2010-08-16 00:23:00 UTC,+1354.33672006
2010-08-16 00:23:30 UTC,+1354.23990943
2010-08-16 00:24:00 UTC,+1351.54925275
2010-08-16 00:24:30 UTC,+1350.95697676
2010-08-16 00:25:00 UTC,+1346.19557142
2010-08-16 00:25:30 UTC,+1361.82891341
2010-08-16 00:26:00 UTC,+1361.39947528
2010-08-16 00:26:30 UTC,+1361.17848651
2010-08-16 00:27:00 UTC,+1359.10670043
2010-08-16 00:27:30 UTC,+1362.02596157
2010-08-16 00:28:00 UTC,+1360.91529761
2010-08-16 00:28:30 UTC,+1360.44851793
2010-08-16 00:29:00 UTC,+1359.78004992
2010-08-16 00:29:30 UTC,+1354.07405499
2010-08-16 00:30:00 UTC,+1350.48756731
2010-08-16 00:30:30 UTC,+1355.81408544
2010-08-16 00:31:00 UTC,+1355.57927922
2010-08-16 00:31:30 UTC,+1354.21143347
2010-08-16 00:32:00 UTC,+1351.08676958
2010-08-16 00:32:30 UTC,+1350.62638737
2010-08-16 00:33:00 UTC,+1350.22345525
2010-08-16 00:33:30 UTC,+1347.5177228
2010-08-16 00:34:00 UTC,+1344.93974172
2010-08-16 00:34:30 UTC,+1344.12407051
2010-08-16 00:35:00 UTC,+1345.66004538
2010-08-16 00:35:30 UTC,+1358.67714072
2010-08-16 00:36:00 UTC,+1362.73310481
2010-08-16 00:36:30 UTC,+1362.01428298
2010-08-16 00:37:00 UTC,+1361.56244841
2010-08-16 00:37:30 UTC,+1367.59430703
2010-08-16 00:38:00 UTC,+1364.43425485
2010-08-16 00:38:30 UTC,+1360.99709394
2010-08-16 00:39:00 UTC,+1363.34398796
2010-08-16 00:39:30 UTC,+1358.50725992
2010-08-16 00:40:00 UTC,+1354.65047926
2010-08-16 00:40:30 UTC,+1365.57298872
2010-08-16 00:41:00 UTC,+1365.71608417
2010-08-16 00:41:30 UTC,+1363.58127713
2010-08-16 00:42:00 UTC,+1362.53745977
2010-08-16 00:42:30 UTC,+1359.68600002
2010-08-16 00:43:00 UTC,+1357.88744964
2010-08-16 00:43:30 UTC,+1356.59169722
2010-08-16 00:44:00 UTC,+1357.28661368
2010-08-16 00:44:30 UTC,+1354.07657555
2010-08-16 00:45:00 UTC,+1350.65706917
2010-08-16 00:45:30 UTC,+1363.19463145
2010-08-16 00:46:00 UTC,+1364.19724091
2010-08-16 00:46:30 UTC,+1362.22535149
2010-08-16 00:47:00 UTC,+1364.08091424
2010-08-16 00:47:30 UTC,+1365.93818463
2010-08-16 00:48:00 UTC,+1361.41060785
2010-08-16 00:48:30 UTC,+1356.54394354
2010-08-16 00:49:00 UTC,+1353.25117114
2010-08-16 00:49:30 UTC,+1350.20675221
2010-08-16 00:50:00 UTC,+1349.88872358
2010-08-16 00:50:30 UTC,+1366.40248201
2010-08-16 00:51:00 UTC,+1363.80464919
2010-08-16 00:51:30 UTC,+1364.3201178
2010-08-16 00:52:00 UTC,+1361.71268809
2010-08-16 00:52:30 UTC,+1360.6895204
2010-08-16 00:53:00 UTC,+1358.83367648
2010-08-16 00:53:30 UTC,+1355.57119858
2010-08-16 00:54:00 UTC,+1353.67940782
2010-08-16 00:54:30 UTC,+1347.15294622
2010-08-16 00:55:00 UTC,+1344.76295519
2010-08-16 00:55:30 UTC,+1361.48191475
2010-08-16 00:56:00 UTC,+1361.03769533
2010-08-16 00:56:30 UTC,+1363.92173832
2010-08-16 00:57:00 UTC,+1367.31944504
2010-08-16 00:57:30 UTC,+1370.9115216
2010-08-16 00:58:00 UTC,+1367.38860234
2010-08-16 00:58:30 UTC,+1365.97664172
2010-08-16 00:59:00 UTC,+1363.18593555
2010-08-16 00:59:30 UTC,+1362.28964591
2010-08-16 01:00:00 UTC,+1357.1116503
2010-08-16 01:00:30 UTC,+1356.01579682
2010-08-16 01:01:00 UTC,+1355.70776435
2010-08-16 01:01:30 UTC,+1357.6577147
2010-08-16 01:02:00 UTC,+1358.84560283
2010-08-16 01:02:30 UTC,+1358.4618782
2010-08-16 01:03:00 UTC,+1356.7142213
2010-08-16 01:03:30 UTC,+1353.63524801
2010-08-16 01:04:00 UTC,+1348.12700403
2010-08-16 01:04:30 UTC,+1347.91973324
2010-08-16 01:05:00 UTC,+1348.74055687
2010-08-16 01:05:30 UTC,+1364.78710905
2010-08-16 01:06:00 UTC,+1365.14844298
2010-08-16 01:06:30 UTC,+1364.94647774
2010-08-16 01:07:00 UTC,+1367.96308075
2010-08-16 01:07:30 UTC,+1370.49583986
2010-08-16 01:08:00 UTC,+1367.30564578
2010-08-16 01:08:30 UTC,+1367.80807161
2010-08-16 01:09:00 UTC,+1369.06296853
2010-08-16 01:09:30 UTC,+1361.96747802
2010-08-16 01:10:00 UTC,+1356.87112202
2010-08-16 01:10:30 UTC,+1369.07853061
2010-08-16 01:11:00 UTC,+1365.02504293
2010-08-16 01:11:30 UTC,+1361.79897828
2010-08-16 01:12:00 UTC,+1360.76045218
2010-08-16 01:12:30 UTC,+1357.92405252
2010-08-16 01:13:00 UTC,+1353.99261304
2010-08-16 01:13:30 UTC,+1353.84957373
2010-08-16 01:14:00 UTC,+1350.59743908
2010-08-16 01:14:30 UTC,+1349.02330037
2010-08-16 01:15:00 UTC,+1347.15189185
2010-08-16 01:15:30 UTC,+1366.35261388
2010-08-16 01:16:00 UTC,+1364.12480757
2010-08-16 01:16:30 UTC,+1363.46958968
2010-08-16 01:17:00 UTC,+1363.79950841
2010-08-16 01:17:30 UTC,+1359.55231349
2010-08-16 01:18:00 UTC,+1355.45480192
2010-08-16 01:18:30 UTC,+1353.18158994
2010-08-16 01:19:00 UTC,+1350.49611994
2010-08-16 01:19:30 UTC,+1346.327858
2010-08-16 01:20:00 UTC,+1346.1692086
2010-08-16 01:20:30 UTC,+1353.00709769
2010-08-16 01:21:00 UTC,+1356.72278919
2010-08-16 01:21:30 UTC,+1354.63523449
2010-08-16 01:22:00 UTC,+1355.30937547
2010-08-16 01:22:30 UTC,+1353.31207292
2010-08-16 01:23:00 UTC,+1352.58870174
2010-08-16 01:23:30 UTC,+1349.79284097
2010-08-16 01:24:00 UTC,+1349.45204451
2010-08-16 01:24:30 UTC,+1346.24416886
2010-08-16 01:25:00 UTC,+1345.44252601
2010-08-16 01:25:30 UTC,+1383.02972615
2010-08-16 01:26:00 UTC,+1383.11836189
2010-08-16 01:26:30 UTC,+1382.10692889
2010-08-16 01:27:00 UTC,+1379.314146
2010-08-16 01:27:30 UTC,+1374.53601016
2010-08-16 01:28:00 UTC,+1368.71444651
2010-08-16 01:28:30 UTC,+1361.30801149
2010-08-16 01:29:00 UTC,+1354.02510751
2010-08-16 01:29:30 UTC,+1348.3335674
2010-08-16 01:30:00 UTC,+1346.02716261
2010-08-16 01:30:30 UTC,+1370.83516866
2010-08-16 01:31:00 UTC,+1366.76964644
2010-08-16 01:31:30 UTC,+1365.73430058
2010-08-16 01:32:00 UTC,+1366.24294495
2010-08-16 01:32:30 UTC,+1361.62980165
