# file...... Output/Qh/house_Qh_file_001.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_1A_tm_0_A_1_Meter_1_1:Qh,house_0_2A_tm_0_A_2_Meter_1_2:Qh,house_0_3A_tm_0_A_3_Meter_1_3:Qh,house_0_4A_tm_0_A_4_Meter_1_4:Qh,house_0_5A_tm_0_A_5_Meter_1_5:Qh,house_0_6A_tm_0_A_6_Meter_1_6:Qh,house_0_7A_tm_0_A_7_Meter_1_7:Qh,house_0_8A_tm_0_A_8_Meter_1_8:Qh,house_0_9A_tm_0_A_9_Meter_1_9:Qh,house_0_10A_tm_0_A_10_Meter_1_10:Qh,house_0_11A_tm_0_A_11_Meter_1_11:Qh,house_0_12A_tm_0_A_12_Meter_1_12:Qh,house_0_13A_tm_0_A_13_Meter_1_13:Qh,house_0_14A_tm_0_A_14_Meter_1_14:Qh,house_0_15A_tm_0_A_15_Meter_1_15:Qh,house_0_1B_tm_0_B_1_Meter_2_16:Qh,house_0_2B_tm_0_B_2_Meter_2_17:Qh,house_0_3B_tm_0_B_3_Meter_2_18:Qh,house_0_4B_tm_0_B_4_Meter_2_19:Qh,house_0_5B_tm_0_B_5_Meter_2_20:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,-17365.1760343,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,-30450.6671354,-17399.1971217,+0,+0,+0,+0,+0,+0,-17399.8186939,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,-30513.2082505,-17437.2648786,+0,+0,+0,+0,+0,+0,-17437.8883322,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,-30503.921118,-17431.9574934,+0,+0,-47933.6840833,+0,+0,+0,-17432.5806848,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,-30574.2536376,+0,+0,+0,-48044.2041971,+0,+0,+0,-17472.7761053,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,-30570.1485146,+0,+0,+0,-48037.7534306,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,-30564.1512891,+0,+0,+0,-48028.3294253,+0,+0,+0,+0,+0,+0,+0,+0,-52147.2345212,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48033.3505245,+0,+0,+0,+0,-21835.6127173,+0,+0,+0,-52149.1344017,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48040.2451865,+0,+0,+0,+0,-21838.7470562,+0,+0,+0,-52153.5200698,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48037.3906015,+0,+0,+0,+0,-21837.4493513,+0,-52147.2810189,+0,-52148.0775391,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21843.0111699,+0,-52153.8431627,+0,-52154.6398146,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21844.6531938,+0,-52148.9642694,+0,-52149.7608233,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21847.8482905,+0,-52147.7647036,+0,-52148.5612335,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52144.3368105,+0,-52145.1332715,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52447.3831238,+0,+0,+0,+0,+0,+0,+0,+0,-52147.1333973,+0,-52147.9299145,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52447.9149231,+0,+0,+0,+0,+0,+0,+0,+0,-52152.4136779,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,-17484.7168157,-52448.9070758,+0,+0,+0,+0,+0,+0,+0,+0,-52160.7412092,+0,+0,+0
