# file...... Output/Qh/house_Qh_file_004.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_15C_tm_0_C_15_Meter_6_61:Qh,house_0_1A_tm_0_A_1_Meter_7_62:Qh,house_0_2A_tm_0_A_2_Meter_7_63:Qh,house_0_3A_tm_0_A_3_Meter_7_64:Qh,house_0_4A_tm_0_A_4_Meter_7_65:Qh,house_0_5A_tm_0_A_5_Meter_7_66:Qh,house_0_6A_tm_0_A_6_Meter_7_67:Qh,house_0_7A_tm_0_A_7_Meter_7_68:Qh,house_0_8A_tm_0_A_8_Meter_7_69:Qh,house_0_1A_tm_0_A_1_Meter_9_70:Qh,house_0_2A_tm_0_A_2_Meter_9_71:Qh,house_0_3A_tm_0_A_3_Meter_9_72:Qh,house_0_4A_tm_0_A_4_Meter_9_73:Qh,house_0_5A_tm_0_A_5_Meter_9_74:Qh,house_0_6A_tm_0_A_6_Meter_9_75:Qh,house_0_7A_tm_0_A_7_Meter_9_76:Qh,house_0_8A_tm_0_A_8_Meter_9_77:Qh,house_0_9A_tm_0_A_9_Meter_9_78:Qh,house_0_10A_tm_0_A_10_Meter_9_79:Qh,house_0_11A_tm_0_A_11_Meter_9_80:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-25992.5012061,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-25979.1526632,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39079.6156635,+0,+0,-26010.2348961,+0,+0,+0,+0,+0,-47678.5366685,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39148.7744173,+0,+0,-26055.2384119,+0,+0,+0,+0,+0,-47761.0276155,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39129.1435608,+0,+0,-26038.5499107,+0,+0,+0,+0,+0,-47730.4377762,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39212.3354442,+0,+0,-26090.9100446,+0,+0,+0,+0,+0,-47826.4133304,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39201.664939,+0,+0,-26081.8756521,+0,+0,+0,+0,+0,-47809.8533866,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52243.1778444,-39187.4699442,+0,+0,+0,+0,+0,+0,+0,+0,-47791.947354,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52252.2984181,-39194.3115001,+0,+0,+0,+0,+0,+0,+0,+0,-47802.6031131,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52266.6003911,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47816.6642423,-21738.5959437,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52261.724461,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47813.0109858,-21736.9350069,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52282.5287877,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47837.2668909,-21747.9628457,+0
2010-08-16 00:06:00 UTC,+0,-52289.9087502,+0,+0,+0,+0,+0,-52287.3885019,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21752.3715059,+0
2010-08-16 00:06:30 UTC,+0,-52303.6284845,+0,+0,+0,+0,+0,-52301.1073616,+0,+0,+0,+0,+0,+0,+0,+0,-26111.8814433,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,-52326.3724454,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26124.3675811,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,-52338.1178803,-65425.5597331,+0,+0,+0,+0,+0,+0,-56611.0732921,+0,+0,+0,+0,+0,+0,-26132.5017925,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,-52339.1179144,-65426.8098455,+0,+0,+0,+0,+0,+0,-56612.4705962,+0,+0,+0,+0,+0,+0,-26133.146836,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,-52341.3917037,-65429.6522405,+0,+0,+0,+0,+0,+0,-56615.6998511,+0,+0,+0,+0,+0,+0,-26134.8189417,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,-52342.1389581,-65431.1691604,+0,+0,+0,+0,+0,+0,-56615.0906437,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,-52343.0066463,-65432.2538502,+0,+0,+0,+0,+0,+0,-56617.8610881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,-52355.0608566,-65447.3227195,+0,+0,+0,+0,+0,+0,-56635.0184194,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,-65452.6135066,+0,+0,+0,+0,+0,+0,-56638.0428183,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39276.4325819,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,-13087.7695812,+0,+0,+0,+0,+0,+0,+0,-39286.3040362,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,-13086.9455568,+0,+0,+0,+0,+0,+0,+0,-39301.611961,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,-13085.9898763,+0,+0,+0,+0,+0,+0,+0,-39304.708962,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,-13087.047013,+0,+0,+0,+0,+0,+0,+0,-39311.4335464,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39310.377197,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21819.5848414,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39302.7935789,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21811.460717,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47971.3283786,-21808.7963795,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47960.7364124,-21803.9808416,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47958.3205028,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47952.9426631,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26160.4877408,+0,+0,+0,+0,+0,-47954.2172498,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26160.4250629,+0,+0,+0,+0,+0,-47954.1023605,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,-39297.4791242,+0,+0,+0,+0,-26159.20509,+0,+0,+0,+0,+0,-47951.866138,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,-39285.1393116,-52371.3768442,+0,+0,+0,-26155.0724905,+0,+0,+0,+0,+0,-47944.2910419,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,-39287.2834018,-52374.2350294,+0,+0,+0,-26157.0136385,+0,+0,+0,+0,+0,-47947.8491858,+0,+0
