# file...... Output/Qh/house_Qh_file_006.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_9A_tm_0_A_9_Meter_11_101:Qh,house_0_10A_tm_0_A_10_Meter_11_102:Qh,house_0_11A_tm_0_A_11_Meter_11_103:Qh,house_0_12A_tm_0_A_12_Meter_11_104:Qh,house_0_13A_tm_0_A_13_Meter_11_105:Qh,house_0_14A_tm_0_A_14_Meter_11_106:Qh,house_0_15A_tm_0_A_15_Meter_11_107:Qh,house_0_1B_tm_0_B_1_Meter_12_108:Qh,house_0_2B_tm_0_B_2_Meter_12_109:Qh,house_0_3B_tm_0_B_3_Meter_12_110:Qh,house_0_4B_tm_0_B_4_Meter_12_111:Qh,house_0_5B_tm_0_B_5_Meter_12_112:Qh,house_0_6B_tm_0_B_6_Meter_12_113:Qh,house_0_7B_tm_0_B_7_Meter_12_114:Qh,house_0_8B_tm_0_B_8_Meter_12_115:Qh,house_0_1C_tm_0_C_1_Meter_16_116:Qh,house_0_2C_tm_0_C_2_Meter_16_117:Qh,house_0_3C_tm_0_C_3_Meter_16_118:Qh,house_0_4C_tm_0_C_4_Meter_16_119:Qh,house_0_5C_tm_0_C_5_Meter_16_120:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56371.8777726,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34761.2196265,+0,+0,+0,+0,+0,-56334.8438591,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34760.5571123,+0,+0,+0,+0,+0,-56323.1547876,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34750.4984903,+0,+0,+0,+0,+0,-56303.3291754,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34750.2064339,+0,+0,+0,+0,+0,-56299.6290205,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-13034.3822015,+0,-34752.8529662,+0,+0,+0,+0,+0,-56258.7263708,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-13036.1886109,+0,-34757.5500912,+0,+0,+0,-52133.7101398,+0,-56352.8172114,+0,+0,+0
