# file...... Output/Qh/house_Qh_file_007.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_6C_tm_0_C_6_Meter_16_121:Qh,house_0_7C_tm_0_C_7_Meter_16_122:Qh,house_0_8C_tm_0_C_8_Meter_16_123:Qh,house_0_9C_tm_0_C_9_Meter_16_124:Qh,house_0_10C_tm_0_C_10_Meter_16_125:Qh,house_0_11C_tm_0_C_11_Meter_16_126:Qh,house_0_12C_tm_0_C_12_Meter_16_127:Qh,house_0_13C_tm_0_C_13_Meter_16_128:Qh,house_0_14C_tm_0_C_14_Meter_16_129:Qh,house_0_15C_tm_0_C_15_Meter_16_130:Qh,house_0_1C_tm_0_C_1_Meter_17_131:Qh,house_0_2C_tm_0_C_2_Meter_17_132:Qh,house_0_3C_tm_0_C_3_Meter_17_133:Qh,house_0_4C_tm_0_C_4_Meter_17_134:Qh,house_0_5C_tm_0_C_5_Meter_17_135:Qh,house_0_6C_tm_0_C_6_Meter_17_136:Qh,house_0_7C_tm_0_C_7_Meter_17_137:Qh,house_0_8C_tm_0_C_8_Meter_17_138:Qh,house_0_1A_tm_0_A_1_Meter_19_139:Qh,house_0_2A_tm_0_A_2_Meter_19_140:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,-47702.1372086,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30294.334831
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,-47670.7983901,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30261.6501081
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,-47660.9068702,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30308.9639275
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,-47644.1300511,+0,+0,+0,+0,-38988.8958384,+0,+0,+0,+0,+0,+0,+0,-30286.2902242
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,-47641.4134945,+0,+0,+0,+0,-38986.2551445,+0,+0,+0,+0,+0,+0,+0,-30261.1869124
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,-60590.0029862,-47606.8002673,+0,+0,+0,+0,-38960.819216,+0,+0,+0,+0,+0,+0,+0,-30267.6998456
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,-60691.3397074,-47686.4231669,+0,+0,+0,+0,-39026.0063439,+0,+0,+0,+0,+0,+0,+0,-30286.6617903
