# file...... Output/Qh/house_Qh_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:Qh,house_0_9A_tm_0_A_9_Meter_20_162:Qh,house_0_10A_tm_0_A_10_Meter_20_163:Qh,house_0_11A_tm_0_A_11_Meter_20_164:Qh,house_0_12A_tm_0_A_12_Meter_20_165:Qh,house_0_13A_tm_0_A_13_Meter_20_166:Qh,house_0_14A_tm_0_A_14_Meter_20_167:Qh,house_0_15A_tm_0_A_15_Meter_20_168:Qh,house_1_1B_tm_1_B_1_Meter_22_169:Qh,house_1_2B_tm_1_B_2_Meter_22_170:Qh,house_1_3B_tm_1_B_3_Meter_22_171:Qh,house_1_4B_tm_1_B_4_Meter_22_172:Qh,house_1_5B_tm_1_B_5_Meter_22_173:Qh,house_1_6B_tm_1_B_6_Meter_22_174:Qh,house_1_7B_tm_1_B_7_Meter_22_175:Qh,house_1_8B_tm_1_B_8_Meter_22_176:Qh,house_1_9B_tm_1_B_9_Meter_22_177:Qh,house_1_10B_tm_1_B_10_Meter_22_178:Qh,house_1_11B_tm_1_B_11_Meter_22_179:Qh,house_1_12B_tm_1_B_12_Meter_22_180:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52081.9969349,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43423.0663745,+0,+0,+0,-52099.8692603,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,-38942.9258853,+0,+0,+0,+0,+0,+0,+0,+0,-43402.5559116,+0,+0,+0,-52075.2617066,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-21611.5719059,-38898.6059326,-38895.815289,+0,+0,+0,+0,+0,+0,+0,-43414.278587,+0,+0,+0,-52089.326058,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-21645.5889864,-38959.8328182,-38957.0356294,+0,+0,+0,+0,+0,+0,+0,-43409.7617725,+0,+0,+0,-52083.906982,-47752.4542068,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-21628.9847785,-38929.9471277,-38927.1531329,+0,+0,+0,+0,+0,+0,+0,-43388.4694782,+0,+0,+0,-52058.3614216,-47729.0314935,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,-21609.6486592,-38895.1443067,-38892.7873691,+0,-60496.1415732,+0,+0,+0,+0,+0,-43395.7514182,+0,+0,+0,-52067.0979735,-47737.0420344,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,-38905.0800676,-38902.7222917,+0,-60511.5946472,+0,+0,+0,+0,+0,-43402.0321418,+0,+0,+0,-52074.6333102,-47743.9511812,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,-38928.8510892,+0,-60552.2361557,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47769.573694,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,-38924.1162121,+0,-60544.871387,+0,+0,+0,+0,+0,+0,+0,-43416.5138667,+0,+0,-47763.4004885,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,-38952.3485901,-38956.5311762,-60588.7848679,+0,+0,+0,+0,+0,+0,+0,-43430.2469568,+0,+0,-47778.5090031,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,-38967.7382046,-60606.2142309,+0,+0,+0,+0,+0,+0,+0,-43406.6304299,+0,+0,-47752.5271854,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,-38992.8467579,-60645.2634862,+0,+0,+0,+0,+0,+0,+0,-43405.9072193,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,-39016.8274453,-60682.5586672,+0,+0,+0,+0,+0,+0,+0,-43402.4984533,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,-39053.4796478,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,-39063.3242053,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,-39072.2044797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
