# file...... Output/Qh/house_Qh_file_010.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13B_tm_1_B_13_Meter_22_181:Qh,house_1_14B_tm_1_B_14_Meter_22_182:Qh,house_1_15B_tm_1_B_15_Meter_22_183:Qh,house_1_1C_tm_1_C_1_Meter_24_184:Qh,house_1_2C_tm_1_C_2_Meter_24_185:Qh,house_1_3C_tm_1_C_3_Meter_24_186:Qh,house_1_4C_tm_1_C_4_Meter_24_187:Qh,house_1_5C_tm_1_C_5_Meter_24_188:Qh,house_1_6C_tm_1_C_6_Meter_24_189:Qh,house_1_7C_tm_1_C_7_Meter_24_190:Qh,house_1_8C_tm_1_C_8_Meter_24_191:Qh,house_1_9C_tm_1_C_9_Meter_24_192:Qh,house_1_10C_tm_1_C_10_Meter_24_193:Qh,house_1_11C_tm_1_C_11_Meter_24_194:Qh,house_1_12C_tm_1_C_12_Meter_24_195:Qh,house_1_13C_tm_1_C_13_Meter_24_196:Qh,house_1_14C_tm_1_C_14_Meter_24_197:Qh,house_1_15C_tm_1_C_15_Meter_24_198:Qh,house_1_1A_tm_1_A_1_Meter_28_199:Qh,house_1_2A_tm_1_A_2_Meter_28_200:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60514.2422791,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60634.2734331,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60594.6859757,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47554.913119,+0,+0,-60524.1237735,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47546.6264217,+0,+0,-60513.5770409,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47530.2349933,+0,+0,-60492.7151695,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,-25922.6811629,+0,+0,+0,-47521.54423,+0,+0,-60481.6541697,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,-25905.8903135,+0,+0,+0,-47491.2317654,+0,+0,-60442.479269,+0,+0,+0,+0,+0,-25938.8908736
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,-47556.5641094,+0,-25943.3203765,+0,+0,+0,-47559.8481797,+0,+0,-60529.8077284,+0,+0,+0,+0,+0,-25955.7845963
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,-47569.8642828,+0,-25950.57629,-56232.8856674,+0,+0,-47573.1496473,+0,+0,+0,+0,+0,+0,+0,+0,-25951.1997928
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,-47530.7670873,+0,-25929.2468034,-56174.7184904,+0,+0,-47534.0486469,+0,+0,+0,+0,+0,-43214.6750608,+0,+0,-25977.5071173
2010-08-16 00:06:00 UTC,-60763.5882611,+0,+0,+0,-47584.4994425,+0,+0,-56238.223772,+0,+0,-47587.7862308,+0,+0,+0,+0,+0,-43263.5302237,+0,+0,-25984.4168276
2010-08-16 00:06:30 UTC,-60762.5758878,+0,+0,+0,-47607.1177811,+0,+0,-56264.2622689,+0,+0,-47609.8197665,+0,+0,+0,+0,+0,-43283.5618641,+0,+0,+0
2010-08-16 00:07:00 UTC,-60757.8041885,+0,+0,+0,-47606.4264273,+0,+0,-56263.445191,+0,+0,+0,+0,+0,+0,+0,+0,-43282.9332791,+0,+0,+0
2010-08-16 00:07:30 UTC,-60754.7678171,+0,+0,+0,-47609.8453026,+0,+0,-56267.4857959,+0,+0,+0,+0,+0,+0,+0,+0,-43286.0417514,+0,+0,+0
2010-08-16 00:08:00 UTC,-60763.5297324,+0,+0,+0,-47643.0565968,+0,+0,-56306.7366337,+0,+0,+0,+0,+0,+0,+0,+0,-43316.237759,+0,+0,+0
2010-08-16 00:08:30 UTC,-60775.1715437,+0,+0,+0,+0,+0,+0,-56333.0096216,+0,+0,+0,+0,+0,+0,+0,+0,-43336.4497944,+0,+0,+0
2010-08-16 00:09:00 UTC,-60777.2073777,+0,+0,+0,+0,+0,+0,-56365.6638463,+0,+0,+0,+0,+0,+0,+0,+0,-43361.5709699,+0,+0,+0
2010-08-16 00:09:30 UTC,-60797.0388659,+0,+0,+0,+0,+0,+0,-56405.9367074,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,-26079.2297668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,-26077.7439794,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,-26081.3737899,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,-26076.9592266,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,-52125.4283262,-26063.8100938,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,-52147.3446135,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,-52130.0356156,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,-52116.549572,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26087.2877455
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,-52107.543727,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26084.9732194
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,-52100.683696,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26083.7630181
2010-08-16 00:20:00 UTC,+0,-56457.9132101,+0,+0,+0,-52112.6235309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26086.585048
2010-08-16 00:20:30 UTC,+0,-56452.2028895,+0,+0,+0,-52110.643424,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26084.8612453
2010-08-16 00:21:00 UTC,+0,-56457.0695151,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,-56480.4380099,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,-56496.8326706,+0,+0,+0,+0,+0,+0,-52112.3344604,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,-56465.8521219,+0,+0,+0,+0,+0,+0,-52115.4088998,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,-56428.9516493,+0,+0,+0,+0,+0,+0,-52138.1001273,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52122.0975897,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52122.8296179,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52101.122196,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56416.7251229,-52073.910791,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56442.2777981,-52097.4962668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56441.2962642,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56395.6413725,+0,+0,+0,+0,-43385.6597894,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,-26018.0801124,-56367.1672156,+0,+0,+0,+0,-43363.7536836,-60704.6914806,+0,+0,+0,+0,+0,+0
