# file...... Output/Qh/house_Qh_file_011.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_3A_tm_1_A_3_Meter_28_201:Qh,house_1_4A_tm_1_A_4_Meter_28_202:Qh,house_1_5A_tm_1_A_5_Meter_28_203:Qh,house_1_6A_tm_1_A_6_Meter_28_204:Qh,house_1_7A_tm_1_A_7_Meter_28_205:Qh,house_1_8A_tm_1_A_8_Meter_28_206:Qh,house_1_9A_tm_1_A_9_Meter_28_207:Qh,house_1_10A_tm_1_A_10_Meter_28_208:Qh,house_1_11A_tm_1_A_11_Meter_28_209:Qh,house_1_12A_tm_1_A_12_Meter_28_210:Qh,house_1_13A_tm_1_A_13_Meter_28_211:Qh,house_1_14A_tm_1_A_14_Meter_28_212:Qh,house_1_15A_tm_1_A_15_Meter_28_213:Qh,house_1_1A_tm_1_A_1_Meter_29_214:Qh,house_1_2A_tm_1_A_2_Meter_29_215:Qh,house_1_3A_tm_1_A_3_Meter_29_216:Qh,house_1_4A_tm_1_A_4_Meter_29_217:Qh,house_1_5A_tm_1_A_5_Meter_29_218:Qh,house_1_6A_tm_1_A_6_Meter_29_219:Qh,house_1_7A_tm_1_A_7_Meter_29_220:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51845.4729994,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60582.4670311,+0,+0,-51922.5443124,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60526.437164,+0,+0,-51876.7120531,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60613.5245767,+0,+0,-51947.9469974,+0,-51953.9390164,+0,-47623.8787908,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,-21633.3307188,+0,+0,+0,+0,+0,+0,-60563.1113126,+0,+0,-51903.439637,+0,-51909.425032,-60557.5543914,-47583.0747143,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,-21612.5216494,+0,+0,+0,+0,+0,+0,-60504.8584303,+0,+0,-51852.6819916,+0,-51858.6598298,-60498.3328066,-47536.5404118,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-21616.586232,-43227.8354174,+0,+0,+0,+0,+0,-60516.2368174,+0,+0,-51863.5063551,+0,-51869.485805,-60510.9621545,-47546.464123,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-21630.6650144,-43255.9886971,+0,+0,+0,+0,+0,-60555.648943,+0,+0,-51897.3513912,+0,-51903.3358797,-60550.4509184,-47577.4930473,+0,+0
