# file...... Output/Qh/house_Qh_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:Qh,house_1_14C_tm_1_C_14_Meter_30_242:Qh,house_1_15C_tm_1_C_15_Meter_30_243:Qh,house_1_1C_tm_1_C_1_Meter_31_244:Qh,house_1_2C_tm_1_C_2_Meter_31_245:Qh,house_1_3C_tm_1_C_3_Meter_31_246:Qh,house_1_4C_tm_1_C_4_Meter_31_247:Qh,house_1_5C_tm_1_C_5_Meter_31_248:Qh,house_1_6C_tm_1_C_6_Meter_31_249:Qh,house_1_7C_tm_1_C_7_Meter_31_250:Qh,house_1_8C_tm_1_C_8_Meter_31_251:Qh,house_1_1C_tm_1_C_1_Meter_32_252:Qh,house_1_2C_tm_1_C_2_Meter_32_253:Qh,house_1_3C_tm_1_C_3_Meter_32_254:Qh,house_1_4C_tm_1_C_4_Meter_32_255:Qh,house_1_5C_tm_1_C_5_Meter_32_256:Qh,house_1_6C_tm_1_C_6_Meter_32_257:Qh,house_1_7C_tm_1_C_7_Meter_32_258:Qh,house_1_8C_tm_1_C_8_Meter_32_259:Qh,house_1_1A_tm_1_A_1_Meter_33_260:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,-56182.4312456,+0,+0,+0,+0,-38893.0649854,-30252.436247,+0,+0,-56175.0090313,+0,+0,+0,-21609.2673252,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,-56290.7860616,+0,+0,+0,+0,-38967.1094341,-30310.0322915,+0,+0,-56281.9528054,+0,+0,+0,-21649.1778855,+0,+0,+0,-43295.9013618,+0,+0
2010-08-16 00:01:30 UTC,-56247.9407416,+0,+0,-21635.6882578,+0,-38939.0895545,-30288.2368132,+0,+0,-56241.4831714,+0,+0,+0,-21633.8830819,+0,+0,+0,-43265.3139283,+0,+0
2010-08-16 00:02:00 UTC,-56177.588064,+0,+0,-21663.7203301,+0,-38989.5385482,-30327.4789495,+0,+0,-56314.347593,+0,-25993.8500956,+0,-21661.1728549,+0,+0,+0,-43319.8895962,+0,+0
2010-08-16 00:02:30 UTC,-56166.18358,+0,+0,-21659.5233895,+0,-38981.9853631,-30321.6036467,+0,+0,-56303.4383869,+0,-25988.8145032,+0,-21656.9766289,+0,+0,+0,-43311.4977403,+0,+0
2010-08-16 00:03:00 UTC,-56144.1678825,-43192.7858479,+0,-21653.4501543,+0,-38971.0554324,+0,+0,+0,-56287.6520844,+0,-25981.807991,+0,+0,+0,+0,+0,-43299.8213305,+0,+0
2010-08-16 00:03:30 UTC,-56136.2156946,-43186.6678788,+0,-21651.5364795,+0,+0,+0,+0,+0,-56282.6778247,+0,-25978.9229414,+0,+0,+0,+0,+0,-43295.0133719,+0,-56265.0804947
2010-08-16 00:04:00 UTC,-56098.8199001,-43157.8976436,+0,+0,-56241.3675823,+0,+0,+0,+0,-56242.0125149,+0,-25960.6755261,+0,+0,+0,+0,+0,-43264.6039059,+0,-56282.0843477
2010-08-16 00:04:30 UTC,-56184.7304632,-43223.9924304,+0,+0,-56329.886006,+0,+0,+0,+0,-56330.532084,+0,+0,+0,+0,+0,+0,+0,-43334.1763879,+0,-56324.244254
