# file...... Output/Qh/house_Qh_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:Qh,house_1_3A_tm_1_A_3_Meter_33_262:Qh,house_1_4A_tm_1_A_4_Meter_33_263:Qh,house_1_5A_tm_1_A_5_Meter_33_264:Qh,house_1_6A_tm_1_A_6_Meter_33_265:Qh,house_1_7A_tm_1_A_7_Meter_33_266:Qh,house_1_8A_tm_1_A_8_Meter_33_267:Qh,house_1_9A_tm_1_A_9_Meter_33_268:Qh,house_1_10A_tm_1_A_10_Meter_33_269:Qh,house_1_11A_tm_1_A_11_Meter_33_270:Qh,house_1_12A_tm_1_A_12_Meter_33_271:Qh,house_1_13A_tm_1_A_13_Meter_33_272:Qh,house_1_14A_tm_1_A_14_Meter_33_273:Qh,house_1_15A_tm_1_A_15_Meter_33_274:Qh,house_0_1C_tm_0_C_1_Meter_34_275:Qh,house_0_2C_tm_0_C_2_Meter_34_276:Qh,house_0_3C_tm_0_C_3_Meter_34_277:Qh,house_0_4C_tm_0_C_4_Meter_34_278:Qh,house_0_5C_tm_0_C_5_Meter_34_279:Qh,house_0_6C_tm_0_C_6_Meter_34_280:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43211.7849735,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43189.5170017,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,-47503.8373848,-30235.7519057,+0,+0,+0,+0,+0,+0,-47504.5389316,-43190.6109288,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,-47574.218057,-30280.5511983,+0,+0,+0,+0,+0,+0,-47574.9213435,-43254.6038291,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-47646.0352356,-30326.264862,+0,+0,+0,+0,+0,+0,-47646.7402947,-43319.9028517,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-47711.8806276,-30368.1773096,+0,+0,+0,-43381.3689788,+0,+0,-47712.5873099,-43379.7720837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-47672.3057469,-30342.9867834,+0,+0,+0,-43345.3842032,+0,+0,-47673.0114538,-43343.7890391,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,-47611.4893006,-30304.2753989,+0,+0,+0,-43290.0848232,-43286.6780041,+0,-47612.1935073,-43288.4923205,+0,+0,-34629.1149229,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,-47625.8781994,+0,+0,+0,+0,-43303.1684093,-43299.7602324,+0,-47626.5827612,-43301.5752768,+0,+0,-34639.5805388,+0,+0,-60613.450858,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,-47661.5545025,+0,+0,+0,+0,-43335.6082764,-43332.1967338,+0,-47662.2599444,+0,+0,+0,-34665.5293268,+0,+0,-60713.7691592,+0,+0,+0,+0
