# file...... Output/Qh/house_Qh_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:Qh,house_0_8C_tm_0_C_8_Meter_34_282:Qh,house_0_9C_tm_0_C_9_Meter_34_283:Qh,house_0_10C_tm_0_C_10_Meter_34_284:Qh,house_0_11C_tm_0_C_11_Meter_34_285:Qh,house_0_12C_tm_0_C_12_Meter_34_286:Qh,house_0_13C_tm_0_C_13_Meter_34_287:Qh,house_0_14C_tm_0_C_14_Meter_34_288:Qh,house_0_15C_tm_0_C_15_Meter_34_289:Qh,house_2_1A_tm_2_A_1_Meter_35_290:Qh,house_2_2A_tm_2_A_2_Meter_35_291:Qh,house_2_3A_tm_2_A_3_Meter_35_292:Qh,house_2_4A_tm_2_A_4_Meter_35_293:Qh,house_2_5A_tm_2_A_5_Meter_35_294:Qh,house_2_6A_tm_2_A_6_Meter_35_295:Qh,house_2_7A_tm_2_A_7_Meter_35_296:Qh,house_2_8A_tm_2_A_8_Meter_35_297:Qh,house_2_9A_tm_2_A_9_Meter_35_298:Qh,house_2_10A_tm_2_A_10_Meter_35_299:Qh,house_2_11A_tm_2_A_11_Meter_35_300:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,-12995.8892489,+0,+0,-51815.6072509,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,-13023.6663769,+0,+0,-51827.3764461,+0,+0,+0,+0,+0,+0,-51832.022261,-43189.0141759,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,-13016.4848971,+0,+0,-51902.7270945,+0,+0,+0,+0,+0,+0,-51907.3817159,-43251.8053629,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,-13007.9239419,+0,+0,-51841.5983841,-34566.3353486,+0,+0,+0,+0,+0,-51846.2458614,-43200.8655983,+0
2010-08-16 00:02:30 UTC,-56342.5867246,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51922.6923833,-34620.4087731,+0,+0,+0,+0,+0,-51927.3493374,-43268.4428334,+0
2010-08-16 00:03:00 UTC,-56323.2801949,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51882.5678112,-34593.6537361,+0,+0,+0,+0,+0,-51887.2200771,-43235.006233,+0
2010-08-16 00:03:30 UTC,-56319.4415387,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51840.275645,-34565.4533471,+0,+0,+0,+0,+0,-51844.9229678,-43199.7633337,+0
2010-08-16 00:04:00 UTC,-56282.4661432,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51851.8288235,-34573.3355126,+0,+0,+0,+0,+0,-51856.4774967,-43209.390826,-25930.0050954
2010-08-16 00:04:30 UTC,-56375.6158673,+0,-47704.1266428,+0,+0,+0,+0,+0,+0,+0,+0,-34595.1490153,+0,+0,+0,+0,+0,-51889.194721,-43237.1538875,-25946.3651726
