# file...... Output/Qh/house_Qh_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:Qh,house_2_3B_tm_2_B_3_Meter_38_322:Qh,house_2_4B_tm_2_B_4_Meter_38_323:Qh,house_2_5B_tm_2_B_5_Meter_38_324:Qh,house_2_6B_tm_2_B_6_Meter_38_325:Qh,house_2_7B_tm_2_B_7_Meter_38_326:Qh,house_2_8B_tm_2_B_8_Meter_38_327:Qh,house_2_1B_tm_2_B_1_Meter_39_328:Qh,house_2_2B_tm_2_B_2_Meter_39_329:Qh,house_2_3B_tm_2_B_3_Meter_39_330:Qh,house_2_4B_tm_2_B_4_Meter_39_331:Qh,house_2_5B_tm_2_B_5_Meter_39_332:Qh,house_2_6B_tm_2_B_6_Meter_39_333:Qh,house_2_7B_tm_2_B_7_Meter_39_334:Qh,house_2_8B_tm_2_B_8_Meter_39_335:Qh,house_2_1C_tm_2_C_1_Meter_41_336:Qh,house_2_2C_tm_2_C_2_Meter_41_337:Qh,house_2_3C_tm_2_C_3_Meter_41_338:Qh,house_2_4C_tm_2_C_4_Meter_41_339:Qh,house_2_5C_tm_2_C_5_Meter_41_340:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56406.7687866,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56427.5564187,+0,-21706.561382,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,-52066.2169311,+0,+0,-56390.4555358,+0,-21692.2887502,+0,+0,+0,+0,+0,-56291.7729105,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,-52084.540757,+0,+0,-56410.2401984,+0,-21699.8998686,+0,+0,+0,+0,+0,-56231.8975505,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,-52082.0315841,+0,+0,-56407.5230147,+0,-21698.8545738,+0,+0,+0,+0,+0,-56224.5468642,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,-52050.7617048,+0,+0,-56373.6608631,+0,-21685.827875,+0,+0,+0,+0,+0,-56206.2842834,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,-52058.6756832,+0,+0,-56382.2309097,+0,-21689.1247541,+0,+0,+0,+0,+0,-56198.5356828,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,-52067.0214035,+0,+0,-56392.947927,+0,+0,+0,+0,+0,+0,+0,-56164.1373592,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,-52087.2953757,+0,+0,-56414.9036963,+0,+0,+0,+0,+0,+0,+0,-56246.3487541,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56419.4006089,+0,+0,+0,+0,+0,+0,+0,-56251.4256669,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56218.8098841,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56274.1268756,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,-26051.2823287,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,-26053.2668538,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,-26050.5105417,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
