# file...... Output/Qh/house_Qh_file_018.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_6C_tm_2_C_6_Meter_41_341:Qh,house_2_7C_tm_2_C_7_Meter_41_342:Qh,house_2_8C_tm_2_C_8_Meter_41_343:Qh,house_2_1A_tm_2_A_1_Meter_42_344:Qh,house_2_2A_tm_2_A_2_Meter_42_345:Qh,house_2_3A_tm_2_A_3_Meter_42_346:Qh,house_2_4A_tm_2_A_4_Meter_42_347:Qh,house_2_5A_tm_2_A_5_Meter_42_348:Qh,house_2_6A_tm_2_A_6_Meter_42_349:Qh,house_2_7A_tm_2_A_7_Meter_42_350:Qh,house_2_8A_tm_2_A_8_Meter_42_351:Qh,house_2_1B_tm_2_B_1_Meter_43_352:Qh,house_2_2B_tm_2_B_2_Meter_43_353:Qh,house_2_3B_tm_2_B_3_Meter_43_354:Qh,house_2_4B_tm_2_B_4_Meter_43_355:Qh,house_2_5B_tm_2_B_5_Meter_43_356:Qh,house_2_6B_tm_2_B_6_Meter_43_357:Qh,house_2_7B_tm_2_B_7_Meter_43_358:Qh,house_2_8B_tm_2_B_8_Meter_43_359:Qh,house_2_9B_tm_2_B_9_Meter_43_360:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,-47480.8021295,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,-47485.8717812,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60767.6925717
2010-08-16 00:01:30 UTC,+0,+0,+0,-47551.7657901,+0,+0,+0,+0,+0,+0,-25938.9054629,+0,+0,+0,+0,+0,+0,+0,+0,-60726.2158986
2010-08-16 00:02:00 UTC,+0,+0,+0,-47488.1954357,+0,+0,+0,+0,+0,-47481.1314283,-25904.2277417,+0,+0,+0,+0,+0,+0,+0,+0,-60753.5785458
2010-08-16 00:02:30 UTC,+0,+0,+0,-47561.5342969,+0,+0,+0,+0,+0,-47554.45607,-25944.2341974,+0,+0,+0,+0,+0,+0,+0,+0,-60746.7297294
2010-08-16 00:03:00 UTC,+0,+0,+0,-47521.0524058,+0,+0,+0,+0,+0,-47513.9820269,-25922.1512672,+0,-56356.1827692,+0,+0,+0,+0,+0,+0,-60698.1387336
2010-08-16 00:03:30 UTC,+0,+0,+0,-47481.1245614,-47480.6443705,+0,+0,+0,+0,-47474.0619253,+0,+0,-56358.6155504,+0,+0,+0,-30351.4484272,+0,+0,-60700.7590614
2010-08-16 00:04:00 UTC,+0,+0,+0,-47491.9772448,-47491.4969511,+0,+0,+0,+0,-47484.9125039,+0,+0,-56359.2210904,+0,+0,+0,-30351.774551,-65024.7348449,+0,-60701.4112832
2010-08-16 00:04:30 UTC,+0,+0,+0,-47524.0569778,-47523.5763806,+0,+0,+0,+0,-47517.6499895,+0,+0,-56378.2653954,+0,-39034.3483356,+0,-30362.2346213,-65046.707063,+0,-60721.9237398
2010-08-16 00:05:00 UTC,+0,+0,+0,-47515.5288898,-47515.0483733,+0,+0,+0,+0,-47509.1233133,+0,+0,-56387.9270082,+0,-39041.0378779,+0,-30367.4381164,-65057.8540735,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,-47562.2953141,-47561.8143548,+0,-47568.6539748,+0,+0,-47555.8819963,+0,+0,-56403.6754628,+0,-39051.9418498,+0,-30375.9198274,-65076.02373,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,-47578.8259352,-47578.3448194,+0,-47573.1688535,+0,+0,-47572.4098812,+0,+0,-56377.6568977,+0,-39033.9270216,+0,-30361.9069,-65046.0050137,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,-47613.1328246,+0,-47607.9524209,+0,+0,+0,+0,+0,-56370.7206965,+0,-39029.1245096,+0,+0,-65038.0024256,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,-47645.1489049,+0,-47639.9644174,+0,+0,+0,+0,+0,-56373.3588965,+0,-39030.951156,+0,+0,-65041.0462282,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,-47684.3269319,+0,+0,+0,+0,+0,-56372.9505945,+0,-39030.6684544,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,-47697.6592397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,-47713.2341668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,-47715.5155869,+0,+0,+0,+0,+0,+0,+0,+0,-56415.0346241,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39071.9073296,+0,-56433.4760185,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39061.7691517,+0,-56418.8330618,+0,+0,-52086.9272088,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39059.594933,+0,-56415.6927547,+0,+0,-52069.9091402,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39057.1072768,+0,-56412.0997383,+0,+0,-52066.5930481,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39055.1117587,+0,-56409.2175352,+0,+0,-52063.9329846,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26055.1839917,+0,+0,-39053.8607784,+0,-56407.4106967,+0,+0,-52062.2654045,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26055.2192911,+0,+0,-39057.3785488,+0,+0,+0,+0,-52066.9546585,+0
