# file...... Output/Qh/house_Qh_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:Qh,house_2_8A_tm_2_A_8_Meter_46_382:Qh,house_2_1A_tm_2_A_1_Meter_47_383:Qh,house_2_2A_tm_2_A_2_Meter_47_384:Qh,house_2_3A_tm_2_A_3_Meter_47_385:Qh,house_2_4A_tm_2_A_4_Meter_47_386:Qh,house_2_5A_tm_2_A_5_Meter_47_387:Qh,house_2_6A_tm_2_A_6_Meter_47_388:Qh,house_2_7A_tm_2_A_7_Meter_47_389:Qh,house_2_8A_tm_2_A_8_Meter_47_390:Qh,house_2_9A_tm_2_A_9_Meter_47_391:Qh,house_2_10A_tm_2_A_10_Meter_47_392:Qh,house_2_11A_tm_2_A_11_Meter_47_393:Qh,house_2_12A_tm_2_A_12_Meter_47_394:Qh,house_2_13A_tm_2_A_13_Meter_47_395:Qh,house_2_14A_tm_2_A_14_Meter_47_396:Qh,house_2_15A_tm_2_A_15_Meter_47_397:Qh,house_2_1B_tm_2_B_1_Meter_47_398:Qh,house_2_2B_tm_2_B_2_Meter_47_399:Qh,house_2_3B_tm_2_B_3_Meter_47_400:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26045.3978451,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26024.4977221,-30361.6025186
2010-08-16 00:02:00 UTC,+0,+0,-60404.2010975,+0,+0,+0,+0,+0,+0,-21575.6813394,+0,+0,+0,+0,+0,+0,+0,+0,-26038.0378465,-30377.3991041
2010-08-16 00:02:30 UTC,+0,+0,-60496.4482738,+0,+0,+0,+0,+0,+0,-21608.6316625,+0,+0,+0,+0,+0,+0,+0,+0,-26033.9765256,-30372.6609643
2010-08-16 00:03:00 UTC,+0,+0,-60440.4307945,+0,+0,+0,+0,+0,+0,-21588.6224426,+0,+0,-21588.3187583,+0,+0,+0,+0,+0,-26013.5798322,-30348.8651629
2010-08-16 00:03:30 UTC,+0,+0,-60390.8896845,+0,+0,+0,+0,+0,+0,-21570.9265558,+0,+0,-21570.6231606,+0,+0,+0,+0,+0,-26017.9833862,-30354.0025689
2010-08-16 00:04:00 UTC,+0,+0,-60406.0774142,+0,+0,+0,+0,+0,+0,-21576.3515523,+0,+0,-21576.0480684,+0,+0,+0,+0,+0,+0,-30358.170882
2010-08-16 00:04:30 UTC,+0,-21593.1639578,-60450.0424935,+0,+0,+0,+0,+0,+0,-21592.055703,+0,+0,-21591.7519626,+0,+0,+0,+0,+0,+0,+0
