# file...... Output/Qh/house_Qh_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:Qh,house_2_5B_tm_2_B_5_Meter_47_402:Qh,house_2_6B_tm_2_B_6_Meter_47_403:Qh,house_2_7B_tm_2_B_7_Meter_47_404:Qh,house_2_8B_tm_2_B_8_Meter_47_405:Qh,house_2_9B_tm_2_B_9_Meter_47_406:Qh,house_2_10B_tm_2_B_10_Meter_47_407:Qh,house_2_11B_tm_2_B_11_Meter_47_408:Qh,house_2_12B_tm_2_B_12_Meter_47_409:Qh,house_2_13B_tm_2_B_13_Meter_47_410:Qh,house_2_14B_tm_2_B_14_Meter_47_411:Qh,house_2_15B_tm_2_B_15_Meter_47_412:Qh,house_2_1C_tm_2_C_1_Meter_47_413:Qh,house_2_2C_tm_2_C_2_Meter_47_414:Qh,house_2_3C_tm_2_C_3_Meter_47_415:Qh,house_2_4C_tm_2_C_4_Meter_47_416:Qh,house_2_5C_tm_2_C_5_Meter_47_417:Qh,house_2_6C_tm_2_C_6_Meter_47_418:Qh,house_2_7C_tm_2_C_7_Meter_47_419:Qh,house_2_8C_tm_2_C_8_Meter_47_420:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43410.4822829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43386.9323405,+0,-21696.4501902,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,-43405.7276175,+0,+0,-43413.9427557,+0,+0,+0,+0,-43404.8387246,+0,-21705.4049511,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,-43370.8971744,+0,+0,-43371.1060746,+0,+0,+0,+0,-43370.0093393,+0,-21688.0989503,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,-43393.4620429,+0,+0,-43394.0509113,+0,+0,+0,+0,-43392.5735225,+0,-21699.3831362,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,-43386.6937763,+0,+0,-43387.2825282,+0,+0,+0,+0,-43385.8054614,+0,-21695.9984776,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,-43352.702308,+0,+0,-43353.2904745,+0,+0,+0,+0,-43351.8150255,+0,-21679.0001048,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,-43360.0409124,+0,+0,-43360.6292054,+0,+0,+0,+0,-43359.153407,+0,-21682.6699768,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,-43365.9952017,+0,+0,-43366.5835971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,-43384.975146,+0,+0,-43385.5638683,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,-43390.9893773,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,-34696.2039967,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,-34699.2332805,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,-34695.6063372,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34631.2405936,+0,+0,+0,-17316.8023536,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,-34707.7668501,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34653.8296011,+0,+0,+0,-17328.2031612,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,-34710.901281,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34661.4763985,-34660.0607272,+0,+0,-51981.7354386,-17331.179193,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,-34716.3350685,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34678.7442285,-34677.3276897,+0,+0,-52007.6304779,-17339.8133908,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,-34731.4558541,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34703.5578421,-34702.1400569,+0,+0,-52044.8412643,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34721.3653318,-34719.9466524,+0,+0,-52071.5455865,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34742.1974482,+0,+0,+0,-52102.7856761,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34774.0491494,+0,+0,+0,-52150.5508684,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34779.2445127,+0,+0,+0,-52158.3418983,+0,+0
2010-08-16 00:12:00 UTC,-21698.9355777,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52172.2067686,+0,+0
2010-08-16 00:12:30 UTC,-21699.9529683,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52159.709279,+0,+0
