# file...... Output/Qh/house_Qh_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:Qh,house_2_10C_tm_2_C_10_Meter_47_422:Qh,house_2_11C_tm_2_C_11_Meter_47_423:Qh,house_2_12C_tm_2_C_12_Meter_47_424:Qh,house_2_13C_tm_2_C_13_Meter_47_425:Qh,house_2_14C_tm_2_C_14_Meter_47_426:Qh,house_2_15C_tm_2_C_15_Meter_47_427:Qh,house_2_1A_tm_2_A_1_Meter_48_428:Qh,house_2_2A_tm_2_A_2_Meter_48_429:Qh,house_2_3A_tm_2_A_3_Meter_48_430:Qh,house_2_4A_tm_2_A_4_Meter_48_431:Qh,house_2_5A_tm_2_A_5_Meter_48_432:Qh,house_2_6A_tm_2_A_6_Meter_48_433:Qh,house_2_7A_tm_2_A_7_Meter_48_434:Qh,house_2_8A_tm_2_A_8_Meter_48_435:Qh,house_2_9A_tm_2_A_9_Meter_48_436:Qh,house_2_10A_tm_2_A_10_Meter_48_437:Qh,house_2_11A_tm_2_A_11_Meter_48_438:Qh,house_2_12A_tm_2_A_12_Meter_48_439:Qh,house_2_13A_tm_2_A_13_Meter_48_440:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,-51877.3677291,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,-51985.067993,+0,+0,+0,+0,+0,-38834.9799683,+0,+0,+0,+0,+0,+0,-30203.4656296,+0,-47458.2140363
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,-51957.9387813,+0,+0,+0,+0,+0,-38887.0654044,+0,+0,+0,+0,+0,+0,-30243.9738158,+0,-47521.8624133
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-51898.1118305,+0,+0,+0,+0,+0,-38831.7708206,+0,+0,+0,+0,-34515.0591003,+0,-30200.9697929,+0,-47454.2924598
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,-51893.528234,+0,+0,+0,+0,+0,-38891.2245718,+0,+0,+0,+0,-34567.9023126,+0,-30247.2085076,+0,-47526.9449139
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,-51876.4669957,+0,+0,+0,+0,+0,-38853.9133656,+0,-47484.8588263,+0,+0,-34534.7396613,+0,-30218.1906206,+0,-47481.3506379
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,-51867.7885623,+0,+0,+0,+0,+0,-38821.5874217,+0,-47445.3527393,+0,+0,-34506.0079727,+0,-30193.0499012,+0,-47441.8483519
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,-51836.4449911,+0,+0,+0,+0,+0,+0,+0,-47458.3780582,+0,+0,-34515.8026891,+0,+0,+0,-47454.8724175
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,-51907.4132427,+0,+0,+0,+0,+0,+0,+0,-47493.6477913,+0,+0,-34541.453881,+0,+0,+0,-47490.1387574
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,-51910.796713,+0,+0,+0,+0,+0,+0,+0,-47482.2107316,+0,+0,-34533.1358648,+0,+0,+0,-47478.702798
2010-08-16 00:05:30 UTC,+0,-47556.9061809,+0,+0,+0,+0,-47560.2782699,+0,+0,+0,+0,+0,-47534.624757,+0,+0,-34571.2558648,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,-47604.472722,+0,-43280.7051115,+0,+0,-47607.8497221,+0,+0,+0,+0,+0,-47554.7862717,+0,+0,-34585.9190574,+0,+0,-34586.216783,+0
2010-08-16 00:06:30 UTC,+0,-47628.5441774,+0,-43302.5911206,+0,+0,-47631.9236616,+0,+0,+0,+0,+0,-47588.3464381,+0,+0,+0,+0,+0,-34610.6249001,+0
2010-08-16 00:07:00 UTC,+0,-47620.521694,+0,-43295.2969982,+0,+0,-47623.9003504,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34634.6900838,+0
2010-08-16 00:07:30 UTC,+0,-47613.5127359,+0,-43288.9243831,+0,+0,-47616.890669,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34665.8552196,+0
2010-08-16 00:08:00 UTC,+0,-47644.5686725,+0,-43317.160752,+0,+0,-47647.9498099,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34676.5831139,+0
2010-08-16 00:08:30 UTC,+0,-47652.7509077,+0,-43324.6001219,+0,+0,+0,+0,+0,-26019.5016338,+0,+0,+0,+0,+0,+0,+0,+0,-34690.2400285,+0
2010-08-16 00:09:00 UTC,+0,-47676.4895776,+0,-43346.1835574,+0,+0,+0,+0,+0,-26020.5817159,+0,+0,+0,+0,+0,+0,+0,+0,-34691.680016,+0
2010-08-16 00:09:30 UTC,+0,-47710.6016934,+0,+0,+0,+0,+0,+0,+0,-26022.3822765,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,-47735.0822546,+0,+0,+0,+0,+0,+0,+0,-26035.2794503,+0,-30373.4056268,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,-47763.7208743,+0,+0,+0,+0,+0,+0,+0,-26038.7885863,+0,-30377.4994304,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30375.0081299,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30381.9935136,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30384.6378831,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30387.0709281,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39087.5734255,-30401.4300879,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39121.7149513,+0,+0,+0,+0,+0,+0,+0,+0,+0
