# file...... Output/Qh/house_Qh_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:Qh,house_2_15A_tm_2_A_15_Meter_48_442:Qh,house_2_16A_tm_2_A_16_Meter_48_443:Qh,house_2_17A_tm_2_A_17_Meter_48_444:Qh,house_2_18A_tm_2_A_18_Meter_48_445:Qh,house_2_19A_tm_2_A_19_Meter_48_446:Qh,house_2_20A_tm_2_A_20_Meter_48_447:Qh,house_2_21A_tm_2_A_21_Meter_48_448:Qh,house_2_22A_tm_2_A_22_Meter_48_449:Qh,house_2_23A_tm_2_A_23_Meter_48_450:Qh,house_2_24A_tm_2_A_24_Meter_48_451:Qh,house_2_25A_tm_2_A_25_Meter_48_452:Qh,house_2_26A_tm_2_A_26_Meter_48_453:Qh,house_2_27A_tm_2_A_27_Meter_48_454:Qh,house_2_28A_tm_2_A_28_Meter_48_455:Qh,house_2_29A_tm_2_A_29_Meter_48_456:Qh,house_2_1B_tm_2_B_1_Meter_48_457:Qh,house_2_2B_tm_2_B_2_Meter_48_458:Qh,house_2_3B_tm_2_B_3_Meter_48_459:Qh,house_2_4B_tm_2_B_4_Meter_48_460:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,-47463.3498646,+0,-17261.562999,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51776.2599617,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,-47460.7563899,+0,-17260.6197671,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51773.43084,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,-47524.4090953,+0,-17283.7698909,+0,+0,+0,+0,+0,-51841.7927622,+0,+0,+0,+0,+0,+0,-51842.8671265,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-47456.8345466,+0,-17259.1934151,+0,+0,-30202.7355072,+0,+0,-51768.6116993,+0,+0,+0,+0,+0,+0,-51769.1526521,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-47529.4919415,+0,+0,+0,+0,-30248.9778774,+0,+0,-51847.8700406,+0,+0,+0,+0,+0,+0,-51848.4118078,-52064.0573991,+0,+0,+0
2010-08-16 00:03:00 UTC,-47483.8945651,+0,+0,+0,-56117.4224063,-30219.9576966,+0,+0,-51798.1301287,+0,+0,+0,+0,-21586.6765212,+0,-51798.6713847,-52021.8907568,+0,+0,+0
2010-08-16 00:03:30 UTC,-47444.3895923,+0,+0,-43131.3839479,-56070.7345314,-30194.8149891,+0,+0,-51755.036117,+0,+0,+0,+0,-21568.7164422,+0,-51755.5769304,-52030.8947339,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-43143.22482,-56086.1277152,-30203.104643,+0,+0,-51769.2443893,+0,+0,+0,+0,-21574.6379539,+0,-51769.7853486,-52036.2660246,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-43175.2873289,-56128.2554837,-30225.5512237,+0,+0,-51807.7173035,+0,+0,+0,+0,-21590.6721206,+0,-51808.2586581,-52058.3616924,+0,+0,+0
