# file...... Output/Qh/house_Qh_file_024.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_5B_tm_2_B_5_Meter_48_461:Qh,house_2_6B_tm_2_B_6_Meter_48_462:Qh,house_2_7B_tm_2_B_7_Meter_48_463:Qh,house_2_8B_tm_2_B_8_Meter_48_464:Qh,house_2_9B_tm_2_B_9_Meter_48_465:Qh,house_2_10B_tm_2_B_10_Meter_48_466:Qh,house_2_11B_tm_2_B_11_Meter_48_467:Qh,house_2_12B_tm_2_B_12_Meter_48_468:Qh,house_2_13B_tm_2_B_13_Meter_48_469:Qh,house_2_14B_tm_2_B_14_Meter_48_470:Qh,house_2_15B_tm_2_B_15_Meter_48_471:Qh,house_2_16B_tm_2_B_16_Meter_48_472:Qh,house_2_17B_tm_2_B_17_Meter_48_473:Qh,house_2_18B_tm_2_B_18_Meter_48_474:Qh,house_2_19B_tm_2_B_19_Meter_48_475:Qh,house_2_20B_tm_2_B_20_Meter_48_476:Qh,house_2_21B_tm_2_B_21_Meter_48_477:Qh,house_2_22B_tm_2_B_22_Meter_48_478:Qh,house_2_23B_tm_2_B_23_Meter_48_479:Qh,house_2_24B_tm_2_B_24_Meter_48_480:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21696.7670983,+0,-17357.0646805,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21706.3983674,+0,-17364.7695087,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,-34700.2916009,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21688.9329631,+0,-17350.7975246,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,-34718.5554791,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21700.3487886,+0,-17359.9299631,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,-34712.209395,+0,+0,+0,+0,+0,-39049.1679294,+0,+0,+0,-21696.3821728,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,-34684.0957277,+0,-34683.7595824,+0,+0,+0,-39017.5419169,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,-34690.0989285,+0,-34689.7627389,+0,+0,+0,-39024.2951199,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-34693.6801166,+0,-34693.3439006,+0,+0,+0,-39028.3237192,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-34708.4119098,+0,-34708.0755852,+0,+0,+0,-39044.8960102,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,-34712.1009403,+0,-34711.7645884,+0,+0,+0,-39049.0459249,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,-34719.4841836,+0,+0,+0,-39057.7300219,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47704.6737981,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47709.3654855,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47704.3047314,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47722.3483831,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47726.6468781,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,-17360.3976036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47733.83562,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,-17367.5632182,+0,+0,+0,+0,+0,-56434.176376,+0,+0,+0,+0,+0,-47753.5373393,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,-17363.1428596,+0,+0,+0,+0,+0,-56419.8134888,-34723.758937,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,-17363.255027,+0,+0,+0,+0,+0,-56420.1779498,-34723.9832507,+0,+0,+0,+0,+0,+0,+0,-17364.0241402,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,-56414.3548489,-34720.3993241,+0,+0,+0,+0,+0,-21701.4081075,+0,-17360.7773976,+0,-43397.1726222,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,-56410.6759181,-34718.1350638,+0,+0,+0,+0,+0,-21699.9928477,+0,-17359.6452173,+0,-43394.3425825,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,-56406.9486794,-34715.8410713,+0,+0,+0,+0,+0,-21698.559004,+0,-17358.4981702,+0,-43391.4753814,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,-56409.4122008,-34717.3572874,+0,+0,+0,+0,+0,-21699.5067041,+0,+0,-39053.5570959,-43393.3704602,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,-56375.8750385,-34696.7162706,+0,+0,+0,+0,+0,-21686.6051835,+0,+0,-39030.3384941,-43367.5717948,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,+0,+0,+0,-56360.3394513,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39019.5828253,-43355.6209502,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39028.8761686,-43365.9469748,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39014.8210882,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39005.0891352,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39029.6059857,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,-34717.8597591,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,-34737.4774939,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-34729.9755011,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56432.773468
2010-08-16 00:19:30 UTC,+0,+0,+0,-34739.6674691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56448.5218316
2010-08-16 00:20:00 UTC,+0,+0,+0,-34728.7650789,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56430.8066674
2010-08-16 00:20:30 UTC,+0,+0,+0,-34727.8015831,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56429.2410944
2010-08-16 00:21:00 UTC,+0,+0,+0,-34734.4832316,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56440.0980255
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56463.0882764
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56488.1963974
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,-34739.1527475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56448.2980058
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,-34706.7688233,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56395.6772405
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,-34728.9106781,+0,+0,+0,+0,+0,+0,+0,-21706.9900664,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,-34711.2815991,+0,+0,+0,+0,+0,+0,+0,-21695.9709829,+0,-17356.4293022,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,-34716.1902544,+0,+0,+0,+0,+0,+0,+0,-21699.0391456,+0,-17358.8837732,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,-34694.7269946,+0,+0,+0,+0,+0,+0,+0,-21685.6235012,-43363.5405945,-17348.1515166,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43365.4769654,-17348.9262217,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43328.0192216,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43375.8259976,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43383.154275,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47715.961438,+0,-43376.362829,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47710.9461878,+0,-43371.8037626,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47691.482911,+0,-43354.1108524,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47677.5696515,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47684.8573068,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65009.085924,+0,-47681.0833852,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65019.8640864,+0,-47688.9889864,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65039.3131339,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65037.7475462,+0,+0,+0,+0,+0,+0,-43366.0779263,+0,+0
2010-08-16 00:32:00 UTC,-17356.1081135,+0,+0,+0,+0,+0,+0,+0,+0,-39046.3013336,-65064.7213772,+0,+0,+0,+0,+0,+0,-43384.0643826,+0,+0
2010-08-16 00:32:30 UTC,-17371.3281976,+0,+0,+0,+0,+0,+0,+0,+0,-39080.5411559,-65121.7738956,+0,+0,+0,+0,+0,+0,-43422.1076474,+0,+0
2010-08-16 00:33:00 UTC,-17362.6045769,+0,+0,+0,+0,+0,+0,+0,+0,-39060.9160853,-65089.0733836,+0,+0,+0,+0,+0,+0,-43400.3025762,-56411.5281604,+0
2010-08-16 00:33:30 UTC,-17372.4500421,+0,+0,+0,+0,+0,+0,+0,+0,-39083.0649105,+0,+0,+0,+0,+0,+0,+0,-43424.9117469,-56443.5137237,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39080.708314,+0,+0,+0,+0,+0,+0,+0,-43422.2933738,-56440.1105153,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39079.1783608,+0,+0,+0,+0,+0,+0,+0,-43420.5934697,-56437.9010792,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56464.9738432,+0,+0,+0,+0,+0,+0,-56447.2076513,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56429.8721539,+0,+0,+0,+0,+0,+0,-56427.3254914,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56410.6599839,+0,+0,+0,+0,+0,+0,-56408.1144646,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56393.7333179,+0,+0,+0,+0,+0,+0,-56391.1888059,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-34697.3160014,+0,+0,+0,+0,+0,+0,+0,-56372.8870613,+0,-21687.0063929,+0,+0,+0,+0,-56370.3437901,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,-34700.3375488,+0,+0,+0,+0,+0,+0,+0,-56377.7959719,+0,-21688.8949975,+0,+0,-39034.3056064,+0,+0,+0
