# file...... Output/Qh/house_Qh_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:Qh,house_2_26B_tm_2_B_26_Meter_48_482:Qh,house_2_27B_tm_2_B_27_Meter_48_483:Qh,house_2_28B_tm_2_B_28_Meter_48_484:Qh,house_2_29B_tm_2_B_29_Meter_48_485:Qh,house_2_1C_tm_2_C_1_Meter_48_486:Qh,house_2_2C_tm_2_C_2_Meter_48_487:Qh,house_2_3C_tm_2_C_3_Meter_48_488:Qh,house_2_4C_tm_2_C_4_Meter_48_489:Qh,house_2_5C_tm_2_C_5_Meter_48_490:Qh,house_2_6C_tm_2_C_6_Meter_48_491:Qh,house_2_7C_tm_2_C_7_Meter_48_492:Qh,house_2_8C_tm_2_C_8_Meter_48_493:Qh,house_2_9C_tm_2_C_9_Meter_48_494:Qh,house_2_10C_tm_2_C_10_Meter_48_495:Qh,house_2_11C_tm_2_C_11_Meter_48_496:Qh,house_2_12C_tm_2_C_12_Meter_48_497:Qh,house_2_13C_tm_2_C_13_Meter_48_498:Qh,house_2_14C_tm_2_C_14_Meter_48_499:Qh,house_2_15C_tm_2_C_15_Meter_48_500:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34585.7617557,+0,-51872.5935582,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34657.4474212,+0,-51979.7589112,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,-52041.7553058,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34639.6317364,+0,-51953.0397481,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,-52069.1453396,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34599.7088734,+0,-51893.1652383,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,-52059.6282228,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34596.804277,+0,-51888.8090558,-12974.9541859,+0,+0
2010-08-16 00:03:00 UTC,+0,-52017.4666241,-56356.2237262,-39017.4351526,+0,+0,+0,+0,+0,+0,-30263.0224589,+0,-47551.0444602,+0,-34585.0874099,+0,-51871.2366275,-12970.5598897,+0,+0
2010-08-16 00:03:30 UTC,+0,-52026.4695241,-56365.9777725,-39024.1882823,+0,+0,+0,+0,+0,-21612.2641839,-30257.7044536,+0,-47542.6888085,+0,-34579.0099506,+0,-51862.1219287,-12968.2805982,+0,+0
2010-08-16 00:04:00 UTC,+0,-52031.8401723,-56371.7965143,-39028.216838,+0,+0,+0,+0,+0,-21599.2645791,-30239.5045239,+0,-47514.0930735,+0,+0,+0,-51830.9284896,-12960.4801273,+0,+0
2010-08-16 00:04:30 UTC,+0,-52053.9331973,-56395.7328444,-39044.7889494,+0,+0,+0,+0,+0,-21628.9614584,-30281.0812578,+0,-47579.4184519,+0,+0,+0,-51902.1881797,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,-52059.4655751,-56401.7268094,-39048.9388193,+0,+0,+0,+0,+0,-21630.4174612,-30283.1197159,+0,-47582.6212778,+0,+0,+0,-51905.6819578,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,-52071.042609,-56414.2697592,-39057.6228222,+0,+0,+0,+0,+0,+0,-30267.8551461,+0,-47558.63758,+0,+0,+0,-51879.5195242,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,-52046.850422,-56388.0591261,-39039.4761168,+0,+0,+0,+0,+0,+0,-30298.7809118,+0,-47607.2281558,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,-52036.6832466,-56377.0436647,-39031.8496573,+0,+0,+0,+0,+0,+0,-30314.1722035,+0,-47631.410961,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,-56382.5881962,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47624.1605141,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,-56377.0805415,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47617.985786,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
