# file...... Output/Qh/house_Qh_file_026.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_16C_tm_2_C_16_Meter_48_501:Qh,house_2_17C_tm_2_C_17_Meter_48_502:Qh,house_2_18C_tm_2_C_18_Meter_48_503:Qh,house_2_19C_tm_2_C_19_Meter_48_504:Qh,house_2_20C_tm_2_C_20_Meter_48_505:Qh,house_2_21C_tm_2_C_21_Meter_48_506:Qh,house_2_22C_tm_2_C_22_Meter_48_507:Qh,house_2_23C_tm_2_C_23_Meter_48_508:Qh,house_2_24C_tm_2_C_24_Meter_48_509:Qh,house_2_25C_tm_2_C_25_Meter_48_510:Qh,house_2_26C_tm_2_C_26_Meter_48_511:Qh,house_2_27C_tm_2_C_27_Meter_48_512:Qh,house_2_28C_tm_2_C_28_Meter_48_513:Qh,house_2_29C_tm_2_C_29_Meter_48_514:Qh,house_2_1A_tm_2_A_1_Meter_49_515:Qh,house_2_2A_tm_2_A_2_Meter_49_516:Qh,house_2_3A_tm_2_A_3_Meter_49_517:Qh,house_2_4A_tm_2_A_4_Meter_49_518:Qh,house_2_5A_tm_2_A_5_Meter_49_519:Qh,house_2_6A_tm_2_A_6_Meter_49_520:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21662.3343047,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51775.192803
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21651.1985872,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51846.3601975
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21626.2447478,+0,+0,+0,+0,+0,-56084.525394,+0,+0,+0,-51772.5211172
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21624.4292259,+0,+0,+0,+0,+0,-56168.9850323,+0,+0,+0,-51850.4877718
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56117.5567911,+0,+0,+0,-51803.0131674
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56072.2534255,+0,+0,+0,-51761.192578
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30238.8782912,+0,+0,+0,+0,+0,+0,+0,-56086.1517415,+0,+0,+0,-51774.0224364
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30280.4537302,+0,+0,+0,+0,+0,+0,+0,-56127.9179046,+0,+0,+0,-51812.577752
