# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47745.4071379,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47720.0162319,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,-26045.6068058,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47740.9564039,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,-26024.6061949,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47702.4648569,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-26038.3877749,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47727.4867876,+0,+0,-43241.9405011,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,-17356.1893694,-26034.2977269,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47719.9903058,+0,+0,-43238.6363987,+0
2010-08-16 00:03:00 UTC,+0,-43348.3771791,+0,-17341.7800523,-26012.6836096,+0,+0,+0,+0,+0,+0,+0,+0,-52016.5695672,+0,-47680.3746747,+0,+0,-43223.8497813,+0
2010-08-16 00:03:30 UTC,+0,-43356.4099308,+0,-17345.0786014,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52026.2085994,+0,-47689.2100998,+0,+0,-43216.3143628,+0
2010-08-16 00:04:00 UTC,+0,-43359.8864673,+0,-17346.4694857,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52030.3803264,+0,+0,+0,+0,-43190.6904021,+0
2010-08-16 00:04:30 UTC,+0,-43379.4646382,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52053.8734738,+0,+0,+0,+0,-43247.4222498,+0
2010-08-16 00:05:00 UTC,+0,-43384.5525275,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52059.9787701,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,-43397.3874666,-43393.1329556,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52070.2749954,+0,+0,-52066.877406,+0,+0,+0
2010-08-16 00:06:00 UTC,-43373.971343,-43369.7199271,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52042.180148,+0,+0,-52038.784973,+0,+0,+0
2010-08-16 00:06:30 UTC,-43366.3305503,-43362.0801444,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52033.0126653,+0,+0,-52029.6182783,+0,+0,+0
2010-08-16 00:07:00 UTC,-43371.0572227,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52035.2888892,+0,+0,+0
2010-08-16 00:07:30 UTC,-43366.5508544,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52029.8825784,+0,+0,+0
2010-08-16 00:08:00 UTC,-43382.0888789,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52048.5236187,+0,+0,+0
2010-08-16 00:08:30 UTC,-43385.3775681,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52052.4690744,+0,+0,+0
