# file...... Output/Qh/house_Qh_file_032.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_10A_tm_0_A_10_Meter_53_621:Qh,house_0_11A_tm_0_A_11_Meter_53_622:Qh,house_0_12A_tm_0_A_12_Meter_53_623:Qh,house_0_13A_tm_0_A_13_Meter_53_624:Qh,house_0_14A_tm_0_A_14_Meter_53_625:Qh,house_0_15A_tm_0_A_15_Meter_53_626:Qh,house_0_1A_tm_0_A_1_Meter_55_627:Qh,house_0_2A_tm_0_A_2_Meter_55_628:Qh,house_0_3A_tm_0_A_3_Meter_55_629:Qh,house_0_4A_tm_0_A_4_Meter_55_630:Qh,house_0_5A_tm_0_A_5_Meter_55_631:Qh,house_0_6A_tm_0_A_6_Meter_55_632:Qh,house_0_7A_tm_0_A_7_Meter_55_633:Qh,house_0_8A_tm_0_A_8_Meter_55_634:Qh,house_0_1B_tm_0_B_1_Meter_56_635:Qh,house_0_2B_tm_0_B_2_Meter_56_636:Qh,house_0_3B_tm_0_B_3_Meter_56_637:Qh,house_0_4B_tm_0_B_4_Meter_56_638:Qh,house_0_5B_tm_0_B_5_Meter_56_639:Qh,house_0_6B_tm_0_B_6_Meter_56_640:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-25921.1907331,+0,+0,+0,+0,-30389.1531016,+0,+0,+0,-43411.2284839
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-25955.3235449,+0,+0,+0,+0,-30375.8713585,+0,+0,+0,-43392.2555827
2010-08-16 00:02:00 UTC,-60516.0292523,+0,+0,+0,+0,+0,+0,+0,+0,-17284.258477,-25926.2177688,+0,+0,+0,+0,-30374.1656963,-56396.0306069,+0,+0,-43389.819053
2010-08-16 00:02:30 UTC,-60619.1390676,+0,+0,+0,+0,+0,+0,+0,+0,-17313.3904943,-25969.9155956,+0,+0,+0,+0,-30372.5473346,-56393.0259768,+0,+0,-43387.5072318
2010-08-16 00:03:00 UTC,-60582.672381,+0,+0,+0,+0,+0,+0,+0,+0,-17303.4731699,+0,+0,+0,+0,+0,-30357.7345202,-56365.5246903,+0,+0,-43366.3472032
2010-08-16 00:03:30 UTC,-60546.3440586,+0,+0,+0,+0,+0,+0,+0,+0,-17292.9372838,+0,+0,+0,+0,+0,-30355.4552646,-56361.2930529,+0,+0,-43363.0912984
2010-08-16 00:04:00 UTC,-60572.761534,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34699.7632635,-30361.5933296,-56372.6889078,+0,+0,-43371.8594925
2010-08-16 00:04:30 UTC,-60602.0674159,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.101032,+0,-56397.6044979,+0,+0,-43391.0300356
