# file...... Output/Qh/house_Qh_file_033.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7B_tm_0_B_7_Meter_56_641:Qh,house_0_8B_tm_0_B_8_Meter_56_642:Qh,house_0_1B_tm_0_B_1_Meter_58_643:Qh,house_0_2B_tm_0_B_2_Meter_58_644:Qh,house_0_3B_tm_0_B_3_Meter_58_645:Qh,house_0_4B_tm_0_B_4_Meter_58_646:Qh,house_0_5B_tm_0_B_5_Meter_58_647:Qh,house_0_6B_tm_0_B_6_Meter_58_648:Qh,house_0_7B_tm_0_B_7_Meter_58_649:Qh,house_0_8B_tm_0_B_8_Meter_58_650:Qh,house_0_1B_tm_0_B_1_Meter_59_651:Qh,house_0_2B_tm_0_B_2_Meter_59_652:Qh,house_0_3B_tm_0_B_3_Meter_59_653:Qh,house_0_4B_tm_0_B_4_Meter_59_654:Qh,house_0_5B_tm_0_B_5_Meter_59_655:Qh,house_0_6B_tm_0_B_6_Meter_59_656:Qh,house_0_7B_tm_0_B_7_Meter_59_657:Qh,house_0_8B_tm_0_B_8_Meter_59_658:Qh,house_3_1A_tm_3_A_1_Meter_60_659:Qh,house_3_2A_tm_3_A_2_Meter_60_660:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,-56418.1619361,+0,+0,+0,+0,+0,-21689.5293082,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,-56431.6557187,+0,+0,+0,+0,+0,-21696.3171007,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,-56406.9924914,+0,+0,+0,-30356.5143217,+0,-21683.8900476,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,-56403.8252008,+0,+0,+0,-30354.4472336,+0,-21682.4134965,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47397.1749897
2010-08-16 00:02:30 UTC,+0,-56400.8200214,+0,+0,+0,-30350.9883094,+0,-21679.9427364,+0,+0,+0,+0,+0,-30346.6984885,+0,+0,+0,+0,+0,-47471.3193928
2010-08-16 00:03:00 UTC,+0,-56373.3137064,+0,+0,+0,-30332.7059214,+0,-21666.8833594,+0,+0,-12998.2850767,+0,+0,-30325.7599159,-60641.7442938,+0,+0,+0,+0,-47439.8832244
2010-08-16 00:03:30 UTC,+0,-56369.0812951,+0,+0,+0,-30329.5576354,+0,+0,+0,+0,-12996.7723524,+0,+0,-30322.2307689,-60634.6873153,+0,+0,+0,+0,-47406.8750699
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,-30335.9764608,+0,+0,+0,+0,-12999.5226406,+0,+0,-30328.6471205,-60647.5176271,+0,+0,+0,+0,-47437.8670725
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13005.4882419,+0,+0,-30342.5647152,-60675.347629,+0,+0,+0,+0,-47469.0626359
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30336.6348625,-60663.490134,+0,+0,+0,+0,-47433.997532
2010-08-16 00:05:30 UTC,+0,+0,+0,-56390.7857674,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60719.5230511,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,-56367.4991107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60691.1323953,+0,-47688.6480861,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,-56367.3235068,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60690.8807524,+0,-47688.450356,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,-56348.6161487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47676.0699454,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,-56347.4548953,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47675.087475,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,-56344.1210955,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47669.3146798,-52003.8967508,+0,+0
2010-08-16 00:08:30 UTC,-47759.1825558,+0,+0,-56375.8090818,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47696.0843305,-52033.1008117,+0,+0
2010-08-16 00:09:00 UTC,-47742.1240646,+0,+0,-56370.2605153,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47691.3905038,-52027.9801323,+0,+0
2010-08-16 00:09:30 UTC,-47759.715769,+0,+0,-56395.2480781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52053.9506808,+0,+0
2010-08-16 00:10:00 UTC,-47752.1418669,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52050.3749797,+0,+0
2010-08-16 00:10:30 UTC,-47758.8411141,+0,+0,+0,+0,+0,+0,+0,+0,-56396.3847932,+0,+0,-39044.7224537,+0,+0,+0,+0,-52052.9545537,+0,+0
2010-08-16 00:11:00 UTC,-47779.8182349,+0,+0,+0,+0,+0,+0,-21705.8736752,+0,-56423.7163267,+0,+0,-39064.1373718,+0,+0,+0,+0,-52078.8368624,+0,+0
