# file...... Output/Qh/house_Qh_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:Qh,house_3_1A_tm_3_A_1_Meter_63_682:Qh,house_3_2A_tm_3_A_2_Meter_63_683:Qh,house_3_3A_tm_3_A_3_Meter_63_684:Qh,house_3_4A_tm_3_A_4_Meter_63_685:Qh,house_3_5A_tm_3_A_5_Meter_63_686:Qh,house_3_6A_tm_3_A_6_Meter_63_687:Qh,house_3_7A_tm_3_A_7_Meter_63_688:Qh,house_3_8A_tm_3_A_8_Meter_63_689:Qh,house_3_9A_tm_3_A_9_Meter_63_690:Qh,house_3_10A_tm_3_A_10_Meter_63_691:Qh,house_3_11A_tm_3_A_11_Meter_63_692:Qh,house_3_12A_tm_3_A_12_Meter_63_693:Qh,house_3_13A_tm_3_A_13_Meter_63_694:Qh,house_3_14A_tm_3_A_14_Meter_63_695:Qh,house_3_15A_tm_3_A_15_Meter_63_696:Qh,house_3_1B_tm_3_B_1_Meter_64_697:Qh,house_3_2B_tm_3_B_2_Meter_64_698:Qh,house_3_3B_tm_3_B_3_Meter_64_699:Qh,house_3_4B_tm_3_B_4_Meter_64_700:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21573.2996331,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21543.392794,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21550.9848184,+0,+0,+0,+0,+0,+0,+0,+0,-30326.5509417,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,-47446.3079525,+0,+0,-21571.0423799,+0,-43135.8688269,+0,+0,+0,+0,+0,+0,-30301.7472859,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,-47384.9539039,+0,+0,-21543.1465404,+0,-43080.0875565,+0,+0,+0,+0,+0,+0,-30293.0883273,+0,+0
2010-08-16 00:02:30 UTC,-30227.0654793,+0,+0,+0,+0,-47459.1958751,+0,+0,-21576.9021301,+0,-43147.5861414,+0,+0,+0,+0,+0,+0,-30287.0073311,+0,+0
2010-08-16 00:03:00 UTC,-30204.6935571,+0,+0,+0,+0,-47425.9452099,+0,+0,-21561.7840541,+0,-43117.3556292,+0,+0,+0,-38808.9430176,+0,+0,-30267.2559202,+0,+0
2010-08-16 00:03:30 UTC,-30200.2564104,+0,-38779.5837789,+0,+0,-47393.4373324,+0,+0,+0,+0,-43087.8004367,+0,+0,+0,-38782.3404647,+0,+0,-30257.1894176,+0,+0
2010-08-16 00:04:00 UTC,-30163.1817527,+0,-38804.9613806,+0,+0,-47424.4512317,+0,+0,+0,+0,-43116.3531557,+0,+0,+0,-38807.7204327,+0,+0,-30266.1353051,+0,+0
2010-08-16 00:04:30 UTC,-30189.4510384,+0,-38830.3905732,+0,+0,-47455.5281808,+0,+0,+0,+0,-43144.6078653,+0,+0,+0,-38833.151996,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,-38801.8523449,-47420.3552206,+0,+0,+0,+0,+0,+0,-43112.8986653,+0,+0,+0,-38804.6111071,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,-38835.9570017,-47462.0344298,+0,+0,+0,+0,+0,+0,-43150.792797,+0,+0,+0,-38838.7189433,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,-38851.4051716,-47480.9135963,+0,+0,+0,+0,+0,+0,+0,-21586.5188063,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,-38867.9983141,-47501.1920312,+0,+0,+0,+0,+0,+0,+0,-21595.7385839,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,-47576.5375294,+0,+0,+0,+0,+0,-38932.7014432,+0,-21629.9951076,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,-47608.6217148,+0,+0,+0,+0,+0,-38958.9577243,+0,-21644.5824767,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,-47595.8905987,+0,+0,+0,+0,+0,-38948.5391413,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,-47587.2533556,+0,+0,+0,+0,+0,-38941.4708028,+0,+0,+0,-56244.3070977,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38949.9146849,+0,+0,+0,-56256.5025919,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56269.7787748,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56309.373259,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56312.3220116,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,-56252.2498052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56261.1426408,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,-56284.3240443,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56293.2237163,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,-56277.8462159,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56286.7445079,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,-56310.9193231,+0,+0,+0,+0,+0,+0,-21664.3106999,+0,+0,+0,+0,-56319.8246638,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,-56345.9943081,+0,+0,+0,+0,+0,+0,-21677.8061275,+0,+0,+0,+0,-56354.9071215,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,-56412.3089431,+0,+0,+0,+0,+0,+0,-21703.3212992,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,-56432.4275733,+0,+0,+0,+0,+0,+0,-21711.0621288,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,-56458.4388804,+0,+0,+0,+0,+0,+0,-21721.0702181,+0,+0,+0,+0,+0,+0,+0,+0,-30312.5886547,+0,+0
2010-08-16 00:15:00 UTC,+0,-56439.7598808,+0,+0,+0,+0,+0,+0,-21713.5910819,+0,+0,+0,+0,+0,+0,+0,+0,-30300.3344223,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30307.5506316,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30307.7680483,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43363.6422975,+0,+0,+0,+0,+0,+0,-30321.9514933,+0,-25989.7551212
