# file...... Output/Qh/house_Qh_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:Qh,house_3_18C_tm_3_C_18_Meter_66_762:Qh,house_3_19C_tm_3_C_19_Meter_66_763:Qh,house_3_20C_tm_3_C_20_Meter_66_764:Qh,house_3_21C_tm_3_C_21_Meter_66_765:Qh,house_3_22C_tm_3_C_22_Meter_66_766:Qh,house_3_23C_tm_3_C_23_Meter_66_767:Qh,house_3_24C_tm_3_C_24_Meter_66_768:Qh,house_3_25C_tm_3_C_25_Meter_66_769:Qh,house_3_26C_tm_3_C_26_Meter_66_770:Qh,house_3_27C_tm_3_C_27_Meter_66_771:Qh,house_3_28C_tm_3_C_28_Meter_66_772:Qh,house_3_1A_tm_3_A_1_Meter_68_773:Qh,house_3_2A_tm_3_A_2_Meter_68_774:Qh,house_3_3A_tm_3_A_3_Meter_68_775:Qh,house_3_4A_tm_3_A_4_Meter_68_776:Qh,house_3_5A_tm_3_A_5_Meter_68_777:Qh,house_3_6A_tm_3_A_6_Meter_68_778:Qh,house_3_7A_tm_3_A_7_Meter_68_779:Qh,house_3_8A_tm_3_A_8_Meter_68_780:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65221.9894956,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65284.6438689,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-12951.2767104,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65193.4206558,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,-12944.960753,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65458.4744044,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,-12935.5784658,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65412.6424895,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,-12931.0880942,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13075.4149388,-65364.1247916,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47338.9571801,+0,+0,+0,+0,-13084.6330834,-65410.2041927,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,-34454.2453155,+0,-34452.0614254,+0,+0,+0,-47372.7021571,+0,+0,+0,+0,-13094.2958215,-65458.5060168,+0,+0
