# file...... Output/Qh/house_Qh_file_042.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3C_tm_3_C_3_Meter_73_821:Qh,house_3_4C_tm_3_C_4_Meter_73_822:Qh,house_3_5C_tm_3_C_5_Meter_73_823:Qh,house_3_6C_tm_3_C_6_Meter_73_824:Qh,house_3_7C_tm_3_C_7_Meter_73_825:Qh,house_3_8C_tm_3_C_8_Meter_73_826:Qh,house_3_9C_tm_3_C_9_Meter_73_827:Qh,house_3_10C_tm_3_C_10_Meter_73_828:Qh,house_3_11C_tm_3_C_11_Meter_73_829:Qh,house_3_12C_tm_3_C_12_Meter_73_830:Qh,house_3_13C_tm_3_C_13_Meter_73_831:Qh,house_3_14C_tm_3_C_14_Meter_73_832:Qh,house_3_15C_tm_3_C_15_Meter_73_833:Qh,house_3_1C_tm_3_C_1_Meter_74_834:Qh,house_3_2C_tm_3_C_2_Meter_74_835:Qh,house_3_3C_tm_3_C_3_Meter_74_836:Qh,house_3_4C_tm_3_C_4_Meter_74_837:Qh,house_3_5C_tm_3_C_5_Meter_74_838:Qh,house_3_6C_tm_3_C_6_Meter_74_839:Qh,house_3_7C_tm_3_C_7_Meter_74_840:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17453.3674439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21808.3676601
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56653.0305168,-17433.1710411,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21783.5218967
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56615.9713197,-17421.7670804,+0,-21776.8977871,+0,+0,+0,+0,+0,+0,+0,+0,-21767.8826438
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56569.0376179,-17407.3245092,+0,-21758.8448963,+0,+0,+0,+0,+0,+0,+0,+0,-21749.8372128
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56706.4396692,+0,+0,-21811.6961339,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,-17426.7320543,-56630.571478,+0,+0,-21782.513689,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,-61024.7581264,+0,+0,+0,+0,-17438.7254839,-56669.5446576,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
