# file...... Output/Qh/house_Qh_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:Qh,house_3_14C_tm_3_C_14_Meter_75_862:Qh,house_3_15C_tm_3_C_15_Meter_75_863:Qh,house_3_1A_tm_3_A_1_Meter_76_864:Qh,house_3_2A_tm_3_A_2_Meter_76_865:Qh,house_3_3A_tm_3_A_3_Meter_76_866:Qh,house_3_4A_tm_3_A_4_Meter_76_867:Qh,house_3_5A_tm_3_A_5_Meter_76_868:Qh,house_3_6A_tm_3_A_6_Meter_76_869:Qh,house_3_7A_tm_3_A_7_Meter_76_870:Qh,house_3_8A_tm_3_A_8_Meter_76_871:Qh,house_3_9A_tm_3_A_9_Meter_76_872:Qh,house_3_10A_tm_3_A_10_Meter_76_873:Qh,house_3_11A_tm_3_A_11_Meter_76_874:Qh,house_3_12A_tm_3_A_12_Meter_76_875:Qh,house_3_13A_tm_3_A_13_Meter_76_876:Qh,house_3_14A_tm_3_A_14_Meter_76_877:Qh,house_3_15A_tm_3_A_15_Meter_76_878:Qh,house_3_16A_tm_3_A_16_Meter_76_879:Qh,house_3_17A_tm_3_A_17_Meter_76_880:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,-56505.9711267,+0,-17389.9663456,+0,+0,+0,+0,+0,+0,-52156.828834,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,-21829.2354917,+0,+0,+0,+0,-56516.260539,+0,-17393.1331492,+0,-60866.7398019,+0,+0,-13044.7835828,+0,-52166.3261473,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,-21803.0118537,+0,+0,+0,+0,-56574.2660049,+0,-17410.9856656,+0,-60929.2114368,+0,+0,-13058.1728203,+0,-52219.8662404,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-21778.1767378,+0,+0,+0,+0,-56495.1131431,+0,-17386.6245511,-43462.6509151,-60844.420847,+0,+0,-13039.9021888,+0,-52146.8067192,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-21762.9555189,+0,+0,+0,+0,-56723.2984286,+0,+0,-43638.495297,-61090.1790857,+0,+0,-13092.5735486,-43635.8406319,-52357.4258659,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-21744.9171567,+0,+0,+0,+0,-56680.1304743,+0,+0,-43605.2839333,-61043.6866942,+0,-26162.7259306,+0,-43602.6320164,-52317.5810615,-56675.2697705,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,-21798.142341,+0,+0,+0,+0,-56635.8480502,+0,+0,-43571.215148,-60995.994004,+0,-26142.2852333,+0,-43568.5660512,-52276.7075821,-56630.9923706,+0,-56631.3032922,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,-56677.0652006,+0,+0,-43602.9256578,-61040.3853584,+0,-26161.311005,+0,-43600.2739362,-52314.7517584,-56672.2048447,+0,-56672.5158846,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-56718.8142347,+0,-56717.7277953,+0,+0,-43634.2095175,-61084.1794485,+0,-26180.0807942,+0,-43631.5552072,+0,-56712.8628273,+0,-56713.1739842,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,-56805.0292096,+0,-56803.9406912,+0,+0,-43700.5376004,-61177.0317408,+0,-26219.8765285,+0,-43697.8778043,+0,-56799.0659486,+0,-56799.3773546,-26220.3938876,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,-56861.8605009,+0,-56860.7706126,+0,+0,-43744.2598231,+0,+0,-26246.1091276,+0,-43741.5964129,+0,-56855.88943,+0,-56856.2010009,-26246.6270101,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,-56881.5149928,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43756.7160242,+0,-56875.5412212,+0,-56875.8528493,-26255.6994539,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,-56901.2398086,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43771.8897333,+0,-56895.2633272,+0,-56895.5750128,-26264.8043587,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,-57013.9994057,+0,+0,-35088.479001,+0,+0,+0,+0,+0,+0,-43858.6323074,+0,+0,+0,-57008.3194559,-26316.853786,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,-57055.5887124,+0,+0,-35114.0750295,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61435.6937058,-57049.9031762,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,-57035.4269214,+0,+0,-35101.6665089,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61414.9541879,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,-57025.8761787,+0,+0,-35095.7885297,-17549.6423763,+0,+0,+0,+0,-13162.2186083,+0,+0,+0,-61404.67038,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,-35107.102245,-17555.3000004,+0,+0,+0,+0,-13166.4618138,+0,+0,+0,-61424.4642703,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,-35113.0659905,-17558.282277,+0,+0,+0,+0,-13168.6985147,+0,+0,+0,-61434.898131,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,-35144.0753222,-17573.7890426,+0,+0,+0,+0,-13180.3285547,+0,+0,+0,-61489.150453,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61493.3941109,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,-61553.172333,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61433.2815952,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,-61529.829995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61475.030057,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,-61560.5362678,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
