# file...... Output/Qh/house_Qh_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:Qh,house_3_13B_tm_3_B_13_Meter_76_902:Qh,house_3_14B_tm_3_B_14_Meter_76_903:Qh,house_3_15B_tm_3_B_15_Meter_76_904:Qh,house_3_16B_tm_3_B_16_Meter_76_905:Qh,house_3_17B_tm_3_B_17_Meter_76_906:Qh,house_3_1C_tm_3_C_1_Meter_76_907:Qh,house_3_2C_tm_3_C_2_Meter_76_908:Qh,house_3_3C_tm_3_C_3_Meter_76_909:Qh,house_3_4C_tm_3_C_4_Meter_76_910:Qh,house_3_5C_tm_3_C_5_Meter_76_911:Qh,house_3_6C_tm_3_C_6_Meter_76_912:Qh,house_3_7C_tm_3_C_7_Meter_76_913:Qh,house_3_8C_tm_3_C_8_Meter_76_914:Qh,house_3_9C_tm_3_C_9_Meter_76_915:Qh,house_3_10C_tm_3_C_10_Meter_76_916:Qh,house_3_11C_tm_3_C_11_Meter_76_917:Qh,house_3_12C_tm_3_C_12_Meter_76_918:Qh,house_3_13C_tm_3_C_13_Meter_76_919:Qh,house_3_14C_tm_3_C_14_Meter_76_920:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,-43705.7285458,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,-43690.1835694,+0,+0,+0,+0,+0,+0,+0,-56671.3505859,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,-43680.8623474,+0,+0,+0,+0,+0,+0,+0,-56637.4471381,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,-43649.1310006,+0,+0,+0,+0,+0,+0,+0,-56588.6806478,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,-43632.4103594,+0,+0,+0,+0,+0,+0,+0,-56724.6828049,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,-43649.4793207,+0,+0,+0,+0,+0,+0,+0,-56644.9951595,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,-43671.9267079,+0,+0,+0,+0,+0,+0,+0,-56689.0400135,+0,+0,+0,+0,+0,+0,+0,+0,+0
