# file...... Output/Qh/house_Qh_file_047.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_76_921:Qh,house_3_16C_tm_3_C_16_Meter_76_922:Qh,house_3_17C_tm_3_C_17_Meter_76_923:Qh,house_3_1B_tm_3_B_1_Meter_77_924:Qh,house_3_2B_tm_3_B_2_Meter_77_925:Qh,house_3_3B_tm_3_B_3_Meter_77_926:Qh,house_3_4B_tm_3_B_4_Meter_77_927:Qh,house_3_5B_tm_3_B_5_Meter_77_928:Qh,house_3_6B_tm_3_B_6_Meter_77_929:Qh,house_3_7B_tm_3_B_7_Meter_77_930:Qh,house_3_8B_tm_3_B_8_Meter_77_931:Qh,house_3_9B_tm_3_B_9_Meter_77_932:Qh,house_3_10B_tm_3_B_10_Meter_77_933:Qh,house_3_11B_tm_3_B_11_Meter_77_934:Qh,house_3_12B_tm_3_B_12_Meter_77_935:Qh,house_3_13B_tm_3_B_13_Meter_77_936:Qh,house_3_14B_tm_3_B_14_Meter_77_937:Qh,house_3_15B_tm_3_B_15_Meter_77_938:Qh,house_3_1A_tm_3_A_1_Meter_79_939:Qh,house_3_2A_tm_3_A_2_Meter_79_940:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,-17491.2272949,+0,+0,+0,+0,-21864.0034113,+0,+0,+0,+0,-34978.7567011,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,-17497.1960061,+0,+0,+0,+0,-21871.4643077,+0,+0,+0,+0,-34990.6924937,+0,+0,+0,+0,-26082.5388462
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,-17481.6998227,+0,+0,+0,+0,-21852.0940589,+0,+0,+0,+0,-34959.7043587,+0,+0,+0,+0,-26109.551522
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-17475.8587903,+0,+0,+0,+0,-21844.7927611,+0,+0,+0,+0,-34948.0238889,+0,+0,+0,+0,-26072.8678522
2010-08-16 00:02:30 UTC,+0,-30505.3382131,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34940.822977,+0,+0,+0,+0,-26177.0452559
2010-08-16 00:03:00 UTC,+0,-30474.5924132,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21824.2671202,-34915.641658,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,-30547.8366144,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21815.5609472,-34901.713397,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,-30504.9206944,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21824.543322,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,-30528.6411277,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21836.0472929,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21827.2279393,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43706.6293469,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,-39308.728921,+0,+0,-43679.1622443,+0,+0,+0,+0,+0,+0,+0,+0,+0
