# file...... Output/Qh/house_Qh_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:Qh,house_3_4A_tm_3_A_4_Meter_79_942:Qh,house_3_5A_tm_3_A_5_Meter_79_943:Qh,house_3_6A_tm_3_A_6_Meter_79_944:Qh,house_3_7A_tm_3_A_7_Meter_79_945:Qh,house_3_8A_tm_3_A_8_Meter_79_946:Qh,house_3_9A_tm_3_A_9_Meter_79_947:Qh,house_3_10A_tm_3_A_10_Meter_79_948:Qh,house_3_11A_tm_3_A_11_Meter_79_949:Qh,house_3_12A_tm_3_A_12_Meter_79_950:Qh,house_3_13A_tm_3_A_13_Meter_79_951:Qh,house_3_14A_tm_3_A_14_Meter_79_952:Qh,house_3_15A_tm_3_A_15_Meter_79_953:Qh,house_3_1B_tm_3_B_1_Meter_80_954:Qh,house_3_2B_tm_3_B_2_Meter_80_955:Qh,house_3_3B_tm_3_B_3_Meter_80_956:Qh,house_3_4B_tm_3_B_4_Meter_80_957:Qh,house_3_5B_tm_3_B_5_Meter_80_958:Qh,house_3_6B_tm_3_B_6_Meter_80_959:Qh,house_3_7B_tm_3_B_7_Meter_80_960:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43462.7212137,+0,+0,+0,+0,+0,+0,+0,-34972.1557813,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,-34772.3618392,+0,+0,-43467.5991609,+0,+0,+0,+0,+0,+0,+0,-34984.5760904,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,-34808.372724,+0,+0,-43512.6158318,+0,+0,+0,+0,+0,+0,+0,-34953.617744,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,-34759.4693353,+0,+0,-43451.482433,+0,+0,+0,+0,+0,+0,+0,-34942.3505872,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,-34898.3493476,+0,-65425.9735535,-43625.0942628,+0,+0,+0,+0,+0,+0,+0,-34932.3081538,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,-34873.3433106,+0,-65379.0944276,-43593.834591,+0,+0,+0,+0,+0,+0,+0,-34908.6374677,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,-34848.0995442,+0,-65331.769628,-43562.2777364,+0,+0,+0,+0,-39255.8212452,+0,+0,-34893.8983567,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65386.9910322,-43599.1001599,+0,+0,+0,+0,-39272.1163861,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65437.4460129,+0,+0,+0,+0,+0,-39294.5915185,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65539.0089909,+0,+0,+0,+0,+0,-39276.282846,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,-48115.1234618,+0,+0,+0,+0,+0,+0,+0,-65598.8341162,+0,+0,+0,+0,+0,-39337.5453912,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,-48130.1726139,+0,+0,+0,+0,+0,+0,+0,-65619.3506513,+0,+0,+0,+0,+0,-39327.098355,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,-48145.2602983,+0,+0,+0,+0,+0,+0,+0,-65639.9197189,+0,+0,+0,+0,+0,-39330.8035481,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,-48246.7204214,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,-48280.3126918,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,-48260.8035361,+0,+0,+0,+0,+0,+0,-26326.1585125,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,-26321.8971158,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26329.0503431,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,-26333.226333,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
