# file...... Output/Qh/house_Qh_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:Qh,house_3_9B_tm_3_B_9_Meter_80_962:Qh,house_3_10B_tm_3_B_10_Meter_80_963:Qh,house_3_11B_tm_3_B_11_Meter_80_964:Qh,house_3_12B_tm_3_B_12_Meter_80_965:Qh,house_3_13B_tm_3_B_13_Meter_80_966:Qh,house_3_14B_tm_3_B_14_Meter_80_967:Qh,house_3_15B_tm_3_B_15_Meter_80_968:Qh,house_3_1A_tm_3_A_1_Meter_82_969:Qh,house_3_2A_tm_3_A_2_Meter_82_970:Qh,house_3_3A_tm_3_A_3_Meter_82_971:Qh,house_3_4A_tm_3_A_4_Meter_82_972:Qh,house_3_5A_tm_3_A_5_Meter_82_973:Qh,house_3_6A_tm_3_A_6_Meter_82_974:Qh,house_3_7A_tm_3_A_7_Meter_82_975:Qh,house_3_8A_tm_3_A_8_Meter_82_976:Qh,house_3_9A_tm_3_A_9_Meter_82_977:Qh,house_3_10A_tm_3_A_10_Meter_82_978:Qh,house_3_11A_tm_3_A_11_Meter_82_979:Qh,house_3_12A_tm_3_A_12_Meter_82_980:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,-48150.701139,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26124.8942172,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,-48086.0935974,+0,-30603.0997642,+0,-34975.0387365,+0,+0,+0,+0,+0,+0,-21732.2972847,+0,+0,-26079.3136653,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,-48103.1712313,+0,-30613.968653,+0,-34987.460325,+0,+0,+0,+0,+0,+0,-21734.4728014,-26081.7214399,+0,-26081.9243755,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,-48060.6042307,+0,-30586.8773117,+0,-34956.4987888,+0,+0,+0,+0,+0,+0,-21757.385928,-26109.2177866,+0,-26109.4210758,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,-48045.1121541,+0,-30577.0175349,+0,-34945.4337914,-26071.6130667,+0,+0,+0,+0,+0,-21725.8066995,-26071.3218925,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,-61129.4414614,+0,-48031.3040436,+0,-30568.229501,+0,-34935.3902073,-26178.751446,+0,+0,+0,+0,+0,-21815.0851375,-26178.4583339,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,-61088.0194588,+0,-47998.7574054,+0,+0,+0,-34911.7168088,-26158.6992582,+0,+0,-56667.920042,+0,-13080.2553093,+0,-26158.4065082,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,-61062.227072,+0,-47978.4914736,+0,+0,+0,+0,-26142.4346168,+0,+0,-56632.6874217,+0,-13072.1222683,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,-61087.5739477,+0,-47998.4073526,+0,+0,+0,+0,-26167.7265892,+0,+0,-56687.475133,+0,-13084.7693745,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,-61122.5337182,+0,+0,+0,+0,+0,+0,-26187.3771899,+0,+0,-56730.0424539,+0,-13094.5955449,+0,+0,+0,+0,+0,+0
