# file...... Output/Qh/house_Qh_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:Qh,house_3_8B_tm_3_B_8_Meter_86_1022:Qh,house_3_1B_tm_3_B_1_Meter_87_1023:Qh,house_3_2B_tm_3_B_2_Meter_87_1024:Qh,house_3_3B_tm_3_B_3_Meter_87_1025:Qh,house_3_4B_tm_3_B_4_Meter_87_1026:Qh,house_3_5B_tm_3_B_5_Meter_87_1027:Qh,house_3_6B_tm_3_B_6_Meter_87_1028:Qh,house_3_7B_tm_3_B_7_Meter_87_1029:Qh,house_3_8B_tm_3_B_8_Meter_87_1030:Qh,house_3_9B_tm_3_B_9_Meter_87_1031:Qh,house_3_10B_tm_3_B_10_Meter_87_1032:Qh,house_3_11B_tm_3_B_11_Meter_87_1033:Qh,house_3_12B_tm_3_B_12_Meter_87_1034:Qh,house_3_13B_tm_3_B_13_Meter_87_1035:Qh,house_3_14B_tm_3_B_14_Meter_87_1036:Qh,house_3_15B_tm_3_B_15_Meter_87_1037:Qh,house_3_1A_tm_3_A_1_Meter_88_1038:Qh,house_3_2A_tm_3_A_2_Meter_88_1039:Qh,house_3_3A_tm_3_A_3_Meter_88_1040:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34967.2352425,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61203.6150672,-34974.5498096,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61145.8353327,-34941.273321,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61120.4107531,-34926.744759,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61106.4278838,-34918.754421,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,-56711.9801703,+0,+0,+0,+0,+0,-61063.938679,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,-56666.4609384,+0,+0,+0,+0,+0,-61029.2449976,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,-56692.580014,+0,+0,+0,+0,+0,-61057.3758255,+0,+0,+0,+0,+0,+0,+0,-21808.96415,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,-56722.431404,+0,+0,+0,+0,+0,-61089.5264387,+0,+0,+0,+0,+0,-30547.5613185,+0,-21820.4482833,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,-56697.5953682,+0,+0,+0,+0,+0,-61062.7774739,+0,+0,-52340.4805652,+0,+0,-30534.1854497,+0,-21810.8936077,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,-56790.9630045,+0,+0,+0,+0,+0,+0,+0,+0,-52426.6756512,+0,+0,-30584.470173,+0,-21846.8130848,+0,+0,-26226.4703009
2010-08-16 00:06:00 UTC,+0,+0,-56768.0576484,+0,+0,+0,+0,+0,+0,+0,+0,-52405.529897,+0,+0,-30572.1341055,+0,-21838.0011622,+0,+0,-26233.3651772
2010-08-16 00:06:30 UTC,+0,+0,-56778.6868652,+0,+0,+0,+0,+0,+0,+0,+0,-52415.3425718,+0,+0,-30577.8586504,+0,+0,+0,+0,-26242.8455065
2010-08-16 00:07:00 UTC,+0,+0,-56746.4247873,+0,+0,+0,+0,+0,+0,+0,+0,-52385.558884,+0,+0,-30560.4833618,+0,+0,+0,+0,-26297.9512931
2010-08-16 00:07:30 UTC,+0,+0,-56754.1955388,+0,+0,+0,+0,+0,+0,+0,+0,-52392.7326821,+0,+0,-30564.6684315,+0,+0,+0,+0,-26317.4939513
2010-08-16 00:08:00 UTC,+0,+0,-56740.0051386,+0,+0,+0,+0,+0,+0,+0,+0,-52379.6323959,+0,+0,-30557.0259511,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52430.4013716,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52415.5853834,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35021.3103791,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35033.481673,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35013.5846337,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+0,-30610.5677078,+0,+0,+0,+0,+0,-34980.8511555,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+0,-30610.6914935,+0,+0,+0,+0,+0,-34980.9926123,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,-30581.8759937,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,-30569.4440623,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,-30573.0234048,+0,+0,+0,+0,+0,+0,+0,+0,-43668.697076,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43682.6990217,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43719.3183111,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43723.031977,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43733.0088985,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43760.6376259,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43794.1863493,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21886.394069,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21898.6182678,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21883.3066385,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.5689484,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61218.7148114,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,-21866.3243935,+0,+0,+0,+0,+0,+0,-61203.0839604,+0,+0,-52460.7455524,+0,+0,+0,+0,+0,+0,+0,+0
