# file...... Output/Qh/house_Qh_file_053.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_88_1041:Qh,house_3_5A_tm_3_A_5_Meter_88_1042:Qh,house_3_6A_tm_3_A_6_Meter_88_1043:Qh,house_3_7A_tm_3_A_7_Meter_88_1044:Qh,house_3_8A_tm_3_A_8_Meter_88_1045:Qh,house_3_9A_tm_3_A_9_Meter_88_1046:Qh,house_3_10A_tm_3_A_10_Meter_88_1047:Qh,house_3_11A_tm_3_A_11_Meter_88_1048:Qh,house_3_12A_tm_3_A_12_Meter_88_1049:Qh,house_3_13A_tm_3_A_13_Meter_88_1050:Qh,house_3_14A_tm_3_A_14_Meter_88_1051:Qh,house_3_15A_tm_3_A_15_Meter_88_1052:Qh,house_3_1B_tm_3_B_1_Meter_90_1053:Qh,house_3_2B_tm_3_B_2_Meter_90_1054:Qh,house_3_3B_tm_3_B_3_Meter_90_1055:Qh,house_3_4B_tm_3_B_4_Meter_90_1056:Qh,house_3_5B_tm_3_B_5_Meter_90_1057:Qh,house_3_6B_tm_3_B_6_Meter_90_1058:Qh,house_3_7B_tm_3_B_7_Meter_90_1059:Qh,house_3_8B_tm_3_B_8_Meter_90_1060:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26191.9031569,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26185.2027491,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26166.5348599,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,-52254.7208767,+0,+0,+0,+0,+0,+0,+0,+0,-26151.3549473,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,-52287.7057612,+0,+0,+0,+0,+0,-17433.1005136,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,-61035.9899839,+0,+0,+0,+0,-52316.538539,+0,+0,+0,+0,+0,-17442.7141362,+0,+0,+0,+0,+0,+0,+0,+0
