# file...... Output/Qh/house_Qh_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:Qh,house_3_10B_tm_3_B_10_Meter_90_1062:Qh,house_3_11B_tm_3_B_11_Meter_90_1063:Qh,house_3_12B_tm_3_B_12_Meter_90_1064:Qh,house_3_13B_tm_3_B_13_Meter_90_1065:Qh,house_3_14B_tm_3_B_14_Meter_90_1066:Qh,house_3_15B_tm_3_B_15_Meter_90_1067:Qh,house_3_1C_tm_3_C_1_Meter_92_1068:Qh,house_3_2C_tm_3_C_2_Meter_92_1069:Qh,house_3_3C_tm_3_C_3_Meter_92_1070:Qh,house_3_4C_tm_3_C_4_Meter_92_1071:Qh,house_3_5C_tm_3_C_5_Meter_92_1072:Qh,house_3_6C_tm_3_C_6_Meter_92_1073:Qh,house_3_7C_tm_3_C_7_Meter_92_1074:Qh,house_3_8C_tm_3_C_8_Meter_92_1075:Qh,house_3_9C_tm_3_C_9_Meter_92_1076:Qh,house_3_10C_tm_3_C_10_Meter_92_1077:Qh,house_3_11C_tm_3_C_11_Meter_92_1078:Qh,house_3_12C_tm_3_C_12_Meter_92_1079:Qh,house_3_13C_tm_3_C_13_Meter_92_1080:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56685.9074352,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43670.8688588,+0,-56771.8010563,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43634.8141517,+0,-56725.4011211,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,-17462.1293139,+0,+0,+0,-26149.0211504,+0,+0,+0,+0,+0,+0,+0,-43580.3039466,+0,-56654.5370398,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,-26185.6593169,-17457.6620945,+0,+0,+0,-26133.72722,+0,+0,+0,+0,+0,+0,+0,-43554.8151776,+0,-56621.4012584,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,-26166.9909813,-17445.2160527,+0,+0,+0,-26111.5871602,+0,+0,+0,+0,+0,+0,+0,-43517.9166927,+0,-56573.4326745,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,-26151.8107058,-17435.0954748,+0,+0,+0,-26180.8021807,+0,+0,+0,+0,+0,+0,+0,-43632.9714227,+0,-56723.0055459,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,-26165.5632925,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43572.9132586,+0,-56644.9290348,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,-26179.7444588,+0,+0,+0,+0,+0,+0,+0,-56669.8114366,+0,+0,+0,+0,-43598.9902854,+0,-56678.8295597,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65431.2326347,-56698.9616328,+0,+0,+0,+0,-43621.4179579,+0,+0,+0
