# file...... Output/Qh/house_Qh_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:Qh,house_3_15C_tm_3_C_15_Meter_92_1082:Qh,house_3_1A_tm_3_A_1_Meter_94_1083:Qh,house_3_2A_tm_3_A_2_Meter_94_1084:Qh,house_3_3A_tm_3_A_3_Meter_94_1085:Qh,house_3_4A_tm_3_A_4_Meter_94_1086:Qh,house_3_5A_tm_3_A_5_Meter_94_1087:Qh,house_3_6A_tm_3_A_6_Meter_94_1088:Qh,house_3_7A_tm_3_A_7_Meter_94_1089:Qh,house_3_8A_tm_3_A_8_Meter_94_1090:Qh,house_3_9A_tm_3_A_9_Meter_94_1091:Qh,house_3_10A_tm_3_A_10_Meter_94_1092:Qh,house_3_11A_tm_3_A_11_Meter_94_1093:Qh,house_3_12A_tm_3_A_12_Meter_94_1094:Qh,house_3_13A_tm_3_A_13_Meter_94_1095:Qh,house_3_14A_tm_3_A_14_Meter_94_1096:Qh,house_3_15A_tm_3_A_15_Meter_94_1097:Qh,house_3_1B_tm_3_B_1_Meter_95_1098:Qh,house_3_2B_tm_3_B_2_Meter_95_1099:Qh,house_3_3B_tm_3_B_3_Meter_95_1100:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,-30524.5796886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,-30570.832781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,-30545.5931494,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-30507.4339837,-34863.5133201,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-30489.5908996,-34843.1228152,+0,+0,+0,+0,+0,-21811.6987764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-30463.7605907,-34813.6047662,+0,+0,+0,+0,+0,-21793.8419866,-21794.740406,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,-34905.6462464,+0,+0,+0,+0,+0,-21773.7073384,-21774.6046065,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21790.604981
2010-08-16 00:04:00 UTC,+0,-34857.6009176,+0,+0,+0,+0,+0,-21786.0157904,-21786.9137623,+0,+0,+0,+0,-39214.1616031,+0,+0,+0,+0,+0,-21801.4982666
2010-08-16 00:04:30 UTC,+0,-34878.4620169,-52317.8390964,+0,+0,+0,+0,-21797.3275864,-21798.0778559,+0,-61021.8358152,+0,+0,-39234.2555198,+0,+0,+0,+0,+0,-21813.578187
2010-08-16 00:05:00 UTC,+0,+0,-52380.0682648,+0,+0,+0,+0,+0,-21828.7247092,+0,-61107.6240553,+0,+0,-39289.4158716,+0,+0,+0,+0,+0,-21804.8685906
2010-08-16 00:05:30 UTC,+0,+0,-52434.2670538,+0,+0,+0,+0,+0,+0,+0,-61170.8523803,+0,+0,-39330.0705856,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,-52440.6088672,+0,-43700.5620559,+0,+0,+0,+0,+0,-61178.2507419,-30591.9120704,+0,-39334.8276037,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,-52459.9440771,+0,-43716.6746514,+0,+0,+0,+0,+0,-61200.8072046,-30603.1915989,+0,-39349.3310165,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,-52568.3006371,+0,-43806.9713419,+0,+0,+0,+0,+0,-61327.2160112,-30666.4032692,+0,-39430.6096713,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,-52607.6554845,+0,-43839.7668881,+0,+0,+0,+0,+0,-61373.1273938,-30689.361599,+0,-39460.1298863,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,-52596.3819876,+0,-43830.3723531,+0,+0,+0,+0,+0,-61359.975727,-30682.78501,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,-43830.3804309,+0,+0,+0,+0,+0,-61359.9870354,-30682.7906648,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,-43846.3137628,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61378.0480953,+0,+0,+0,-52396.3753283,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,-56999.5604595,+0,+0,+0,+0,+0,+0,+0,-61381.9592483,+0,+0,+0,-52430.3019183,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,-57049.0381085,+0,+0,+0,+0,+0,+0,+0,-61435.2401776,+0,+0,+0,-52420.931335,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,-57048.5569476,+0,+0,+0,+0,+0,+0,+0,-61434.7220304,+0,+0,+0,-52448.6521054,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,-56983.4571171,+0,+0,+0,+0,+0,+0,+0,-61364.6180637,+0,-39457.1986349,+0,-52499.9561072,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,-57026.2082878,+0,+0,+0,+0,+0,+0,+0,-61410.6554592,+0,-39487.0220275,+0,-52522.6622723,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,-57019.9526144,+0,+0,+0,+0,+0,+0,+0,-61403.9189204,+0,-39482.6901448,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,-57065.8587168,+0,+0,+0,+0,+0,+0,+0,-61453.3537636,+0,-39514.4788692,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,-43931.0143609,-57103.0401511,+0,+0,+0,+0,+0,+0,+0,-61493.3932859,+0,-39540.2259966,+0,+0,+0
2010-08-16 00:13:30 UTC,-30691.4599771,+0,+0,+0,+0,-44000.130642,+0,-22001.8604155,+0,+0,+0,+0,+0,+0,+0,+0,-39602.4357613,+0,+0,+0
2010-08-16 00:14:00 UTC,-30686.6164281,-35068.3489678,+0,+0,+0,-44022.2150923,+0,-22012.9038231,+0,+0,+0,+0,+0,+0,+0,+0,-39622.3133993,+0,+0,+0
2010-08-16 00:14:30 UTC,-30705.1903234,-35089.5747088,+0,+0,+0,-44060.2100041,+0,-22031.903312,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21838.242019
2010-08-16 00:15:00 UTC,-30733.1512576,-35121.5277022,+0,+0,+0,-43924.1942179,+0,-21963.888137,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21829.5300817
2010-08-16 00:15:30 UTC,-30732.6062619,-35120.9048957,+0,+0,+0,-43918.0487906,+0,-21960.6197909,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21832.3513864
2010-08-16 00:16:00 UTC,-30745.0332781,-35135.1061512,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21840.3996592
