# file...... Output/Qh/house_Qh_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:Qh,house_3_5B_tm_3_B_5_Meter_95_1102:Qh,house_3_6B_tm_3_B_6_Meter_95_1103:Qh,house_3_7B_tm_3_B_7_Meter_95_1104:Qh,house_3_8B_tm_3_B_8_Meter_95_1105:Qh,house_3_1B_tm_3_B_1_Meter_96_1106:Qh,house_3_2B_tm_3_B_2_Meter_96_1107:Qh,house_3_3B_tm_3_B_3_Meter_96_1108:Qh,house_3_4B_tm_3_B_4_Meter_96_1109:Qh,house_3_5B_tm_3_B_5_Meter_96_1110:Qh,house_3_6B_tm_3_B_6_Meter_96_1111:Qh,house_3_7B_tm_3_B_7_Meter_96_1112:Qh,house_3_8B_tm_3_B_8_Meter_96_1113:Qh,house_3_1A_tm_3_A_1_Meter_98_1114:Qh,house_3_2A_tm_3_A_2_Meter_98_1115:Qh,house_3_3A_tm_3_A_3_Meter_98_1116:Qh,house_3_4A_tm_3_A_4_Meter_98_1117:Qh,house_3_5A_tm_3_A_5_Meter_98_1118:Qh,house_3_6A_tm_3_A_6_Meter_98_1119:Qh,house_3_7A_tm_3_A_7_Meter_98_1120:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52393.1476795,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52370.3253642,+0,+0,+0,+0,+0,+0,+0,+0,-56505.9541928,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52358.548487,+0,+0,+0,+0,+0,+0,+0,+0,-56732.8999924,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52317.4964757,-39240.4462574,+0,+0,+0,+0,+0,+0,+0,-56693.8785462,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,-39218.5431857,+0,+0,+0,+0,-52280.0698906,-39212.3738749,-43567.2643177,+0,+0,+0,+0,+0,+0,-56654.3410621,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,-39238.1481418,+0,+0,+0,+0,-52306.2007656,-39231.9737374,-43589.0405167,+0,+0,+0,+0,+0,+0,-56698.1222546,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,-39259.8887186,+0,+0,+0,+0,-52335.1781491,-39253.7086665,-43613.188857,+0,+0,+0,+0,+0,+0,-56739.5829397,+0
