# file...... Output/Qh/house_Qh_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:Qh,house_3_14B_tm_3_B_14_Meter_99_1142:Qh,house_3_15B_tm_3_B_15_Meter_99_1143:Qh,house_3_1C_tm_3_C_1_Meter_100_1144:Qh,house_3_2C_tm_3_C_2_Meter_100_1145:Qh,house_3_3C_tm_3_C_3_Meter_100_1146:Qh,house_3_4C_tm_3_C_4_Meter_100_1147:Qh,house_3_5C_tm_3_C_5_Meter_100_1148:Qh,house_3_6C_tm_3_C_6_Meter_100_1149:Qh,house_3_7C_tm_3_C_7_Meter_100_1150:Qh,house_3_8C_tm_3_C_8_Meter_100_1151:Qh,house_3_9C_tm_3_C_9_Meter_100_1152:Qh,house_3_10C_tm_3_C_10_Meter_100_1153:Qh,house_3_11C_tm_3_C_11_Meter_100_1154:Qh,house_3_12C_tm_3_C_12_Meter_100_1155:Qh,house_3_13C_tm_3_C_13_Meter_100_1156:Qh,house_3_14C_tm_3_C_14_Meter_100_1157:Qh,house_3_15C_tm_3_C_15_Meter_100_1158:Qh,house_3_1C_tm_3_C_1_Meter_102_1159:Qh,house_3_2C_tm_3_C_2_Meter_102_1160:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,-17448.0001035,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,-17476.4481371,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,-17462.1555854,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,-17442.6403087,+0,+0,-30522.999829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56636.8957142,+0,-30503.7972899,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56590.9183895,+0,-30479.0329013,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34818.6820746
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56725.3113606,+0,-30551.4198771,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34902.046972
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56644.5534702,+0,-30507.921924,+0,-26148.9827863,-56647.6452451,+0,+0,+0,+0,+0,+0,-34860.0849248
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56692.9046301,+0,-30533.9649092,+0,-26171.3044497,-56695.9998816,+0,+0,+0,+0,+0,+0,-34888.9511436
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56706.2297176,+0,+0,+0,-26177.4560731,-56709.3259272,-61070.4587464,+0,+0,+0,+0,+0,-34899.0116194
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56606.4175499,+0,+0,+0,-26131.3770613,-56609.5065818,-60962.9634173,+0,+0,+0,+0,+0,-34837.2839599
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56677.6119672,+0,+0,+0,-26164.2444814,-56680.7061193,-61039.6381107,+0,+0,+0,+0,-43599.0405867,-34881.3905767
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56840.4483447,-56844.5885789,+0,+0,-26239.4190674,-56843.5541984,-61215.0090065,+0,+0,+0,+0,-43731.6956455,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56837.2950896,-56841.4349846,+0,+0,+0,-56840.4007171,-61211.6130262,+0,+0,+0,+0,-43724.6052729,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56848.2654654,-56852.4065412,+0,+0,+0,-56851.3718809,-61223.427859,+0,+0,+0,+0,-43730.4008729,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56926.9676136,+0,+0,+0,-56925.9302866,-61303.7197151,+0,+0,+0,+0,-43785.1948357,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56983.6940281,+0,+0,+0,+0,-61364.8061401,+0,+0,+0,+0,-43826.0767447,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,-48346.2034394,-17584.7139874,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,-48374.5363233,-17595.0201373,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,-48380.9447209,-17597.3512061,+0,+0,+0,+0,+0,+0,+0,-30791.0759411,+0,+0,-57176.8220533,+0,+0
2010-08-16 00:11:00 UTC,+0,-39407.6984542,+0,+0,+0,-48398.1415569,-17603.6065935,+0,+0,+0,+0,+0,+0,+0,-30802.0208,+0,+0,-57197.1456519,+0,+0
2010-08-16 00:11:30 UTC,+0,-39425.157749,+0,-30789.4837869,+0,-48377.4865717,+0,+0,+0,+0,+0,+0,+0,+0,-30788.8750157,+0,+0,-57172.7351364,+0,+0
2010-08-16 00:12:00 UTC,+0,-39421.4892715,+0,-30804.1676027,+0,-48400.5572506,+0,+0,+0,+0,+0,+0,+0,+0,-30803.5582584,+0,+0,-57200.000572,+0,+0
