# file...... Output/Qh/house_Qh_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:Qh,house_3_1C_tm_3_C_1_Meter_104_1182:Qh,house_3_2C_tm_3_C_2_Meter_104_1183:Qh,house_3_3C_tm_3_C_3_Meter_104_1184:Qh,house_3_4C_tm_3_C_4_Meter_104_1185:Qh,house_3_5C_tm_3_C_5_Meter_104_1186:Qh,house_3_6C_tm_3_C_6_Meter_104_1187:Qh,house_3_7C_tm_3_C_7_Meter_104_1188:Qh,house_3_8C_tm_3_C_8_Meter_104_1189:Qh,house_3_9C_tm_3_C_9_Meter_104_1190:Qh,house_3_10C_tm_3_C_10_Meter_104_1191:Qh,house_3_11C_tm_3_C_11_Meter_104_1192:Qh,house_3_12C_tm_3_C_12_Meter_104_1193:Qh,house_3_13C_tm_3_C_13_Meter_104_1194:Qh,house_3_14C_tm_3_C_14_Meter_104_1195:Qh,house_3_15C_tm_3_C_15_Meter_104_1196:Qh,house_3_1B_tm_3_B_1_Meter_106_1197:Qh,house_3_2B_tm_3_B_2_Meter_106_1198:Qh,house_3_3B_tm_3_B_3_Meter_106_1199:Qh,house_3_4B_tm_3_B_4_Meter_106_1200:Qh
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,-56728.5469957,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,-21810.0943125,+0,+0,-26160.6175204,+0,-56672.6969175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,-21786.6896043,+0,+0,-26131.6287862,+0,-56609.9007004,-17421.7076885,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,-21774.7025447,+0,+0,-26117.255797,+0,-56578.7655257,-17412.1252858,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,-21754.4818115,+0,+0,-26093.3271198,+0,-56526.9305529,-17396.1721517,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21823.1747608,+0,+0
2010-08-16 00:03:30 UTC,-21805.956035,+0,+0,-26155.2948437,+0,-56661.8737734,-17437.4857351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21817.2015964,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,-56603.3745799,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21824.4071032,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,-56648.8781656,+0,+0,+0,+0,+0,-61021.0984486,+0,+0,+0,+0,+0,-21834.011189,+0,+0
