# file...... Output/hvac/house_hvac_file_004.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_15C_tm_0_C_15_Meter_6_61:hvac_load,house_0_1A_tm_0_A_1_Meter_7_62:hvac_load,house_0_2A_tm_0_A_2_Meter_7_63:hvac_load,house_0_3A_tm_0_A_3_Meter_7_64:hvac_load,house_0_4A_tm_0_A_4_Meter_7_65:hvac_load,house_0_5A_tm_0_A_5_Meter_7_66:hvac_load,house_0_6A_tm_0_A_6_Meter_7_67:hvac_load,house_0_7A_tm_0_A_7_Meter_7_68:hvac_load,house_0_8A_tm_0_A_8_Meter_7_69:hvac_load,house_0_1A_tm_0_A_1_Meter_9_70:hvac_load,house_0_2A_tm_0_A_2_Meter_9_71:hvac_load,house_0_3A_tm_0_A_3_Meter_9_72:hvac_load,house_0_4A_tm_0_A_4_Meter_9_73:hvac_load,house_0_5A_tm_0_A_5_Meter_9_74:hvac_load,house_0_6A_tm_0_A_6_Meter_9_75:hvac_load,house_0_7A_tm_0_A_7_Meter_9_76:hvac_load,house_0_8A_tm_0_A_8_Meter_9_77:hvac_load,house_0_9A_tm_0_A_9_Meter_9_78:hvac_load,house_0_10A_tm_0_A_10_Meter_9_79:hvac_load,house_0_11A_tm_0_A_11_Meter_9_80:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58160802215,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58028222802,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.88143674591,+0,+0,+2.58336935462,+0,+0,+0,+0,+0,+4.7354924319,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.88830568061,+0,+0,+2.5878391606,+0,+0,+0,+0,+0,+4.74368553686,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.88635591917,+0,+0,+2.5861816376,+0,+0,+0,+0,+0,+4.74064731542,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.89461864202,+0,+0,+2.59138211218,+0,+0,+0,+0,+0,+4.75017972858,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.89355883397,+0,+0,+2.59048480492,+0,+0,+0,+0,+0,+4.74853497406,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.18885835404,+3.89214896918,+0,+0,+0,+0,+0,+0,+0,+0,+4.74675652431,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.18976422093,+3.89282848114,+0,+0,+0,+0,+0,+0,+0,+0,+4.74781486776,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.19118471093,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74921143685,+2.15910478309,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.19070042741,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7488485908,+2.15893981675,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.19276673939,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75125771791,+2.16003511561,+0
2010-08-16 00:06:00 UTC,+0,+5.19349972657,+0,+0,+0,+0,+0,+5.19324941233,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16047298931,+0
2010-08-16 00:06:30 UTC,+0,+5.19486238791,+0,+0,+0,+0,+0,+5.19461198679,+0,+0,+0,+0,+0,+0,+0,+0,+2.59346501796,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+5.1971213468,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59470515693,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+5.19828791821,+6.4981491593,+0,+0,+0,+0,+0,+0,+5.62268324215,+0,+0,+0,+0,+0,+0,+2.59551305707,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+5.19838724287,+6.49827332204,+0,+0,+0,+0,+0,+0,+5.62282202416,+0,+0,+0,+0,+0,+0,+2.5955771236,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+5.19861307849,+6.4985556323,+0,+0,+0,+0,+0,+0,+5.62314275783,+0,+0,+0,+0,+0,+0,+2.59574319925,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+5.19868729674,+6.4987062947,+0,+0,+0,+0,+0,+0,+5.62308225058,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+5.19877347662,+6.49881402746,+0,+0,+0,+0,+0,+0,+5.62335741462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+5.199970716,+6.50031068657,+0,+0,+0,+0,+0,+0,+5.62506150242,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+6.50083617423,+0,+0,+0,+0,+0,+0,+5.62536188954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90098485063,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+1.29989379148,+0,+0,+0,+0,+0,+0,+0,+3.90196529592,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+1.29981194834,+0,+0,+0,+0,+0,+0,+0,+3.90348569833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+1.29971702895,+0,+0,+0,+0,+0,+0,+0,+3.90379329638,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+1.29982202509,+0,+0,+0,+0,+0,+0,+0,+3.90446119059,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90435627264,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16714870261,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90360305811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16634180432,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76457287405,+2.16607717896,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7635208666,+2.16559889366,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76328091541,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76274678159,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59829265677,+0,+0,+0,+0,+0,+4.76287337514,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59828643153,+0,+0,+0,+0,+0,+4.76286196419,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+3.90307521976,+0,+0,+0,+0,+2.59816526228,+0,+0,+0,+0,+0,+4.76263985975,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+3.901849614,+5.20159124048,+0,+0,+0,+2.59775480727,+0,+0,+0,+0,+0,+4.76188749165,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+3.90206256775,+5.20187511904,+0,+0,+0,+2.59794760455,+0,+0,+0,+0,+0,+4.76224089099,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+3.90233246637,+5.20223490813,+0,+0,+0,+2.59827734346,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+3.90207764482,+5.20189521758,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+3.90127904168,+5.20083063762,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+3.9004703634,+5.19975262698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+3.90164220691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90232446166,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90228590867,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+2.60204403346,+0,+0,+3.90278733497,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+1.29883186872,+0,+6.5034923727,+0,+0,+2.60167499746,+0,+0,+3.9022338309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+1.29889148241,+0,+6.50189691487,+0,+0,+2.60103673018,+0,+0,+3.90127651632,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16470881771,+0
2010-08-16 00:27:30 UTC,+1.29901911669,+0,+6.50155881555,+0,+0,+2.60090147261,+0,+0,+3.90107364828,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16457496476,+0
2010-08-16 00:28:00 UTC,+1.29913645129,+0,+6.5019121541,+0,+0,+2.60104282667,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16473314901,+0
2010-08-16 00:28:30 UTC,+0,+0,+6.50148066199,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16449461806,+0
2010-08-16 00:29:00 UTC,+0,+0,+6.50223482555,+0,+0,+0,+0,+0,+0,+5.62732131868,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+6.50151453773,+0,+0,+0,+0,+0,+0,+5.62637468124,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62588103041,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62494069755,+0,+0,+0,+0,+0,+0,+2.59654340944,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62588469569,+0,+0,+0,+0,+0,+0,+2.59697918738,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62652323544,+0,+0,+0,+0,+0,+0,+2.59727395652,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62713256157,+0,+0,+0,+0,+0,+0,+2.59755523979,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+5.1991311876,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.5959799351,+4.75859352818,+0,+0
2010-08-16 00:33:00 UTC,+0,+5.199677169,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75926243557,+0,+0
2010-08-16 00:33:30 UTC,+0,+5.19989769629,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75969708627,+0,+0
2010-08-16 00:34:00 UTC,+0,+5.20049266953,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76032185251,+0,+0
2010-08-16 00:34:30 UTC,+0,+5.19990933539,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75959735852,+0,+0
2010-08-16 00:35:00 UTC,+0,+5.20015915682,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75968177658,+0,+0
2010-08-16 00:35:30 UTC,+0,+5.19956822724,+0,+0,+0,+0,+0,+5.1993269028,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75931182431,+0,+0
2010-08-16 00:36:00 UTC,+0,+5.19979425675,+0,+0,+0,+0,+0,+5.19955291871,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75949312915,+0,+0
2010-08-16 00:36:30 UTC,+0,+5.19997860637,+0,+0,+0,+0,+0,+5.19973725724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.20048087782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.2005650843,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.20165978607,+3.90173543773,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16491319369,+0
2010-08-16 00:38:30 UTC,+1.29932038071,+0,+0,+0,+0,+0,+0,+0,+3.90170189331,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16475683224,+0
2010-08-16 00:39:00 UTC,+1.29918655741,+0,+0,+0,+0,+0,+0,+0,+3.90170145148,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16475438403,+0
2010-08-16 00:39:30 UTC,+1.29888888815,+0,+0,+0,+0,+0,+0,+0,+3.90190305424,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16483845461,+0
2010-08-16 00:40:00 UTC,+1.29897413156,+0,+0,+0,+0,+0,+0,+0,+3.90127944175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.90124624383,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59710875524,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59641329322,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.597545077,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59740056333,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+6.50038244697,+0,+0,+0,+0,+0,+0,+0,+0,+2.59648588616,+4.75999380458,+3.89448977865,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+6.49995656487,+0,+0,+0,+0,+0,+0,+0,+0,+2.59628123569,+4.75961863599,+3.8941828261,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+6.49911688317,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75894957505,+3.89363541896,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+6.49988225325,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.75981561324,+3.89434398743,+0,+0,+0,+0,+0,+0
