# file...... Output/hvac/house_hvac_file_007.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_6C_tm_0_C_6_Meter_16_121:hvac_load,house_0_7C_tm_0_C_7_Meter_16_122:hvac_load,house_0_8C_tm_0_C_8_Meter_16_123:hvac_load,house_0_9C_tm_0_C_9_Meter_16_124:hvac_load,house_0_10C_tm_0_C_10_Meter_16_125:hvac_load,house_0_11C_tm_0_C_11_Meter_16_126:hvac_load,house_0_12C_tm_0_C_12_Meter_16_127:hvac_load,house_0_13C_tm_0_C_13_Meter_16_128:hvac_load,house_0_14C_tm_0_C_14_Meter_16_129:hvac_load,house_0_15C_tm_0_C_15_Meter_16_130:hvac_load,house_0_1C_tm_0_C_1_Meter_17_131:hvac_load,house_0_2C_tm_0_C_2_Meter_17_132:hvac_load,house_0_3C_tm_0_C_3_Meter_17_133:hvac_load,house_0_4C_tm_0_C_4_Meter_17_134:hvac_load,house_0_5C_tm_0_C_5_Meter_17_135:hvac_load,house_0_6C_tm_0_C_6_Meter_17_136:hvac_load,house_0_7C_tm_0_C_7_Meter_17_137:hvac_load,house_0_8C_tm_0_C_8_Meter_17_138:hvac_load,house_0_1A_tm_0_A_1_Meter_19_139:hvac_load,house_0_2A_tm_0_A_2_Meter_19_140:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+4.73783646732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00887156666
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+4.73472385633,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00562527873
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+4.73374141808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01032454699
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+4.73207512324,+0,+0,+0,+0,+3.87242633838,+0,+0,+0,+0,+0,+0,+0,+3.00807256616
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+4.73180531141,+0,+0,+0,+0,+3.87216406134,+0,+0,+0,+0,+0,+0,+0,+3.00557927355
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+6.01787556076,+4.72836748201,+0,+0,+0,+0,+3.86963773282,+0,+0,+0,+0,+0,+0,+0,+3.00622614629
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+6.02794045179,+4.73627572887,+0,+0,+0,+0,+3.87611220063,+0,+0,+0,+0,+0,+0,+0,+3.00810947057
