# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1728496627,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31283375193,+0,+0,+0,+5.17462476461,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+3.86786054463,+0,+0,+0,+0,+0,+0,+0,+0,+4.31079662687,+0,+0,+0,+5.17218071132,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+2.14648859535,+3.863458631,+3.86318146076,+0,+0,+0,+0,+0,+0,+0,+4.31196093778,+0,+0,+0,+5.17357760045,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+2.14986721472,+3.86953976254,+3.86926194223,+0,+0,+0,+0,+0,+0,+0,+4.31151232207,+0,+0,+0,+5.17303937099,+4.74283401509,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+2.14821806383,+3.86657147805,+3.86629397496,+0,+0,+0,+0,+0,+0,+0,+4.30939754453,+0,+0,+0,+5.17050215368,+4.74050764164,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+2.14629757606,+3.86311481795,+3.86288072393,+0,+6.00855312677,+0,+0,+0,+0,+0,+4.310120796,+0,+0,+0,+5.17136987905,+4.74130325867,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+3.86410165026,+3.86386747299,+0,+6.01008794557,+0,+0,+0,+0,+0,+4.31074460539,+0,+0,+0,+5.1721182982,+4.74198948385,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+3.86646261812,+0,+6.01412451149,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74453434417,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+3.86599234416,+0,+6.01339303337,+0,+0,+0,+0,+0,+0,+0,+4.31218294858,+0,+0,+4.7439212136,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+3.86879641956,+3.8692118393,+6.01775457571,+0,+0,+0,+0,+0,+0,+0,+4.31354693643,+0,+0,+4.74542181034,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+3.8703249355,+6.01948568204,+0,+0,+0,+0,+0,+0,+0,+4.31120131316,+0,+0,+4.74284126342,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+3.8728187487,+6.02336410335,+0,+0,+0,+0,+0,+0,+0,+4.31112948298,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+3.87520054084,+6.0270683078,+0,+0,+0,+0,+0,+0,+0,+4.31079092003,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+3.87884088385,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+3.87981865772,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+3.88070065778,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
