# file...... Output/hvac/house_hvac_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:hvac_load,house_1_14C_tm_1_C_14_Meter_30_242:hvac_load,house_1_15C_tm_1_C_15_Meter_30_243:hvac_load,house_1_1C_tm_1_C_1_Meter_31_244:hvac_load,house_1_2C_tm_1_C_2_Meter_31_245:hvac_load,house_1_3C_tm_1_C_3_Meter_31_246:hvac_load,house_1_4C_tm_1_C_4_Meter_31_247:hvac_load,house_1_5C_tm_1_C_5_Meter_31_248:hvac_load,house_1_6C_tm_1_C_6_Meter_31_249:hvac_load,house_1_7C_tm_1_C_7_Meter_31_250:hvac_load,house_1_8C_tm_1_C_8_Meter_31_251:hvac_load,house_1_1C_tm_1_C_1_Meter_32_252:hvac_load,house_1_2C_tm_1_C_2_Meter_32_253:hvac_load,house_1_3C_tm_1_C_3_Meter_32_254:hvac_load,house_1_4C_tm_1_C_4_Meter_32_255:hvac_load,house_1_5C_tm_1_C_5_Meter_32_256:hvac_load,house_1_6C_tm_1_C_6_Meter_32_257:hvac_load,house_1_7C_tm_1_C_7_Meter_32_258:hvac_load,house_1_8C_tm_1_C_8_Meter_32_259:hvac_load,house_1_1A_tm_1_A_1_Meter_33_260:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+5.58010997316,+0,+0,+0,+0,+3.86290829713,+3.00471014641,+0,+0,+5.57937278947,+0,+0,+0,+2.14625970149,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+5.59087191022,+0,+0,+0,+0,+3.87026248522,+3.01043065824,+0,+0,+5.58999458007,+0,+0,+0,+2.1502236687,+0,+0,+0,+4.30020356238,+0,+0
2010-08-16 00:01:30 UTC,+5.58661645897,+0,+0,+2.14888386185,+0,+3.86747951542,+3.00826590384,+0,+0,+5.58597508495,+0,+0,+0,+2.14870456951,+0,+0,+0,+4.29716557989,+0,+0
2010-08-16 00:02:00 UTC,+5.57962894225,+0,+0,+2.15166804265,+0,+3.87249017314,+3.01216348234,+0,+0,+5.59321207126,+0,+2.58174199555,+0,+2.1514150242,+0,+0,+0,+4.30258610409,+0,+0
2010-08-16 00:02:30 UTC,+5.57849623451,+0,+0,+2.15125119722,+0,+3.87173998126,+3.01157993985,+0,+0,+5.59212855514,+0,+2.58124185416,+0,+2.15099824973,+0,+0,+0,+4.30175261438,+0,+0
2010-08-16 00:03:00 UTC,+5.57630960765,+4.28996199941,+0,+2.15064799584,+0,+3.87065440675,+0,+0,+0,+5.59056063966,+0,+2.58054595853,+0,+0,+0,+0,+0,+4.30059289863,+0,+0
2010-08-16 00:03:30 UTC,+5.57551978631,+4.289354355,+0,+2.15045792724,+0,+0,+0,+0,+0,+5.5900665899,+0,+2.58025941176,+0,+0,+0,+0,+0,+4.30011536611,+0,+5.58831880088
2010-08-16 00:04:00 UTC,+5.5718055888,+4.28649685894,+0,+0,+5.5859636045,+0,+0,+0,+0,+5.58602766001,+0,+2.57844705545,+0,+0,+0,+0,+0,+4.29709505956,+0,+5.59000764502
2010-08-16 00:04:30 UTC,+5.58033833435,+4.29306147657,+0,+0,+5.59475536605,+0,+0,+0,+0,+5.59481953533,+0,+0,+0,+0,+0,+0,+0,+4.30400508628,+0,+5.59419502012
