# file...... Output/hvac/house_hvac_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:hvac_load,house_1_3A_tm_1_A_3_Meter_33_262:hvac_load,house_1_4A_tm_1_A_4_Meter_33_263:hvac_load,house_1_5A_tm_1_A_5_Meter_33_264:hvac_load,house_1_6A_tm_1_A_6_Meter_33_265:hvac_load,house_1_7A_tm_1_A_7_Meter_33_266:hvac_load,house_1_8A_tm_1_A_8_Meter_33_267:hvac_load,house_1_9A_tm_1_A_9_Meter_33_268:hvac_load,house_1_10A_tm_1_A_10_Meter_33_269:hvac_load,house_1_11A_tm_1_A_11_Meter_33_270:hvac_load,house_1_12A_tm_1_A_12_Meter_33_271:hvac_load,house_1_13A_tm_1_A_13_Meter_33_272:hvac_load,house_1_14A_tm_1_A_14_Meter_33_273:hvac_load,house_1_15A_tm_1_A_15_Meter_33_274:hvac_load,house_0_1C_tm_0_C_1_Meter_34_275:hvac_load,house_0_2C_tm_0_C_2_Meter_34_276:hvac_load,house_0_3C_tm_0_C_3_Meter_34_277:hvac_load,house_0_4C_tm_0_C_4_Meter_34_278:hvac_load,house_0_5C_tm_0_C_5_Meter_34_279:hvac_load,house_0_6C_tm_0_C_6_Meter_34_280:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.29184901655,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.28963733348,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+4.71814107857,+3.00305303659,+0,+0,+0,+0,+0,+0,+4.71821075709,+4.2897459837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+4.72513137576,+3.00750255886,+0,+0,+0,+0,+0,+0,+4.72520122706,+4.29610183932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+4.73226434857,+3.01204289763,+0,+0,+0,+0,+0,+0,+4.73233437593,+4.30258742065,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+4.738804196,+3.01620569482,+0,+0,+0,+4.30869231397,+0,+0,+4.73887438457,+4.30853370833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+4.7348735689,+3.01370373997,+0,+0,+0,+4.30511826064,+0,+0,+4.73494366061,+4.30495982693,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+4.72883320271,+3.00985887641,+0,+0,+0,+4.29962585643,+4.29928748685,+0,+4.72890314541,+4.29946768705,+0,+0,+3.43940739584,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+4.73026232629,+0,+0,+0,+0,+4.30092533472,+4.30058683029,+0,+4.73033230426,+4.30076710278,+0,+0,+3.44044685403,+0,+0,+6.02020443297,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+4.73380574175,+0,+0,+0,+0,+4.30414730325,+4.30380846453,+0,+4.73387580712,+0,+0,+0,+3.4430241204,+0,+0,+6.03016817325,+0,+0,+0,+0
