# file...... Output/hvac/house_hvac_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:hvac_load,house_0_8C_tm_0_C_8_Meter_34_282:hvac_load,house_0_9C_tm_0_C_9_Meter_34_283:hvac_load,house_0_10C_tm_0_C_10_Meter_34_284:hvac_load,house_0_11C_tm_0_C_11_Meter_34_285:hvac_load,house_0_12C_tm_0_C_12_Meter_34_286:hvac_load,house_0_13C_tm_0_C_13_Meter_34_287:hvac_load,house_0_14C_tm_0_C_14_Meter_34_288:hvac_load,house_0_15C_tm_0_C_15_Meter_34_289:hvac_load,house_2_1A_tm_2_A_1_Meter_35_290:hvac_load,house_2_2A_tm_2_A_2_Meter_35_291:hvac_load,house_2_3A_tm_2_A_3_Meter_35_292:hvac_load,house_2_4A_tm_2_A_4_Meter_35_293:hvac_load,house_2_5A_tm_2_A_5_Meter_35_294:hvac_load,house_2_6A_tm_2_A_6_Meter_35_295:hvac_load,house_2_7A_tm_2_A_7_Meter_35_296:hvac_load,house_2_8A_tm_2_A_8_Meter_35_297:hvac_load,house_2_9A_tm_2_A_9_Meter_35_298:hvac_load,house_2_10A_tm_2_A_10_Meter_35_299:hvac_load,house_2_11A_tm_2_A_11_Meter_35_300:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29076812093,+0,+0,+5.1463915031,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29352698033,+0,+0,+5.14756043442,+0,+0,+0,+0,+0,+0,+5.14802186262,+4.28958739219,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29281370669,+0,+0,+5.15504435591,+0,+0,+0,+0,+0,+0,+5.15550665879,+4.29582389212,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29196342183,+0,+0,+5.14897297525,+3.4331720493,+0,+0,+0,+0,+0,+5.14943456856,+4.29076449042,+0
2010-08-16 00:02:30 UTC,+5.59601681745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.15702733359,+3.43854269006,+0,+0,+0,+0,+0,+5.15748986815,+4.29747634669,+0
2010-08-16 00:03:00 UTC,+5.59409926855,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.15304211046,+3.43588534602,+0,+0,+0,+0,+0,+5.15350417937,+4.29415538134,+0
2010-08-16 00:03:30 UTC,+5.59371800837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14884159913,+3.4330844478,+0,+0,+0,+0,+0,+5.1493031771,+4.29065501211,+0
2010-08-16 00:04:00 UTC,+5.59004556543,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14998907541,+3.43386731442,+0,+0,+0,+0,+0,+5.15045078749,+4.29161122679,+2.57540082956
2010-08-16 00:04:30 UTC,+5.59929731358,+0,+4.73803406044,+0,+0,+0,+0,+0,+0,+0,+0,+3.43603385904,+0,+0,+0,+0,+0,+5.1537003035,+4.2943686891,+2.57702573308
