# file...... Output/hvac/house_hvac_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:hvac_load,house_2_3B_tm_2_B_3_Meter_38_322:hvac_load,house_2_4B_tm_2_B_4_Meter_38_323:hvac_load,house_2_5B_tm_2_B_5_Meter_38_324:hvac_load,house_2_6B_tm_2_B_6_Meter_38_325:hvac_load,house_2_7B_tm_2_B_7_Meter_38_326:hvac_load,house_2_8B_tm_2_B_8_Meter_38_327:hvac_load,house_2_1B_tm_2_B_1_Meter_39_328:hvac_load,house_2_2B_tm_2_B_2_Meter_39_329:hvac_load,house_2_3B_tm_2_B_3_Meter_39_330:hvac_load,house_2_4B_tm_2_B_4_Meter_39_331:hvac_load,house_2_5B_tm_2_B_5_Meter_39_332:hvac_load,house_2_6B_tm_2_B_6_Meter_39_333:hvac_load,house_2_7B_tm_2_B_7_Meter_39_334:hvac_load,house_2_8B_tm_2_B_8_Meter_39_335:hvac_load,house_2_1C_tm_2_C_1_Meter_41_336:hvac_load,house_2_2C_tm_2_C_2_Meter_41_337:hvac_load,house_2_3C_tm_2_C_3_Meter_41_338:hvac_load,house_2_4C_tm_2_C_4_Meter_41_339:hvac_load,house_2_5C_tm_2_C_5_Meter_41_340:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60239146084,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6044561147,+0,+2.15592306999,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+5.17128237281,+0,+0,+5.60077120818,+0,+2.15450549419,+0,+0,+0,+0,+0,+5.5909699253,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+5.17310231832,+0,+0,+5.60273624584,+0,+2.15526144007,+0,+0,+0,+0,+0,+5.58502302899,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+5.1728531041,+0,+0,+5.60246637173,+0,+2.15515762007,+0,+0,+0,+0,+0,+5.58429294954,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+5.16974734023,+0,+0,+5.59910314009,+0,+2.15386379192,+0,+0,+0,+0,+0,+5.58247908697,+0,+0
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+5.17053336655,+0,+0,+5.59995432794,+0,+2.1541912421,+0,+0,+0,+0,+0,+5.58170948618,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+5.17136227402,+0,+0,+5.60101875562,+0,+0,+0,+0,+0,+0,+0,+5.57829300127,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+5.17337591053,+0,+0,+5.60319943034,+0,+0,+0,+0,+0,+0,+0,+5.58645834077,+0,+0
