# file...... Output/hvac/house_hvac_file_018.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_6C_tm_2_C_6_Meter_41_341:hvac_load,house_2_7C_tm_2_C_7_Meter_41_342:hvac_load,house_2_8C_tm_2_C_8_Meter_41_343:hvac_load,house_2_1A_tm_2_A_1_Meter_42_344:hvac_load,house_2_2A_tm_2_A_2_Meter_42_345:hvac_load,house_2_3A_tm_2_A_3_Meter_42_346:hvac_load,house_2_4A_tm_2_A_4_Meter_42_347:hvac_load,house_2_5A_tm_2_A_5_Meter_42_348:hvac_load,house_2_6A_tm_2_A_6_Meter_42_349:hvac_load,house_2_7A_tm_2_A_7_Meter_42_350:hvac_load,house_2_8A_tm_2_A_8_Meter_42_351:hvac_load,house_2_1B_tm_2_B_1_Meter_43_352:hvac_load,house_2_2B_tm_2_B_2_Meter_43_353:hvac_load,house_2_3B_tm_2_B_3_Meter_43_354:hvac_load,house_2_4B_tm_2_B_4_Meter_43_355:hvac_load,house_2_5B_tm_2_B_5_Meter_43_356:hvac_load,house_2_6B_tm_2_B_6_Meter_43_357:hvac_load,house_2_7B_tm_2_B_7_Meter_43_358:hvac_load,house_2_8B_tm_2_B_8_Meter_43_359:hvac_load,house_2_9B_tm_2_B_9_Meter_43_360:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+4.71585318795,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+4.71635671215,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03552391463
2010-08-16 00:01:30 UTC,+0,+0,+0,+4.72290138827,+0,+0,+0,+0,+0,+0,+2.57628482529,+0,+0,+0,+0,+0,+0,+0,+0,+6.03140439911
2010-08-16 00:02:00 UTC,+0,+0,+0,+4.71658750045,+0,+0,+0,+0,+0,+4.71588589432,+2.57284059026,+0,+0,+0,+0,+0,+0,+0,+0,+6.03412209177
2010-08-16 00:02:30 UTC,+0,+0,+0,+4.7238716087,+0,+0,+0,+0,+0,+4.72316859027,+2.57681408193,+0,+0,+0,+0,+0,+0,+0,+0,+6.03344185869
2010-08-16 00:03:00 UTC,+0,+0,+0,+4.71985089619,+0,+0,+0,+0,+0,+4.71914865723,+2.57462077744,+0,+5.59736719375,+0,+0,+0,+0,+0,+0,+6.02861573966
2010-08-16 00:03:30 UTC,+0,+0,+0,+4.7158852123,+4.71583751912,+0,+0,+0,+0,+4.71518374237,+0,+0,+5.59760882065,+0,+0,+0,+3.01454416111,+0,+0,+6.02887599392
2010-08-16 00:04:00 UTC,+0,+0,+0,+4.7169631145,+4.71691541113,+0,+0,+0,+0,+4.71626143552,+0,+0,+5.59766896365,+0,+0,+0,+3.01457655213,+6.45833872556,+0,+6.02894077341
2010-08-16 00:04:30 UTC,+0,+0,+0,+4.72014931407,+4.72010158055,+0,+0,+0,+0,+4.71951296391,+0,+0,+5.59956046805,+0,+3.87694073777,+0,+3.01561545952,+6.46052103399,+0,+6.03097809649
