# file...... Output/hvac/house_hvac_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:hvac_load,house_2_8A_tm_2_A_8_Meter_46_382:hvac_load,house_2_1A_tm_2_A_1_Meter_47_383:hvac_load,house_2_2A_tm_2_A_2_Meter_47_384:hvac_load,house_2_3A_tm_2_A_3_Meter_47_385:hvac_load,house_2_4A_tm_2_A_4_Meter_47_386:hvac_load,house_2_5A_tm_2_A_5_Meter_47_387:hvac_load,house_2_6A_tm_2_A_6_Meter_47_388:hvac_load,house_2_7A_tm_2_A_7_Meter_47_389:hvac_load,house_2_8A_tm_2_A_8_Meter_47_390:hvac_load,house_2_9A_tm_2_A_9_Meter_47_391:hvac_load,house_2_10A_tm_2_A_10_Meter_47_392:hvac_load,house_2_11A_tm_2_A_11_Meter_47_393:hvac_load,house_2_12A_tm_2_A_12_Meter_47_394:hvac_load,house_2_13A_tm_2_A_13_Meter_47_395:hvac_load,house_2_14A_tm_2_A_14_Meter_47_396:hvac_load,house_2_15A_tm_2_A_15_Meter_47_397:hvac_load,house_2_1B_tm_2_B_1_Meter_47_398:hvac_load,house_2_2B_tm_2_B_2_Meter_47_399:hvac_load,house_2_3B_tm_2_B_3_Meter_47_400:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58686178309,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58478595649,+3.01555267828
2010-08-16 00:02:00 UTC,+0,+0,+5.99942148269,+0,+0,+0,+0,+0,+0,+2.14292389899,+0,+0,+0,+0,+0,+0,+0,+0,+2.58613077874,+3.01712161509
2010-08-16 00:02:30 UTC,+0,+0,+6.00858358866,+0,+0,+0,+0,+0,+0,+2.14619656667,+0,+0,+0,+0,+0,+0,+0,+0,+2.58572740322,+3.01665101706
2010-08-16 00:03:00 UTC,+0,+0,+6.00301986192,+0,+0,+0,+0,+0,+0,+2.1442092257,+0,+0,+2.14417906338,+0,+0,+0,+0,+0,+2.58370157789,+3.01428758804
2010-08-16 00:03:30 UTC,+0,+0,+5.99809937636,+0,+0,+0,+0,+0,+0,+2.14245164788,+0,+0,+2.14242151429,+0,+0,+0,+0,+0,+2.58413894443,+3.01479784169
2010-08-16 00:04:00 UTC,+0,+0,+5.99960784084,+0,+0,+0,+0,+0,+0,+2.14299046538,+0,+0,+2.14296032298,+0,+0,+0,+0,+0,+0,+3.01521184381
2010-08-16 00:04:30 UTC,+0,+2.14466029471,+6.00397450799,+0,+0,+0,+0,+0,+0,+2.14455022145,+0,+0,+2.14452005357,+0,+0,+0,+0,+0,+0,+0
