# file...... Output/hvac/house_hvac_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:hvac_load,house_2_5B_tm_2_B_5_Meter_47_402:hvac_load,house_2_6B_tm_2_B_6_Meter_47_403:hvac_load,house_2_7B_tm_2_B_7_Meter_47_404:hvac_load,house_2_8B_tm_2_B_8_Meter_47_405:hvac_load,house_2_9B_tm_2_B_9_Meter_47_406:hvac_load,house_2_10B_tm_2_B_10_Meter_47_407:hvac_load,house_2_11B_tm_2_B_11_Meter_47_408:hvac_load,house_2_12B_tm_2_B_12_Meter_47_409:hvac_load,house_2_13B_tm_2_B_13_Meter_47_410:hvac_load,house_2_14B_tm_2_B_14_Meter_47_411:hvac_load,house_2_15B_tm_2_B_15_Meter_47_412:hvac_load,house_2_1C_tm_2_C_1_Meter_47_413:hvac_load,house_2_2C_tm_2_C_2_Meter_47_414:hvac_load,house_2_3C_tm_2_C_3_Meter_47_415:hvac_load,house_2_4C_tm_2_C_4_Meter_47_416:hvac_load,house_2_5C_tm_2_C_5_Meter_47_417:hvac_load,house_2_6C_tm_2_C_6_Meter_47_418:hvac_load,house_2_7C_tm_2_C_7_Meter_47_419:hvac_load,house_2_8C_tm_2_C_8_Meter_47_420:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31158388407,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30924487407,+0,+2.15491881367,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+4.3111116447,+0,+0,+4.3119275826,+0,+0,+0,+0,+4.31102335874,+0,+2.15580821182,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+4.30765224114,+0,+0,+4.30767298937,+0,+0,+0,+0,+4.30756406023,+0,+2.15408935798,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+4.30989341236,+0,+0,+4.30995189951,+0,+0,+0,+0,+4.30980516339,+0,+2.15521011756,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+4.30922117957,+0,+0,+4.30927965515,+0,+0,+0,+0,+4.30913295102,+0,+2.154873949,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+4.30584510404,+0,+0,+4.30590352149,+0,+0,+0,+0,+4.30575697803,+0,+2.15318564916,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+4.3065739835,+0,+0,+4.30663241349,+0,+0,+0,+0,+4.30648583534,+0,+2.15355014547,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+4.30716537102,+0,+0,+4.3072238112,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+4.30905048305,+0,+0,+4.30910895569,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+4.30964782409,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+3.44607076733,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+3.44637163962,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+3.44601140703,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43961852015,+0,+0,+0,+1.71992666345,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+3.44721920452,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44186208887,+0,+0,+0,+1.72105900605,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+3.44753052015,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44262157845,+3.44248097218,+0,+0,+5.16289156435,+1.72135458928,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+3.44807021078,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44433664112,+3.44419594869,+0,+0,+5.16546349233,+1.7222121487,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+3.44957202629,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44680116053,+3.44666034432,+0,+0,+5.16915931461,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44856982288,+3.44842891785,+0,+0,+5.17181162159,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45063889497,+0,+0,+0,+5.17491442671,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45380244613,+0,+0,+0,+5.17965852589,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45431845617,+0,+0,+0,+5.18043234081,+0,+0
2010-08-16 00:12:00 UTC,+2.15516566548,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18180941723,+0,+0
2010-08-16 00:12:30 UTC,+2.155266714,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18056815078,+0,+0
2010-08-16 00:13:00 UTC,+2.15396945602,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04334171426,+0,+5.17983596903,+0,+0
2010-08-16 00:13:30 UTC,+2.15335215324,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04198995526,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+2.15382581085,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04049461491,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15306353512,+0,+0,+0,+6.04167154131,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15252921435,+0,+0,+0,+6.041625404,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15390381555,+0,+0,+0,+6.04133314511,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15413515204,+0,+0,+0,+6.04205493264,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+4.30820066295,+0,+0,+0,+0,+0,+0,+2.15433437843,+0,+0,+0,+6.04046320265,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+4.30833305337,+0,+0,+0,+0,+4.30822753737,+0,+2.15440058278,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+4.30969880076,+0,+0,+0,+0,+4.30959324598,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+4.30999703482,+0,+0,+0,+0,+4.30989147158,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+4.31240887121,+0,+0,+0,+0,+4.3123032395,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+4.31157612682,+0,+0,+0,+0,+4.31147051875,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+4.31280989009,+0,+0,+0,+0,+4.31270424698,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+4.31146574803,+0,+0,+0,+0,+4.31136014309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
