# file...... Output/hvac/house_hvac_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:hvac_load,house_2_10C_tm_2_C_10_Meter_47_422:hvac_load,house_2_11C_tm_2_C_11_Meter_47_423:hvac_load,house_2_12C_tm_2_C_12_Meter_47_424:hvac_load,house_2_13C_tm_2_C_13_Meter_47_425:hvac_load,house_2_14C_tm_2_C_14_Meter_47_426:hvac_load,house_2_15C_tm_2_C_15_Meter_47_427:hvac_load,house_2_1A_tm_2_A_1_Meter_48_428:hvac_load,house_2_2A_tm_2_A_2_Meter_48_429:hvac_load,house_2_3A_tm_2_A_3_Meter_48_430:hvac_load,house_2_4A_tm_2_A_4_Meter_48_431:hvac_load,house_2_5A_tm_2_A_5_Meter_48_432:hvac_load,house_2_6A_tm_2_A_6_Meter_48_433:hvac_load,house_2_7A_tm_2_A_7_Meter_48_434:hvac_load,house_2_8A_tm_2_A_8_Meter_48_435:hvac_load,house_2_9A_tm_2_A_9_Meter_48_436:hvac_load,house_2_10A_tm_2_A_10_Meter_48_437:hvac_load,house_2_11A_tm_2_A_11_Meter_48_438:hvac_load,house_2_12A_tm_2_A_12_Meter_48_439:hvac_load,house_2_13A_tm_2_A_13_Meter_48_440:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+5.15252563173,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+5.16322255786,+0,+0,+0,+0,+0,+3.85713921993,+0,+0,+0,+0,+0,+0,+2.9998463229,+0,+4.71360971002
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+5.16052805032,+0,+0,+0,+0,+0,+3.86231241117,+0,+0,+0,+0,+0,+0,+3.00386964708,+0,+4.71993134715
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+5.15458596206,+0,+0,+0,+0,+0,+3.85682048334,+0,+0,+0,+0,+3.42807922761,+0,+2.99959843324,+0,+4.7132202141
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+5.15413071348,+0,+0,+0,+0,+0,+3.86272550493,+0,+0,+0,+0,+3.43332768214,+0,+3.00419092075,+0,+4.72043614753
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+5.15243616976,+0,+0,+0,+0,+0,+3.85901970885,+0,+4.7162561042,+0,+0,+3.43003392577,+0,+3.00130882759,+0,+4.71590766649
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+5.1515742168,+0,+0,+0,+0,+0,+3.8558090553,+0,+4.71233230977,+0,+0,+3.4271802582,+0,+2.99881181961,+0,+4.7119842496
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+5.14846113376,+0,+0,+0,+0,+0,+0,+0,+4.71362600089,+0,+0,+3.42815308179,+0,+0,+0,+4.71327781623
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+5.15550979006,+0,+0,+0,+0,+0,+0,+0,+4.71712903529,+0,+0,+3.43070079054,+0,+0,+0,+4.71678051362
