# file...... Output/hvac/house_hvac_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:hvac_load,house_2_15A_tm_2_A_15_Meter_48_442:hvac_load,house_2_16A_tm_2_A_16_Meter_48_443:hvac_load,house_2_17A_tm_2_A_17_Meter_48_444:hvac_load,house_2_18A_tm_2_A_18_Meter_48_445:hvac_load,house_2_19A_tm_2_A_19_Meter_48_446:hvac_load,house_2_20A_tm_2_A_20_Meter_48_447:hvac_load,house_2_21A_tm_2_A_21_Meter_48_448:hvac_load,house_2_22A_tm_2_A_22_Meter_48_449:hvac_load,house_2_23A_tm_2_A_23_Meter_48_450:hvac_load,house_2_24A_tm_2_A_24_Meter_48_451:hvac_load,house_2_25A_tm_2_A_25_Meter_48_452:hvac_load,house_2_26A_tm_2_A_26_Meter_48_453:hvac_load,house_2_27A_tm_2_A_27_Meter_48_454:hvac_load,house_2_28A_tm_2_A_28_Meter_48_455:hvac_load,house_2_29A_tm_2_A_29_Meter_48_456:hvac_load,house_2_1B_tm_2_B_1_Meter_48_457:hvac_load,house_2_2B_tm_2_B_2_Meter_48_458:hvac_load,house_2_3B_tm_2_B_3_Meter_48_459:hvac_load,house_2_4B_tm_2_B_4_Meter_48_460:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+4.71411980697,+0,+1.71444022104,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14248348068,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+4.71386221979,+0,+1.71434653806,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14220248874,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+4.72018428682,+0,+1.71664583757,+0,+0,+0,+0,+0,+5.14899228113,+0,+0,+0,+0,+0,+0,+5.14909898835,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+4.71347269737,+0,+1.71420487097,+0,+0,+2.99977380622,+0,+0,+5.14172384561,+0,+0,+0,+0,+0,+0,+5.14177757372,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+4.72068912153,+0,+0,+0,+0,+3.00436665678,+0,+0,+5.14959588409,+0,+0,+0,+0,+0,+0,+5.14964969309,+5.17106788536,+0,+0,+0
2010-08-16 00:03:00 UTC,+4.71616033255,+0,+0,+0,+5.5736532132,+3.00148433581,+0,+0,+5.14465565327,+0,+0,+0,+0,+2.14401595432,+0,+5.1447094115,+5.16687984123,+0,+0,+0
2010-08-16 00:03:30 UTC,+4.7122366488,+0,+0,+4.28386348522,+5.56901611454,+2.99898713037,+0,+0,+5.14037550164,+0,+0,+0,+0,+2.14223213661,+0,+5.14042921591,+5.1677741276,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+0,+0,+4.28503953558,+5.57054498498,+2.99981046925,+0,+0,+5.14178668518,+0,+0,+0,+0,+2.14282026863,+0,+5.14184041394,+5.16830761097,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+0,+0,+4.28822402442,+5.57472916812,+3.00203989198,+0,+0,+5.14560786357,+0,+0,+0,+0,+2.1444128023,+0,+5.14566163159,+5.17050218059,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+0,+4.28719137728,+5.57338670078,+3.00131694802,+0,+3.00135595389,+5.14436875453,+0,+5.14483594361,+0,+0,+0,+0,+5.14442250981,+5.17105172904,+3.44753550942,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+0,+4.29192381688,+5.57953899157,+0,+0,+3.00466912509,+0,+0,+5.15051517202,+0,+0,+0,+0,+0,+5.17220171218,+3.44830220691,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+4.29374419132,+5.58190552418,+0,+0,+3.00594356544,+0,+0,+5.15269973708,+0,+0,+0,+0,+0,+5.16979862624,+3.44670006171,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+4.29677432427,+0,+0,+0,+3.00806495513,+0,+0,+5.15633608918,+0,+0,+0,+0,+0,+0,+3.44602673312,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+4.29976188397,+0,+0,+0,+3.01015653928,+0,+0,+5.15992135061,+0,+0,+0,+0,+0,+0,+3.4463656469,+5.16924997232,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+4.30367051051,+0,+0,+0,+0,+0,+0,+5.16456437189,+0,+0,+0,+0,+0,+0,+3.44600007282,+5.16870164928,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16620264721,+0,+0,+0,+0,+0,+0,+0,+5.17065664446,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16819913601,+0,+0,+0,+0,+0,+0,+0,+5.17112237818,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16841366732,+0,+0,+0,+0,+0,+0,+0,+5.17190126464,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16877130371,+0,+0,+0,+0,+0,+0,+0,+5.17403590829,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17271907909,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17275249389,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+1.72468222437,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+1.72549721745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+0,+1.72700438711,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+0,+1.72717822153,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16015649576,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+4.75140945829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.16005001193,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+4.74869881857,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.1588176688,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+4.74741745232,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.1582351189,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+4.74644171069,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15779151567,+4.74640679899,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+4.74650087622,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74646596438,+5.17785105412,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+4.74505694594,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74502203756,+5.17627589913,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+4.74532715398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74525115886,+5.17652584363,+5.17187331012,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+5.60648208413,+0,+0,+0,+5.17491608353,+0,+0,+0,+0,+0,+4.74386564979,+5.17501441555,+5.17479568874,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+5.60512463923,+0,+0,+0,+5.1736631499,+0,+0,+0,+0,+0,+4.74271706812,+5.17376144752,+5.17367814568,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+5.60522925853,+3.01846476465,+0,+0,+5.17375971443,+0,+0,+0,+0,+0,+4.74280559018,+5.1738580147,+5.17512192092,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+5.6060943233,+3.01893061826,+0,+0,+5.17455817687,+0,+0,+0,+0,+0,+0,+5.17465649906,+5.17349783373,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+5.60610577045,+3.01893678274,+0,+0,+5.17456874272,+0,+0,+0,+0,+0,+0,+5.1746670652,+5.17335430545,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+5.60440010021,+3.01801824728,+0,+0,+5.17299439401,+0,+0,+0,+0,+0,+0,+5.17309267325,+5.17434964495,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+3.01627040174,+0,+0,+5.16999862697,+0,+0,+0,+0,+0,+0,+0,+5.17645734046,+3.45116145962,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+3.01521810259,+0,+0,+5.16819501048,+0,+0,+0,+0,+0,+0,+0,+0,+3.4526961349,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+3.01716141703,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45025743886,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44704111743,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+1.72426266078,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44924021231,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+1.72419901102,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44748931936,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+1.72424731326,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+1.72540071785,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.72605925577,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01967760262,+0,+0,+0,+1.72556616668,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01742422529,+0,+0,+0,+1.72427848994,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01747995685,+0,+0,+0,+1.72431033735,+0,+2.15541181055,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01728377402,+0,+0,+0,+0,+0,+2.15527167441,+0,+0,+0,+0,+5.16945861664,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1713722763,+0,+0,+2.15494666981,+0,+0,+0,+0,+5.16734977712,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17286043954,+0,+0,+2.15556681288,+0,+0,+0,+0,+5.16584228012,+0
