# file...... Output/hvac/house_hvac_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:hvac_load,house_2_26B_tm_2_B_26_Meter_48_482:hvac_load,house_2_27B_tm_2_B_27_Meter_48_483:hvac_load,house_2_28B_tm_2_B_28_Meter_48_484:hvac_load,house_2_29B_tm_2_B_29_Meter_48_485:hvac_load,house_2_1C_tm_2_C_1_Meter_48_486:hvac_load,house_2_2C_tm_2_C_2_Meter_48_487:hvac_load,house_2_3C_tm_2_C_3_Meter_48_488:hvac_load,house_2_4C_tm_2_C_4_Meter_48_489:hvac_load,house_2_5C_tm_2_C_5_Meter_48_490:hvac_load,house_2_6C_tm_2_C_6_Meter_48_491:hvac_load,house_2_7C_tm_2_C_7_Meter_48_492:hvac_load,house_2_8C_tm_2_C_8_Meter_48_493:hvac_load,house_2_9C_tm_2_C_9_Meter_48_494:hvac_load,house_2_10C_tm_2_C_10_Meter_48_495:hvac_load,house_2_11C_tm_2_C_11_Meter_48_496:hvac_load,house_2_12C_tm_2_C_12_Meter_48_497:hvac_load,house_2_13C_tm_2_C_13_Meter_48_498:hvac_load,house_2_14C_tm_2_C_14_Meter_48_499:hvac_load,house_2_15C_tm_2_C_15_Meter_48_500:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43510150457,+0,+5.15205145505,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44222141534,+0,+5.16269525316,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+5.16885281331,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44045193904,+0,+5.16004147216,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+5.17157322604,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43648674991,+0,+5.15409466028,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+5.17062797399,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43619826173,+0,+5.15366199874,+1.28868882405,+0,+0
2010-08-16 00:03:00 UTC,+0,+5.16644043079,+5.59737126165,+3.87526089909,+0,+0,+0,+0,+0,+0,+3.00576158235,+0,+4.72282974488,+0,+3.43503452769,+0,+5.15191668299,+1.28825237701,+0,+0
2010-08-16 00:03:30 UTC,+0,+5.16733461018,+5.59834004584,+3.87593162846,+0,+0,+0,+0,+0,+2.14655735327,+3.00523339134,+0,+4.72199985101,+0,+3.43443090676,+0,+5.1510113996,+1.28802599489,+0,+0
2010-08-16 00:04:00 UTC,+0,+5.16786802974,+5.59891797062,+3.87633174969,+0,+0,+0,+0,+0,+2.14526621612,+3.00342575137,+0,+4.71915968652,+0,+0,+0,+5.14791322787,+1.28725124228,+0,+0
2010-08-16 00:04:30 UTC,+0,+5.17006233686,+5.60129535714,+3.87797771271,+0,+0,+0,+0,+0,+2.14821574765,+3.00755520505,+0,+4.72564788554,+0,+0,+0,+5.15499083021,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+5.17061181961,+5.6018906853,+3.87838988302,+0,+0,+0,+0,+0,+2.14836035968,+3.00775766727,+0,+4.72596599426,+0,+0,+0,+5.15533783666,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+5.17176166523,+5.6031364669,+3.87925238916,+0,+0,+0,+0,+0,+0,+3.00624157094,+0,+4.72358390312,+0,+0,+0,+5.15273935074,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+5.16935886668,+5.60053319375,+3.87745003547,+0,+0,+0,+0,+0,+0,+3.00931315701,+0,+4.72840998043,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+5.16834904999,+5.59943912422,+3.87669256589,+0,+0,+0,+0,+0,+0,+3.01084183953,+0,+4.73081184716,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+5.59998981409,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73009172363,+0,+0,+0,+0,+0,+0,+0
