# file...... Output/hvac/house_hvac_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:hvac_load,house_2_13B_tm_2_B_13_Meter_49_542:hvac_load,house_2_14B_tm_2_B_14_Meter_49_543:hvac_load,house_2_15B_tm_2_B_15_Meter_49_544:hvac_load,house_2_16B_tm_2_B_16_Meter_49_545:hvac_load,house_2_17B_tm_2_B_17_Meter_49_546:hvac_load,house_2_18B_tm_2_B_18_Meter_49_547:hvac_load,house_2_19B_tm_2_B_19_Meter_49_548:hvac_load,house_2_20B_tm_2_B_20_Meter_49_549:hvac_load,house_2_21B_tm_2_B_21_Meter_49_550:hvac_load,house_2_22B_tm_2_B_22_Meter_49_551:hvac_load,house_2_23B_tm_2_B_23_Meter_49_552:hvac_load,house_2_24B_tm_2_B_24_Meter_49_553:hvac_load,house_2_25B_tm_2_B_25_Meter_49_554:hvac_load,house_2_26B_tm_2_B_26_Meter_49_555:hvac_load,house_2_27B_tm_2_B_27_Meter_49_556:hvac_load,house_2_28B_tm_2_B_28_Meter_49_557:hvac_load,house_2_29B_tm_2_B_29_Meter_49_558:hvac_load,house_2_1C_tm_2_C_1_Meter_49_559:hvac_load,house_2_2C_tm_2_C_2_Meter_49_560:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74213409132,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73961223449,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+2.58688253733,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74169203879,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+2.58479673015,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73786900977,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+2.58616553407,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7403542195,+0,+0,+4.2948441016,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+1.72383863156,+2.58575930534,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73960965947,+0,+0,+4.29451593398,+0
2010-08-16 00:03:00 UTC,+0,+4.30541552678,+0,+1.72240748,+2.58361256394,+0,+0,+0,+0,+0,+0,+0,+0,+5.16635133397,+0,+4.735674985,+0,+0,+4.29304730848,+0
2010-08-16 00:03:30 UTC,+0,+4.30621334982,+0,+1.72273509606,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16730869481,+0,+4.73655253057,+0,+0,+4.2922988812,+0
2010-08-16 00:04:00 UTC,+0,+4.30655864381,+0,+1.72287324044,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.167723036,+0,+0,+0,+0,+4.28975387709,+0
2010-08-16 00:04:30 UTC,+0,+4.30850317245,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17005640505,+0,+0,+0,+0,+4.2953885558,+0
