# file...... Output/hvac/house_hvac_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:hvac_load,house_2_9C_tm_2_C_9_Meter_50_582:hvac_load,house_2_10C_tm_2_C_10_Meter_50_583:hvac_load,house_2_11C_tm_2_C_11_Meter_50_584:hvac_load,house_2_12C_tm_2_C_12_Meter_50_585:hvac_load,house_2_13C_tm_2_C_13_Meter_50_586:hvac_load,house_2_14C_tm_2_C_14_Meter_50_587:hvac_load,house_2_15C_tm_2_C_15_Meter_50_588:hvac_load,house_2_1A_tm_2_A_1_Meter_51_589:hvac_load,house_2_2A_tm_2_A_2_Meter_51_590:hvac_load,house_2_3A_tm_2_A_3_Meter_51_591:hvac_load,house_2_4A_tm_2_A_4_Meter_51_592:hvac_load,house_2_5A_tm_2_A_5_Meter_51_593:hvac_load,house_2_6A_tm_2_A_6_Meter_51_594:hvac_load,house_2_7A_tm_2_A_7_Meter_51_595:hvac_load,house_2_8A_tm_2_A_8_Meter_51_596:hvac_load,house_0_1A_tm_0_A_1_Meter_52_597:hvac_load,house_0_2A_tm_0_A_2_Meter_52_598:hvac_load,house_0_3A_tm_0_A_3_Meter_52_599:hvac_load,house_0_4A_tm_0_A_4_Meter_52_600:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4283933994,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.42802410058,+5.14179651525,+0,+0,+0,+5.15306415603,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43270146391,+5.14881216136,+0,+0,+0,+5.16026277923,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.42787270837,+5.14156943985,+0,+0,+0,+5.15513039322,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.43307464955,+5.14937190799,+0,+0,+0,+5.16387838275,+5.16369736376
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.42993430418,+5.14466165773,+0,+0,+0,+5.16091040154,+5.1607295157
2010-08-16 00:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14071204646,+0,+0,+0,+5.15783661441,+5.15765586646
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14198625211,+0,+0,+0,+5.15994420737,+5.15976336487
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14585056197,+0,+0,+0,+5.16225072336,+5.1620697774
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1446744551,+0,+0,+0,+5.16083571505,+5.16065483256
2010-08-16 00:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.14989239087,+0,+0,+0,+5.16488102872,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30546059916,+5.16608241697,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30764120558,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.44801699305,+0,+0,+0,+0,+0,+4.31165345799,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+0,+0,+0,+4.29913463202,+0,+0,+0,+0,+6.45324258537,+5.16327298107,+0,+0,+0,+0,+4.31439069106,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+4.30206186799,+0,+0,+0,+0,+6.45502992909,+5.16470308721,+0,+0,+0,+0,+4.31417725144,+0,+0
2010-08-16 00:08:30 UTC,+0,+0,+0,+0,+0,+0,+4.30284449146,+0,+0,+0,+0,+6.45771736558,+5.16685338394,+0,+0,+0,+0,+4.31435449199,+0,+0
2010-08-16 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+4.30488710495,+0,+0,+0,+0,+6.45795553491,+5.16704395021,+0,+0,+0,+0,+4.31471764169,+0,+0
2010-08-16 00:09:30 UTC,+0,+0,+0,+0,+0,+0,+4.30782499637,+0,+0,+0,+0,+6.45832543886,+5.16733992118,+0,+0,+0,+0,+4.31489739609,+0,+0
2010-08-16 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+4.31018282888,+0,+0,+0,+0,+6.46135826272,+5.16976657244,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:10:30 UTC,+0,+0,+0,+0,+0,+0,+4.31277779709,+0,+0,+0,+0,+6.46238168894,+5.17058544576,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.46173979105,+5.17007184444,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:11:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17156571539,+3.44795237632,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44852165399,+0,+0,+0,+0,+0,+0
2010-08-16 00:12:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.7247146511,+0,+0,+3.44884302118,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.72536361238,+0,+0,+3.45039471041,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+5.61040470036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.72688330739,+0,+0,+3.45343374086,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+5.60907677008,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.72705051692,+0,+0,+3.45376812033,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+5.61013837735,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+5.61001863593,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+5.60971873663,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+5.61043570321,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+5.60876935513,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+5.60700608182,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
