# file...... Output/hvac/house_hvac_file_032.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_10A_tm_0_A_10_Meter_53_621:hvac_load,house_0_11A_tm_0_A_11_Meter_53_622:hvac_load,house_0_12A_tm_0_A_12_Meter_53_623:hvac_load,house_0_13A_tm_0_A_13_Meter_53_624:hvac_load,house_0_14A_tm_0_A_14_Meter_53_625:hvac_load,house_0_15A_tm_0_A_15_Meter_53_626:hvac_load,house_0_1A_tm_0_A_1_Meter_55_627:hvac_load,house_0_2A_tm_0_A_2_Meter_55_628:hvac_load,house_0_3A_tm_0_A_3_Meter_55_629:hvac_load,house_0_4A_tm_0_A_4_Meter_55_630:hvac_load,house_0_5A_tm_0_A_5_Meter_55_631:hvac_load,house_0_6A_tm_0_A_6_Meter_55_632:hvac_load,house_0_7A_tm_0_A_7_Meter_55_633:hvac_load,house_0_8A_tm_0_A_8_Meter_55_634:hvac_load,house_0_1B_tm_0_B_1_Meter_56_635:hvac_load,house_0_2B_tm_0_B_2_Meter_56_636:hvac_load,house_0_3B_tm_0_B_3_Meter_56_637:hvac_load,house_0_4B_tm_0_B_4_Meter_56_638:hvac_load,house_0_5B_tm_0_B_5_Meter_56_639:hvac_load,house_0_6B_tm_0_B_6_Meter_56_640:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.57452537598,+0,+0,+0,+0,+3.01828903695,+0,+0,+0,+4.31165799769
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.57791548992,+0,+0,+0,+0,+3.01696987746,+0,+0,+0,+4.30977358521
2010-08-16 00:02:00 UTC,+6.01052839616,+0,+0,+0,+0,+0,+0,+0,+0,+1.71669436455,+2.5750246675,+0,+0,+0,+0,+3.01680046894,+5.60132493128,+0,+0,+4.309531586
2010-08-16 00:02:30 UTC,+6.02076939313,+0,+0,+0,+0,+0,+0,+0,+0,+1.71958779327,+2.57936479081,+0,+0,+0,+0,+3.01663973122,+5.60102650763,+0,+0,+4.309301973
2010-08-16 00:03:00 UTC,+6.0171474758,+0,+0,+0,+0,+0,+0,+0,+0,+1.7186027921,+0,+0,+0,+0,+0,+3.0151685038,+5.59829504515,+0,+0,+4.30720033225
2010-08-16 00:03:30 UTC,+6.01353930097,+0,+0,+0,+0,+0,+0,+0,+0,+1.71755635459,+0,+0,+0,+0,+0,+3.01494212525,+5.59787475358,+0,+0,+4.30687695168
2010-08-16 00:04:00 UTC,+6.01616311797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44642427819,+3.01555176562,+5.59900660427,+0,+0,+4.30774781978
2010-08-16 00:04:30 UTC,+6.01907381514,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44794764472,+0,+5.60148125212,+0,+0,+4.30965186231
