# file...... Output/hvac/house_hvac_file_033.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7B_tm_0_B_7_Meter_56_641:hvac_load,house_0_8B_tm_0_B_8_Meter_56_642:hvac_load,house_0_1B_tm_0_B_1_Meter_58_643:hvac_load,house_0_2B_tm_0_B_2_Meter_58_644:hvac_load,house_0_3B_tm_0_B_3_Meter_58_645:hvac_load,house_0_4B_tm_0_B_4_Meter_58_646:hvac_load,house_0_5B_tm_0_B_5_Meter_58_647:hvac_load,house_0_6B_tm_0_B_6_Meter_58_648:hvac_load,house_0_7B_tm_0_B_7_Meter_58_649:hvac_load,house_0_8B_tm_0_B_8_Meter_58_650:hvac_load,house_0_1B_tm_0_B_1_Meter_59_651:hvac_load,house_0_2B_tm_0_B_2_Meter_59_652:hvac_load,house_0_3B_tm_0_B_3_Meter_59_653:hvac_load,house_0_4B_tm_0_B_4_Meter_59_654:hvac_load,house_0_5B_tm_0_B_5_Meter_59_655:hvac_load,house_0_6B_tm_0_B_6_Meter_59_656:hvac_load,house_0_7B_tm_0_B_7_Meter_59_657:hvac_load,house_0_8B_tm_0_B_8_Meter_59_658:hvac_load,house_3_1A_tm_3_A_1_Meter_60_659:hvac_load,house_3_2A_tm_3_A_2_Meter_60_660:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+5.60352304282,+0,+0,+0,+0,+0,+2.15423142293,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+5.60486326235,+0,+0,+0,+0,+0,+2.15490559504,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+5.60241367948,+0,+0,+0,+3.01504731214,+0,+2.15367132445,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+5.60209910019,+0,+0,+0,+3.01484200635,+0,+2.15352467153,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.70754723488
2010-08-16 00:02:30 UTC,+0,+5.60180062197,+0,+0,+0,+3.01449846163,+0,+2.15327927252,+0,+0,+0,+0,+0,+3.0140723912,+0,+0,+0,+0,+0,+4.71491135057
2010-08-16 00:03:00 UTC,+0,+5.59906866005,+0,+0,+0,+3.01268263178,+0,+2.15198219871,+0,+0,+1.29100607757,+0,+0,+3.01199274575,+6.02301457273,+0,+0,+0,+0,+4.71178907065
2010-08-16 00:03:30 UTC,+0,+5.59864829163,+0,+0,+0,+3.01236994004,+0,+0,+0,+0,+1.29085583188,+0,+0,+3.01164222642,+6.02231366471,+0,+0,+0,+0,+4.70851065909
2010-08-16 00:04:00 UTC,+0,+0,+0,+0,+0,+3.01300746589,+0,+0,+0,+0,+1.29112899397,+0,+0,+3.01227950655,+6.02358798747,+0,+0,+0,+0,+4.71158882391
2010-08-16 00:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29172150502,+0,+0,+3.01366181963,+6.02635209838,+0,+0,+0,+0,+4.71468720663
2010-08-16 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01307285917,+6.02517439702,+0,+0,+0,+0,+4.71120449626
2010-08-16 00:05:30 UTC,+0,+0,+0,+5.6008040072,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03073965706,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+0,+5.59849114707,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0279198613,+0,+4.73649671066,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+0,+5.59847370587,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0278948678,+0,+4.73647707186,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+5.59661566745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73524743385,+0,+0,+0
2010-08-16 00:07:30 UTC,+0,+0,+0,+5.5965003303,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73514985365,+0,+0,+0
2010-08-16 00:08:00 UTC,+0,+0,+0,+5.5961692131,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73457649235,+5.16509265385,+0,+0
2010-08-16 00:08:30 UTC,+4.7435022832,+0,+0,+5.59931650389,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73723528784,+5.16799323804,+0,+0
2010-08-16 00:09:00 UTC,+4.74180801233,+0,+0,+5.59876541326,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73676909105,+5.16748464569,+0,+0
2010-08-16 00:09:30 UTC,+4.74355524261,+0,+0,+5.60124720953,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17006407335,+0,+0
2010-08-16 00:10:00 UTC,+4.74280299309,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1697089302,+0,+0
2010-08-16 00:10:30 UTC,+4.74346837079,+0,+0,+0,+0,+0,+0,+0,+0,+5.60136010951,+0,+0,+3.87797110828,+0,+0,+0,+0,+5.16996513675,+0,+0
2010-08-16 00:11:00 UTC,+4.74555184489,+0,+0,+0,+0,+0,+0,+2.15585476609,+0,+5.60407471192,+0,+0,+3.87989942244,+0,+0,+0,+0,+5.17253580031,+0,+0
2010-08-16 00:11:30 UTC,+4.74571919163,+5.60864269625,+0,+0,+0,+0,+0,+2.15621498071,+0,+5.60501101986,+0,+0,+3.88054765058,+0,+0,+0,+0,+5.17339996261,+0,+0
2010-08-16 00:12:00 UTC,+4.74553748203,+5.60842794442,+0,+0,+0,+0,+0,+2.15611564359,+0,+5.60475281232,+0,+0,+3.88036888737,+0,+0,+0,+0,+5.1731616508,+0,+0
2010-08-16 00:12:30 UTC,+0,+5.61007691257,+0,+0,+0,+0,+0,+2.1567606087,+0,+5.60642927395,+0,+0,+3.88177023579,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:00 UTC,+0,+5.60749994751,+0,+0,+0,+0,+0,+2.15575499368,+0,+5.60381537285,+0,+0,+3.87996038024,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:13:30 UTC,+0,+5.60506678467,+0,+0,+0,+0,+0,+2.15477686562,+0,+5.6012729189,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:00 UTC,+0,+5.60485488791,+0,+0,+0,+0,+0,+0,+0,+5.60129444179,+1.2928414491,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:14:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.5979018229,+1.29205768385,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59587073779,+1.29158748321,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:15:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.2920282019,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+3.01475473689,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0143841462,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+3.01587030414,+0,+0,+0,+0,+0,+0,+0,+3.01533102252,+0,+3.01539053254,+0,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+3.01597284,+0,+0,+0,+0,+0,+0,+0,+3.0154361405,+0,+3.01549565314,+0,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+3.01657824233,+0,+0,+0,+0,+0,+0,+0,+3.01604137732,+0,+3.01610090506,+0,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+3.01784650307,+0,+0,+0,+0,+0,+0,+0,+3.0173092914,+0,+3.01736885077,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+3.01936269475,+0,+0,+0,+0,+0,+0,+0,+3.01871586811,+6.03646188482,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01758924595,+6.03420905773,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03741205381,+0,+0,+0,+0,+4.73551179928
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0352304938,+0,+0,+0,+0,+4.7370570517
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03215645311,+0,+0,+0,+0,+4.73880339091
2010-08-16 00:21:00 UTC,+0,+0,+5.17168383255,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03305034868,+0,+0,+0,+0,+4.7377974244
2010-08-16 00:21:30 UTC,+0,+0,+5.17305945213,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0346550208,+0,+0,+0,+0,+4.73653657404
2010-08-16 00:22:00 UTC,+0,+0,+5.17409442162,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73256251591
2010-08-16 00:22:30 UTC,+0,+5.60601423363,+5.17088213236,+0,+0,+0,+0,+0,+0,+0,+0,+5.60157268416,+0,+0,+0,+0,+0,+0,+0,+4.73610299427
2010-08-16 00:23:00 UTC,+0,+5.60231061545,+5.16749399982,+0,+0,+0,+0,+2.15367477875,+0,+0,+0,+5.5979730484,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+5.60525263901,+5.17048638893,+0,+0,+0,+0,+2.15492201978,+0,+0,+0,+5.60121466265,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+5.60413161106,+5.16944395131,+0,+0,+0,+0,+2.15448752714,+0,+0,+0,+5.60008540419,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+5.60446055185,+5.16942893232,+0,+0,+0,+0,+2.15448126716,+0,+0,+0,+5.60006913433,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+5.60326681718,+0,+0,+0,+0,+0,+2.15420035974,+0,+0,+0,+5.59916958019,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+5.6025606715,+0,+0,+0,+0,+0,+2.15400118032,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+5.17014182074,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+5.17120864211,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+4.73911707664,+0,+0,+0,+5.16549704385,+0,+6.45703990087,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+4.73667634128,+0,+0,+0,+5.16223984081,+0,+6.4529682608,+0,+0,+0,+1.29083546206,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+4.73675754361,+0,+0,+0,+5.16215239999,+0,+6.45285895613,+0,+0,+0,+1.29081359571,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+4.73685215101,+0,+0,+0,+5.16215985721,+0,+6.45286827796,+0,+0,+0,+1.29081546055,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+4.73717046824,+0,+0,+0,+5.16243587818,+0,+6.45321331572,+0,+0,+0,+1.29082456557,+0,+3.87221558199,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+4.73799529466,+0,+0,+0,+0,+0,+6.4548548757,+0,+0,+0,+0,+0,+3.87314340092,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+4.73752242762,+0,+0,+0,+0,+0,+6.45423383455,+0,+0,+0,+0,+0,+3.87277075617,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+4.73996038723,+0,+0,+0,+0,+0,+6.4575292018,+0,+0,+0,+0,+0,+3.87460811956,+3.01344374747,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+3.01731203397,+0,+0,+0,+0,+0,+0,+3.87886057287,+3.0167509987,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+5.59990255996,+0,+3.01587676742,+0,+0,+0,+0,+0,+0,+3.8771427791,+3.01541502269,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+5.60361171172,+0,+3.01787445506,+0,+0,+0,+0,+0,+0,+0,+3.0175525323,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+5.60655758509,+0,+3.01946105355,+0,+0,+0,+0,+0,+0,+0,+3.01913890544,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+5.60861724179,+0,+5.60437464972,+0,+3.0182853608,+0,+0,+0,+0,+0,+0,+0,+3.01774512162,+6.03452075133,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+5.60647649085,+0,+5.60247554603,+0,+3.01726253506,+0,+0,+0,+0,+0,+0,+0,+0,+6.03197743714,+0,+4.73969875905,+5.17067476583,+0,+0
2010-08-16 00:35:30 UTC,+0,+5.604963165,+0,+5.60089878032,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03017349942,+0,+4.73828129434,+5.16912840163,+0,+0
2010-08-16 00:36:00 UTC,+0,+5.60399014932,+0,+5.59961539793,+0,+0,+0,+2.15414996289,+0,+0,+0,+0,+0,+0,+6.02886798091,+0,+4.73725546829,+5.1680092904,+0,+0
2010-08-16 00:36:30 UTC,+0,+5.60542504193,+0,+5.60141364518,+0,+0,+0,+2.15484177879,+0,+0,+0,+0,+0,+0,+6.03058575425,+3.01583677982,+4.73860522831,+5.16948179307,+0,+0
2010-08-16 00:37:00 UTC,+0,+5.60360549057,+0,+0,+0,+0,+0,+2.15403678487,+0,+5.59939352286,+0,+0,+0,+0,+6.02833334544,+3.01471033873,+4.73683537235,+5.16755099235,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15360444667,+0,+5.59826972589,+0,+0,+0,+0,+6.02712364347,+3.01410536061,+4.73588483521,+5.16651401654,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15166701423,+0,+5.59323366688,+0,+0,+0,+0,+6.02170261986,+3.01139427912,+4.73162520407,+5.16186702877,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.15259493878,+0,+5.59564566463,+0,+0,+0,+0,+0,+3.01308153488,+0,+5.16475910593,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59721337326,+0,+0,+0,+0,+0,+3.01388767215,+0,+5.16614088291,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60050764929,+0,+0,+0,+0,+0,+0,+0,+5.16936806552,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60215355452,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73283676729
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60132539147,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73294680481
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59986929423,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73533869517
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59999036875,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73263245468
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73110729539
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73451908618
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73195738716
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29228068572,+5.59864330699,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29278183712,+5.60081437344,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29305950063,+5.60201725529,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.2931933113,+5.60259694407,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60299096466,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+5.60609643115,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60233781042,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+5.60555127612,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60224420808,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+4.7424886462,+5.60482470582,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+4.74299756884,+5.60542617137,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01702131227,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+4.73870567504,+5.60035383605,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87489963752,+3.0136704691,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+4.74120149696,+5.6033035003,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87734608378,+3.01557313839,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+4.74280526594,+5.60519889995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87879109234,+3.01669696175,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+4.74100572144,+0,+0,+0,+0,+0,+0,+2.1541637339,+0,+0,+0,+0,+3.87682206084,+3.01516559117,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+4.74122210219,+0,+5.16838191087,+0,+0,+3.01557497377,+0,+2.154044864,+0,+0,+0,+0,+3.87679394217,+3.0151437225,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+4.74032446013,+0,+5.16604574253,+0,+5.16634910074,+3.01421180918,+0,+2.15307113869,+0,+0,+0,+0,+3.87529882274,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+5.15983387122,+0,+5.16013669899,+3.01058715445,+0,+2.150482003,+0,+0,+0,+0,+3.87035917475,+0,+6.01931177504,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+5.16672449862,+0,+5.16702791477,+3.01460786638,+0,+2.15335404725,+0,+0,+0,+0,+0,+0,+6.02763008758,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+5.16865955565,+0,+5.16896313694,+3.01573698072,+0,+2.15416058757,+0,+0,+0,+0,+0,+0,+6.02988761996,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+5.16760594372,+0,+5.1679094351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02847590539,+0,+0,+0,+6.44519171831,+0
2010-08-16 00:53:00 UTC,+0,+0,+5.16345691314,+0,+5.16376005033,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02363573436,+0,+0,+0,+6.45107383397,+0
2010-08-16 00:53:30 UTC,+0,+0,+5.16147901775,+0,+5.16178198604,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02132836358,+0,+0,+0,+6.45275690394,+0
2010-08-16 00:54:00 UTC,+0,+0,+5.1657446406,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02612223015,+0,+0,+0,+6.4555095694,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01335560757,+0,+0,+6.46012089766,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01633970909,+0,+0,+6.46161151467,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+6.45858976414,+0,+0,+0,+0,+0,+0,+0,+0,+3.01413811004,+0,+0,+6.46344026699,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+6.45985069056,+0,+0,+0,+0,+0,+0,+0,+0,+3.01472656128,+0,+0,+6.45745118988,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+6.45537587841,+0,+0,+0,+0,+0,+0,+0,+0,+3.01263824857,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+6.45022991075,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+6.44924742394,+0,+0,+0,+1.29005212484,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+5.59780601519,+0,+0,+0,+0,+6.45329661773,+0,+3.87213382114,+0,+1.29089139038,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+5.5996268974,+0,+0,+0,+0,+6.45554932498,+0,+3.87348550393,+0,+1.29134203635,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+5.60190501551,+0,+0,+0,+0,+6.45841938948,+0,+3.87520761708,+0,+1.29191618244,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+5.60068841678,+0,+5.59539159979,+0,+0,+6.45646692871,+0,+3.87403608998,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+5.60395167669,+0,+5.59938718975,+0,+0,+0,+0,+3.87680253082,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+5.6037624047,+0,+5.5990288099,+0,+0,+0,+0,+3.87655439808,+0,+0,+0,+0,+0,+0,+0,+0,+5.1681871895,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+5.59980632651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16878750557,+0,+4.73564306642
2010-08-16 01:01:30 UTC,+0,+0,+0,+5.59602701631,+0,+0,+0,+0,+0,+5.59609928543,+0,+0,+0,+0,+0,+0,+4.73465771858,+5.16517531003,+0,+4.73507421155
2010-08-16 01:02:00 UTC,+0,+0,+0,+5.59993694543,+0,+0,+0,+0,+0,+5.6000092633,+0,+0,+0,+0,+0,+0,+4.73796562064,+5.16878402163,+0,+4.73083262176
2010-08-16 01:02:30 UTC,+0,+0,+0,+5.59472175357,+0,+0,+0,+0,+0,+5.59479400642,+0,+5.59377506273,+0,+0,+0,+0,+4.73323345849,+5.16362153248,+0,+4.73325638925
2010-08-16 01:03:00 UTC,+0,+0,+0,+5.59317951418,+0,+0,+0,+0,+0,+5.59325174781,+0,+5.59223323573,+0,+0,+0,+0,+4.73192883345,+5.16219826919,+0,+4.73495701787
