# file...... Output/hvac/house_hvac_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:hvac_load,house_3_4A_tm_3_A_4_Meter_60_662:hvac_load,house_3_5A_tm_3_A_5_Meter_60_663:hvac_load,house_3_6A_tm_3_A_6_Meter_60_664:hvac_load,house_3_7A_tm_3_A_7_Meter_60_665:hvac_load,house_3_8A_tm_3_A_8_Meter_60_666:hvac_load,house_3_1C_tm_3_C_1_Meter_62_667:hvac_load,house_3_2C_tm_3_C_2_Meter_62_668:hvac_load,house_3_3C_tm_3_C_3_Meter_62_669:hvac_load,house_3_4C_tm_3_C_4_Meter_62_670:hvac_load,house_3_5C_tm_3_C_5_Meter_62_671:hvac_load,house_3_6C_tm_3_C_6_Meter_62_672:hvac_load,house_3_7C_tm_3_C_7_Meter_62_673:hvac_load,house_3_8C_tm_3_C_8_Meter_62_674:hvac_load,house_3_9C_tm_3_C_9_Meter_62_675:hvac_load,house_3_10C_tm_3_C_10_Meter_62_676:hvac_load,house_3_11C_tm_3_C_11_Meter_62_677:hvac_load,house_3_12C_tm_3_C_12_Meter_62_678:hvac_load,house_3_13C_tm_3_C_13_Meter_62_679:hvac_load,house_3_14C_tm_3_C_14_Meter_62_680:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.724108851,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.71947079413,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.71709718365,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.71360608575,+0,+0,+0,+4.71364697837,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:03:30 UTC,+0,+4.2804230032,+0,+0,+0,+0,+0,+0,+4.71291367709,+0,+0,+0,+4.71295456308,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:00 UTC,+0,+4.28322130347,+0,+0,+0,+0,+0,+0,+4.70712824448,+0,+0,+0,+4.70716907514,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:04:30 UTC,+0,+4.28603798345,+0,+0,+0,+0,+0,+0,+4.71122751846,+0,+0,+0,+4.71126838833,+0,+0,+0,+0,+0,+0,+0
