# file...... Output/hvac/house_hvac_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:hvac_load,house_3_1A_tm_3_A_1_Meter_63_682:hvac_load,house_3_2A_tm_3_A_2_Meter_63_683:hvac_load,house_3_3A_tm_3_A_3_Meter_63_684:hvac_load,house_3_4A_tm_3_A_4_Meter_63_685:hvac_load,house_3_5A_tm_3_A_5_Meter_63_686:hvac_load,house_3_6A_tm_3_A_6_Meter_63_687:hvac_load,house_3_7A_tm_3_A_7_Meter_63_688:hvac_load,house_3_8A_tm_3_A_8_Meter_63_689:hvac_load,house_3_9A_tm_3_A_9_Meter_63_690:hvac_load,house_3_10A_tm_3_A_10_Meter_63_691:hvac_load,house_3_11A_tm_3_A_11_Meter_63_692:hvac_load,house_3_12A_tm_3_A_12_Meter_63_693:hvac_load,house_3_13A_tm_3_A_13_Meter_63_694:hvac_load,house_3_14A_tm_3_A_14_Meter_63_695:hvac_load,house_3_15A_tm_3_A_15_Meter_63_696:hvac_load,house_3_1B_tm_3_B_1_Meter_64_697:hvac_load,house_3_2B_tm_3_B_2_Meter_64_698:hvac_load,house_3_3B_tm_3_B_3_Meter_64_699:hvac_load,house_3_4B_tm_3_B_4_Meter_64_700:hvac_load
2010-08-16 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.14268734492,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.13971695992,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.14047100935,+0,+0,+0,+0,+0,+0,+0,+0,+3.01207131143,+0,+0
2010-08-16 00:01:30 UTC,+0,+0,+0,+0,+0,+4.71242718276,+0,+0,+2.14246315168,+0,+4.28430892906,+0,+0,+0,+0,+0,+0,+3.00960778103,+0,+0
2010-08-16 00:02:00 UTC,+0,+0,+0,+0,+0,+4.70633342122,+0,+0,+2.13969250169,+0,+4.27876866289,+0,+0,+0,+0,+0,+0,+3.00874776234,+0,+0
2010-08-16 00:02:30 UTC,+3.00219028976,+0,+0,+0,+0,+4.71370722749,+0,+0,+2.14304514946,+0,+4.28547270752,+0,+0,+0,+0,+0,+0,+3.00814379013,+0,+0
2010-08-16 00:03:00 UTC,+2.9999682822,+0,+0,+0,+0,+4.71040472946,+0,+0,+2.14154360308,+0,+4.2824701749,+0,+0,+0,+3.85455319712,+0,+0,+3.00618205506,+0,+0
2010-08-16 00:03:30 UTC,+2.99952757919,+0,+3.85163720049,+0,+0,+4.70717600604,+0,+0,+0,+0,+4.27953471589,+0,+0,+0,+3.851910998,+0,+0,+3.00518223732,+0,+0
2010-08-16 00:04:00 UTC,+2.9958452774,+0,+3.85415773592,+0,+0,+4.71025634566,+0,+0,+0,+0,+4.28237060797,+0,+0,+0,+3.85443176846,+0,+0,+3.00607075415,+0,+0
2010-08-16 00:04:30 UTC,+2.99845437601,+0,+3.85668339542,+0,+0,+4.71334294747,+0,+0,+0,+0,+4.28517690138,+0,+0,+0,+3.85695766342,+0,+0,+0,+0,+0
2010-08-16 00:05:00 UTC,+0,+0,+3.85384894257,+4.70984952468,+0,+0,+0,+0,+0,+0,+4.28202750362,+0,+0,+0,+3.85412294631,+0,+0,+0,+0,+0
2010-08-16 00:05:30 UTC,+0,+0,+3.85723626012,+4.71398915633,+0,+0,+0,+0,+0,+0,+4.2857911966,+0,+0,+0,+3.85751057964,+0,+0,+0,+0,+0
2010-08-16 00:06:00 UTC,+0,+0,+3.85877059185,+4.71586425898,+0,+0,+0,+0,+0,+0,+0,+2.14400028988,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:06:30 UTC,+0,+0,+3.8604186437,+4.71787833872,+0,+0,+0,+0,+0,+0,+0,+2.14491600982,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:07:00 UTC,+0,+0,+0,+4.72536174868,+0,+0,+0,+0,+0,+3.86684504015,+0,+2.14831841099,+0,+0,+0,+0,+0,+0,+0,+0
